variante,algoritmo,tamanio,corridas,factibles_pct,metrica,media,mediana,desviacion_muestral,mejor,peor
BASE,GENETICO,25,2,100,objetivo,22590.53,22590.53,0.742462,22590.005,22591.055
BASE,GENETICO,25,2,100,tiempoMs,219.2584,219.2584,40.114875,190.8929,247.6239
BASE,GENETICO,25,2,100,evaluaciones,9060,9060,0,9060,9060
BASE,GENETICO,25,2,100,cumplimientoPct,44,44,0,44,44
BASE,GENETICO,25,2,100,cumplimientoPrioritariosPct,20,20,0,20,20
BASE,GENETICO,25,2,100,retrasoHoras,219.846667,219.846667,0,219.846667,219.846667
BASE,GENETICO,25,2,100,tiempoAtencionHoras,605.863333,605.863333,0.742462,605.338333,606.388333
BASE,GENETICO,25,2,100,noAsignados,0,0,0,0,0
BASE,GENETICO,25,2,100,costo,10264,10264,169.705627,10144,10384
BASE,GENETICO,25,2,100,distanciaKm,1439,1439,21.213203,1424,1454
BASE,GENETICO,25,2,100,utilizacionPct,42.401961,42.401961,0,42.401961,42.401961
BASE,RECOCIDO_SIMULADO,25,2,100,objetivo,22586.424167,22586.424167,12.41326,22577.646667,22595.201667
BASE,RECOCIDO_SIMULADO,25,2,100,tiempoMs,32.45905,32.45905,1.059741,31.7097,33.2084
BASE,RECOCIDO_SIMULADO,25,2,100,evaluaciones,4401,4401,84.852814,4341,4461
BASE,RECOCIDO_SIMULADO,25,2,100,cumplimientoPct,48,48,0,48,48
BASE,RECOCIDO_SIMULADO,25,2,100,cumplimientoPrioritariosPct,26.666667,26.666667,0,26.666667,26.666667
BASE,RECOCIDO_SIMULADO,25,2,100,retrasoHoras,219.765833,219.765833,0.137886,219.668333,219.863333
BASE,RECOCIDO_SIMULADO,25,2,100,tiempoAtencionHoras,609.840833,609.840833,1.375323,608.868333,610.813333
BASE,RECOCIDO_SIMULADO,25,2,100,noAsignados,0,0,0,0,0
BASE,RECOCIDO_SIMULADO,25,2,100,costo,10576,10576,135.764502,10480,10672
BASE,RECOCIDO_SIMULADO,25,2,100,distanciaKm,1460,1460,11.313708,1452,1468
BASE,RECOCIDO_SIMULADO,25,2,100,utilizacionPct,42.401961,42.401961,0,42.401961,42.401961
