id_vehiculo,capacidad_qq,velocidad_kmh,costo_por_km,disponible_en_bd
TA01,24,40,8,true
TA02,24,40,8,true
TA03,24,40,8,true
TA04,24,40,8,true
TA05,24,40,8,true
TA06,24,40,8,true
TA07,24,40,8,true
TA08,24,40,8,true
TA09,24,40,8,true
TA10,24,40,8,true
TB01,4,12,3,true
TB02,4,12,3,true
TB03,4,12,3,true
TB04,4,12,3,true
TB05,4,12,3,true
TB06,4,12,3,true
TB07,4,12,3,true
TB08,4,12,3,true
TB09,4,12,3,true
TB10,4,12,3,true
TB11,4,12,3,true
TB12,4,12,3,true
TM01,8,25,6,true
TM02,8,25,6,true
TM03,8,25,6,true
TM04,8,25,6,true
TM05,8,25,6,true
TM06,8,25,6,true
TM07,8,25,6,true
TM08,8,25,6,true
TM09,8,25,6,true
TM10,8,25,6,true
TM11,8,25,6,true
TM12,8,25,6,true
TM13,8,25,6,true
TM14,8,25,6,true
TM15,8,25,6,true
