variante,escenario,tamanio,instancia,repeticion,semilla,algoritmo,tiempo_ms,evaluaciones,F,T_horas,R_horas,N,V,factible,verificada,cumplimiento_pct,cumplimiento_prioritarios_pct,costo,distancia_km,utilizacion_pct,temperatura_inicial
BASE,N025-I01,25,1,0,42,GENETICO,205.2473,9060,22591.055,606.388333,219.846667,0,0,true,true,44,20,10384,1454,42.401961,
BASE,N025-I01,25,1,0,42,RECOCIDO_SIMULADO,35.634299,4341,22595.201667,608.868333,219.863333,0,0,true,true,48,26.666667,10480,1452,42.401961,224.368883
BASE,N025-I01,25,1,1,43,RECOCIDO_SIMULADO,31.2256,4461,22577.646667,610.813333,219.668333,0,0,true,true,48,26.666667,10672,1468,42.401961,259.893473
BASE,N025-I01,25,1,1,43,GENETICO,245.296,9060,22590.005,605.338333,219.846667,0,0,true,true,44,20,10144,1424,42.401961,
BASE,N025-I01,25,1,2,44,GENETICO,107.6639,9060,22697.865,607.198333,220.906667,0,0,true,true,44,20,10424,1456,42.401961,
BASE,N025-I01,25,1,2,44,RECOCIDO_SIMULADO,30.881101,4501,22569.461667,611.628333,219.578333,0,0,true,true,48,26.666667,10536,1416,42.401961,278.44757
BASE,N025-I01,25,1,3,45,RECOCIDO_SIMULADO,34.990499,4581,22557.401667,610.068333,219.473333,0,0,true,true,48,26.666667,10752,1436,42.401961,310.106015
BASE,N025-I01,25,1,3,45,GENETICO,272.8368,9060,22544.381667,604.548333,219.398333,0,0,true,true,48,26.666667,10600,1488,42.401961,
BASE,N025-I01,25,1,4,46,GENETICO,214.582499,9060,22535.991667,605.158333,219.308333,0,0,true,true,48,26.666667,10528,1476,42.401961,
BASE,N025-I01,25,1,4,46,RECOCIDO_SIMULADO,30.7416,4461,22596.671667,617.838333,219.788333,0,0,true,true,48,26.666667,10120,1352,42.401961,267.966511
BASE,N025-I01,25,1,5,47,RECOCIDO_SIMULADO,31.9498,4621,22567.961667,610.128333,219.578333,0,0,true,true,48,26.666667,10264,1382,42.401961,318.33296
BASE,N025-I01,25,1,5,47,GENETICO,159.5047,9060,22590.705,606.038333,219.846667,0,0,true,true,44,20,10224,1434,42.401961,
BASE,N025-I01,25,1,6,48,GENETICO,173.494001,9060,22648.605,603.938333,220.446667,0,0,true,true,44,20,10160,1446,42.401961,
BASE,N025-I01,25,1,6,48,RECOCIDO_SIMULADO,30.6239,4501,22541.646667,610.813333,219.308333,0,0,true,true,48,26.666667,10300,1386,42.401961,271.479455
BASE,N025-I01,25,1,7,49,RECOCIDO_SIMULADO,29.8455,4421,22565.781667,609.448333,219.563333,0,0,true,true,48,26.666667,10568,1444,42.401961,244.28834
BASE,N025-I01,25,1,7,49,GENETICO,283.7261,9060,22602.525,605.858333,219.966667,0,0,true,true,44,20,10112,1424,42.401961,
