variante,tamanio,algoritmo_A,algoritmo_B,metrica,p_wilcoxon_crudo,p_wilcoxon_holm,veredicto
BASE,25,GENETICO,RECOCIDO_SIMULADO,objetivoF,0.000011,0.000042,GANA_GENETICO
BASE,25,GENETICO,RECOCIDO_SIMULADO,cumplimientoPrioritariosPct,0.005962,0.011924,GANA_GENETICO
BASE,25,GENETICO,RECOCIDO_SIMULADO,retrasoHoras,0.000306,0.000919,GANA_GENETICO
BASE,25,GENETICO,RECOCIDO_SIMULADO,costo,0.013572,0.013572,GANA_GENETICO
BASE,25,GENETICO,RECOCIDO_SIMULADO,tiempoEjecucionMs,0,0,GANA_RECOCIDO_SIMULADO
BASE,50,GENETICO,RECOCIDO_SIMULADO,objetivoF,0.000004,0.000011,GANA_GENETICO
BASE,50,GENETICO,RECOCIDO_SIMULADO,cumplimientoPrioritariosPct,,,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,50,GENETICO,RECOCIDO_SIMULADO,retrasoHoras,0.000009,0.000018,GANA_GENETICO
BASE,50,GENETICO,RECOCIDO_SIMULADO,costo,0.000003,0.000011,GANA_GENETICO
BASE,50,GENETICO,RECOCIDO_SIMULADO,tiempoEjecucionMs,0,0,GANA_RECOCIDO_SIMULADO
BASE,100,GENETICO,RECOCIDO_SIMULADO,objetivoF,0,0,GANA_GENETICO
BASE,100,GENETICO,RECOCIDO_SIMULADO,cumplimientoPrioritariosPct,0.000001,0.000002,GANA_RECOCIDO_SIMULADO
BASE,100,GENETICO,RECOCIDO_SIMULADO,retrasoHoras,0,0,GANA_GENETICO
BASE,100,GENETICO,RECOCIDO_SIMULADO,costo,0.228553,0.228553,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,100,GENETICO,RECOCIDO_SIMULADO,tiempoEjecucionMs,0,0,GANA_RECOCIDO_SIMULADO
