variante,escenario,algoritmo,repeticion,semilla,iteracion,evaluaciones,mejor_F
BASE,N025-I01,GENETICO,0,777,0,60,22697.865
BASE,N025-I01,GENETICO,0,777,1,120,22636.935
BASE,N025-I01,GENETICO,0,777,2,180,22636.935
BASE,N025-I01,GENETICO,0,777,3,240,22612.78
BASE,N025-I01,GENETICO,0,777,4,300,22590.455
BASE,N025-I01,GENETICO,0,777,5,360,22555.786667
BASE,N025-I01,GENETICO,0,777,6,420,22555.336667
BASE,N025-I01,GENETICO,0,777,7,480,22555.336667
BASE,N025-I01,GENETICO,0,777,8,540,22555.336667
BASE,N025-I01,GENETICO,0,777,9,600,22555.336667
BASE,N025-I01,GENETICO,0,777,10,660,22555.336667
BASE,N025-I01,GENETICO,0,777,11,720,22555.336667
BASE,N025-I01,GENETICO,0,777,12,780,22555.336667
BASE,N025-I01,GENETICO,0,777,13,840,22555.336667
BASE,N025-I01,GENETICO,0,777,14,900,22555.336667
BASE,N025-I01,GENETICO,0,777,15,960,22555.336667
BASE,N025-I01,GENETICO,0,777,16,1020,22555.336667
BASE,N025-I01,GENETICO,0,777,17,1080,22555.336667
BASE,N025-I01,GENETICO,0,777,18,1140,22555.336667
BASE,N025-I01,GENETICO,0,777,19,1200,22555.336667
BASE,N025-I01,GENETICO,0,777,20,1260,22555.336667
BASE,N025-I01,GENETICO,0,777,21,1320,22555.336667
BASE,N025-I01,GENETICO,0,777,22,1380,22555.336667
BASE,N025-I01,GENETICO,0,777,23,1440,22555.336667
BASE,N025-I01,GENETICO,0,777,24,1500,22555.336667
BASE,N025-I01,GENETICO,0,777,25,1560,22555.336667
BASE,N025-I01,GENETICO,0,777,26,1620,22555.336667
BASE,N025-I01,GENETICO,0,777,27,1680,22555.336667
BASE,N025-I01,GENETICO,0,777,28,1740,22555.336667
BASE,N025-I01,GENETICO,0,777,29,1800,22555.336667
BASE,N025-I01,GENETICO,0,777,30,1860,22555.336667
BASE,N025-I01,GENETICO,0,777,31,1920,22555.336667
BASE,N025-I01,GENETICO,0,777,32,1980,22555.336667
BASE,N025-I01,GENETICO,0,777,33,2040,22555.336667
BASE,N025-I01,GENETICO,0,777,34,2100,22555.336667
BASE,N025-I01,GENETICO,0,777,35,2160,22555.336667
BASE,N025-I01,GENETICO,0,777,36,2220,22555.336667
BASE,N025-I01,GENETICO,0,777,37,2280,22555.336667
BASE,N025-I01,GENETICO,0,777,38,2340,22555.336667
BASE,N025-I01,GENETICO,0,777,39,2400,22555.336667
BASE,N025-I01,GENETICO,0,777,40,2460,22555.336667
BASE,N025-I01,GENETICO,0,777,41,2520,22555.336667
BASE,N025-I01,GENETICO,0,777,42,2580,22555.336667
BASE,N025-I01,GENETICO,0,777,43,2640,22555.336667
BASE,N025-I01,GENETICO,0,777,44,2700,22555.336667
BASE,N025-I01,GENETICO,0,777,45,2760,22555.336667
BASE,N025-I01,GENETICO,0,777,46,2820,22555.336667
BASE,N025-I01,GENETICO,0,777,47,2880,22555.336667
BASE,N025-I01,GENETICO,0,777,48,2940,22555.336667
BASE,N025-I01,GENETICO,0,777,49,3000,22555.336667
BASE,N025-I01,GENETICO,0,777,50,3060,22555.336667
BASE,N025-I01,GENETICO,0,777,51,3120,22555.336667
BASE,N025-I01,GENETICO,0,777,52,3180,22555.336667
BASE,N025-I01,GENETICO,0,777,53,3240,22555.336667
BASE,N025-I01,GENETICO,0,777,54,3300,22555.336667
BASE,N025-I01,GENETICO,0,777,55,3360,22555.336667
BASE,N025-I01,GENETICO,0,777,56,3420,22555.336667
BASE,N025-I01,GENETICO,0,777,57,3480,22555.336667
BASE,N025-I01,GENETICO,0,777,58,3540,22555.336667
BASE,N025-I01,GENETICO,0,777,59,3600,22555.336667
BASE,N025-I01,GENETICO,0,777,60,3660,22555.336667
BASE,N025-I01,GENETICO,0,777,61,3720,22555.336667
BASE,N025-I01,GENETICO,0,777,62,3780,22555.336667
BASE,N025-I01,GENETICO,0,777,63,3840,22555.336667
BASE,N025-I01,GENETICO,0,777,64,3900,22555.336667
BASE,N025-I01,GENETICO,0,777,65,3960,22555.336667
BASE,N025-I01,GENETICO,0,777,66,4020,22555.336667
BASE,N025-I01,GENETICO,0,777,67,4080,22555.336667
BASE,N025-I01,GENETICO,0,777,68,4140,22555.336667
BASE,N025-I01,GENETICO,0,777,69,4200,22555.336667
BASE,N025-I01,GENETICO,0,777,70,4260,22555.336667
BASE,N025-I01,GENETICO,0,777,71,4320,22555.336667
BASE,N025-I01,GENETICO,0,777,72,4380,22555.336667
BASE,N025-I01,GENETICO,0,777,73,4440,22555.336667
BASE,N025-I01,GENETICO,0,777,74,4500,22555.336667
BASE,N025-I01,GENETICO,0,777,75,4560,22555.336667
BASE,N025-I01,GENETICO,0,777,76,4620,22555.336667
BASE,N025-I01,GENETICO,0,777,77,4680,22555.336667
BASE,N025-I01,GENETICO,0,777,78,4740,22555.336667
BASE,N025-I01,GENETICO,0,777,79,4800,22555.336667
BASE,N025-I01,GENETICO,0,777,80,4860,22555.336667
BASE,N025-I01,GENETICO,0,777,81,4920,22555.336667
BASE,N025-I01,GENETICO,0,777,82,4980,22555.336667
BASE,N025-I01,GENETICO,0,777,83,5040,22555.336667
BASE,N025-I01,GENETICO,0,777,84,5100,22555.336667
BASE,N025-I01,GENETICO,0,777,85,5160,22555.336667
BASE,N025-I01,GENETICO,0,777,86,5220,22555.336667
BASE,N025-I01,GENETICO,0,777,87,5280,22555.336667
BASE,N025-I01,GENETICO,0,777,88,5340,22555.336667
BASE,N025-I01,GENETICO,0,777,89,5400,22555.336667
BASE,N025-I01,GENETICO,0,777,90,5460,22555.336667
BASE,N025-I01,GENETICO,0,777,91,5520,22555.336667
BASE,N025-I01,GENETICO,0,777,92,5580,22555.336667
BASE,N025-I01,GENETICO,0,777,93,5640,22555.336667
BASE,N025-I01,GENETICO,0,777,94,5700,22555.336667
BASE,N025-I01,GENETICO,0,777,95,5760,22555.336667
BASE,N025-I01,GENETICO,0,777,96,5820,22555.336667
BASE,N025-I01,GENETICO,0,777,97,5880,22555.336667
BASE,N025-I01,GENETICO,0,777,98,5940,22555.336667
BASE,N025-I01,GENETICO,0,777,99,6000,22555.336667
BASE,N025-I01,GENETICO,0,777,100,6060,22555.336667
BASE,N025-I01,GENETICO,0,777,101,6120,22555.336667
BASE,N025-I01,GENETICO,0,777,102,6180,22555.336667
BASE,N025-I01,GENETICO,0,777,103,6240,22555.336667
BASE,N025-I01,GENETICO,0,777,104,6300,22555.336667
BASE,N025-I01,GENETICO,0,777,105,6360,22555.336667
BASE,N025-I01,GENETICO,0,777,106,6420,22555.336667
BASE,N025-I01,GENETICO,0,777,107,6480,22555.336667
BASE,N025-I01,GENETICO,0,777,108,6540,22555.336667
BASE,N025-I01,GENETICO,0,777,109,6600,22555.336667
BASE,N025-I01,GENETICO,0,777,110,6660,22555.336667
BASE,N025-I01,GENETICO,0,777,111,6720,22555.336667
BASE,N025-I01,GENETICO,0,777,112,6780,22555.336667
BASE,N025-I01,GENETICO,0,777,113,6840,22555.336667
BASE,N025-I01,GENETICO,0,777,114,6900,22555.336667
BASE,N025-I01,GENETICO,0,777,115,6960,22555.336667
BASE,N025-I01,GENETICO,0,777,116,7020,22555.336667
BASE,N025-I01,GENETICO,0,777,117,7080,22555.336667
