variante,escenario,tamanio,instancia,repeticion,semilla,algoritmo,tiempo_ms,evaluaciones,F,T_horas,R_horas,N,V,factible,verificada,cumplimiento_pct,cumplimiento_prioritarios_pct,costo,distancia_km,utilizacion_pct,temperatura_inicial
BASE,N025-I01,25,1,0,777,GENETICO,214.2089,9060,22555.336667,605.003333,219.503333,0,0,true,true,48,26.666667,10636,1496,42.401961,
BASE,N025-I01,25,1,0,777,RECOCIDO_SIMULADO,34.3965,4421,22602.276667,609.943333,219.923333,0,0,true,true,48,26.666667,10516,1434,42.401961,252.823667
BASE,N025-I01,25,1,1,778,RECOCIDO_SIMULADO,31.7383,4501,22547.546667,607.713333,219.398333,0,0,true,true,48,26.666667,10094,1434,42.401961,274.840884
BASE,N025-I01,25,1,1,778,GENETICO,198.8912,9060,22651.891667,606.058333,220.458333,0,0,true,true,48,26.666667,10480,1470,42.401961,
BASE,N025-I01,25,1,2,779,GENETICO,260.7924,9060,22567.056667,604.723333,219.623333,0,0,true,true,48,26.666667,10764,1516,42.401961,
BASE,N025-I01,25,1,2,779,RECOCIDO_SIMULADO,54.0518,4381,22615.04,609.873333,220.051667,0,0,true,true,52,33.333333,9668,1324,42.401961,238.389548
BASE,N025-I01,25,1,3,780,RECOCIDO_SIMULADO,36.2938,4581,22557.931667,610.598333,219.473333,0,0,true,true,48,26.666667,10736,1480,42.401961,298.64143
BASE,N025-I01,25,1,3,780,GENETICO,143.0522,9060,22590.355,605.688333,219.846667,0,0,true,true,44,20,10384,1454,42.401961,
BASE,N025-I01,25,1,4,781,GENETICO,144.9994,9060,22590.455,605.788333,219.846667,0,0,true,true,44,20,9920,1396,42.401961,
BASE,N025-I01,25,1,4,781,RECOCIDO_SIMULADO,37.1384,4461,22596.761667,619.428333,219.773333,0,0,true,true,48,26.666667,10856,1466,42.401961,266.649905
BASE,N025-I01,25,1,5,782,RECOCIDO_SIMULADO,37.2769,4541,22597.911667,611.578333,219.863333,0,0,true,true,48,26.666667,11028,1498,42.401961,286.587722
BASE,N025-I01,25,1,5,782,GENETICO,208.0968,9060,22544.381667,604.548333,219.398333,0,0,true,true,48,26.666667,10600,1488,42.401961,
BASE,N025-I01,25,1,6,783,GENETICO,350.5409,9060,22535.991667,605.158333,219.308333,0,0,true,true,48,26.666667,10528,1476,42.401961,
BASE,N025-I01,25,1,6,783,RECOCIDO_SIMULADO,34.8146,4421,22615.37,610.203333,220.051667,0,0,true,true,52,33.333333,10364,1432,42.401961,243.751561
BASE,N025-I01,25,1,7,784,RECOCIDO_SIMULADO,34.079,4421,22596.896667,610.563333,219.863333,0,0,true,true,48,26.666667,11052,1490,42.401961,250.612675
BASE,N025-I01,25,1,7,784,GENETICO,230.0272,9060,22575.626667,604.293333,219.713333,0,0,true,true,48,26.666667,10308,1448,42.401961,
BASE,N025-I01,25,1,8,785,GENETICO,114.0172,9060,22697.715,607.048333,220.906667,0,0,true,true,44,20,10360,1448,42.401961,
