variante,algoritmo,tamanio,corridas,factibles_pct,metrica,media,mediana,desviacion_muestral,mejor,peor
BASE,GENETICO,25,300,100,objetivo,13443.962533,11810.135,4142.874622,7989.101667,22697.715
BASE,GENETICO,25,300,100,tiempoMs,249.855274,213.20285,130.839014,105.3622,655.0658
BASE,GENETICO,25,300,100,evaluaciones,9060,9060,0,9060,9060
BASE,GENETICO,25,300,100,cumplimientoPct,56.586667,56,7.379069,68,44
BASE,GENETICO,25,300,100,cumplimientoPrioritariosPct,30.706332,29.411765,9.37199,52.941176,15.384615
BASE,GENETICO,25,300,100,retrasoHoras,129.90065,113.830833,40.806847,76.75,220.906667
BASE,GENETICO,25,300,100,tiempoAtencionHoras,453.897533,440.6625,71.986337,313.756667,607.048333
BASE,GENETICO,25,300,100,noAsignados,0,0,0,0,0
BASE,GENETICO,25,300,100,costo,10853.093333,10722,930.831385,8880,13388
BASE,GENETICO,25,300,100,distanciaKm,1544.226667,1536,147.697157,1260,1934
BASE,GENETICO,25,300,100,utilizacionPct,32.254902,31.740196,4.314512,42.401961,25.490196
BASE,RECOCIDO_SIMULADO,25,300,100,objetivo,13448.457139,11810.141667,4146.165166,7994.661667,22659.11
BASE,RECOCIDO_SIMULADO,25,300,100,tiempoMs,29.198041,28.6314,2.688577,25.7405,54.0518
BASE,RECOCIDO_SIMULADO,25,300,100,evaluaciones,4353,4341,171.040491,3941,4821
BASE,RECOCIDO_SIMULADO,25,300,100,cumplimientoPct,57.226667,56,6.884763,68,44
BASE,RECOCIDO_SIMULADO,25,300,100,cumplimientoPrioritariosPct,31.698571,31.578947,9.215913,52.941176,15.384615
BASE,RECOCIDO_SIMULADO,25,300,100,retrasoHoras,129.903633,113.626667,40.833598,76.75,220.396667
BASE,RECOCIDO_SIMULADO,25,300,100,tiempoAtencionHoras,458.093806,445.896667,71.961322,314.801667,621.148333
BASE,RECOCIDO_SIMULADO,25,300,100,noAsignados,0,0,0,0,0
BASE,RECOCIDO_SIMULADO,25,300,100,costo,10605.4,10704,812.275115,8404,13300
BASE,RECOCIDO_SIMULADO,25,300,100,distanciaKm,1490.28,1498,130.425807,1142,1828
BASE,RECOCIDO_SIMULADO,25,300,100,utilizacionPct,32.254902,31.740196,4.314512,42.401961,25.490196
BASE,GENETICO,50,300,100,objetivo,77684.7397,82903.896667,19941.556687,39466.678333,105605.755
BASE,GENETICO,50,300,100,tiempoMs,223.86137,191.97785,79.986753,172.7758,669.2552
BASE,GENETICO,50,300,100,evaluaciones,9060,9060,0,9060,9060
BASE,GENETICO,50,300,100,cumplimientoPct,31.893333,28,8.049302,50,24
BASE,GENETICO,50,300,100,cumplimientoPrioritariosPct,14.016884,14.760349,7.606158,32,3.333333
BASE,GENETICO,50,300,100,retrasoHoras,758.74815,811.636667,194.859057,382.168333,1027.026667
BASE,GENETICO,50,300,100,tiempoAtencionHoras,1573.258033,1608.2775,245.983951,1074.561667,1924.016667
BASE,GENETICO,50,300,100,noAsignados,0.236667,0,0.708752,0,4
BASE,GENETICO,50,300,100,costo,15681.473333,15592,1021.47752,13674,17740
BASE,GENETICO,50,300,100,distanciaKm,2352.086667,2348,168.652517,1942,2682
BASE,GENETICO,50,300,100,utilizacionPct,64.33415,64.95098,4.636366,72.058824,54.166667
BASE,RECOCIDO_SIMULADO,50,300,100,objetivo,78357.53775,83360.49,20738.709947,39462.993333,106671.755
BASE,RECOCIDO_SIMULADO,50,300,100,tiempoMs,50.414079,50.38755,1.855054,44.7306,60.0937
BASE,RECOCIDO_SIMULADO,50,300,100,evaluaciones,4847,4861,108.901477,4421,5101
BASE,RECOCIDO_SIMULADO,50,300,100,cumplimientoPct,32.026667,28,8.011653,50,24
BASE,RECOCIDO_SIMULADO,50,300,100,cumplimientoPrioritariosPct,14.195821,14.814815,7.279075,32,3.333333
BASE,RECOCIDO_SIMULADO,50,300,100,retrasoHoras,767.634667,817.276667,204.905097,382.108333,1047.276667
BASE,RECOCIDO_SIMULADO,50,300,100,tiempoAtencionHoras,1594.071083,1637.774167,259.635804,1079.191667,1959.49
BASE,RECOCIDO_SIMULADO,50,300,100,noAsignados,0,0,0,0,0
BASE,RECOCIDO_SIMULADO,50,300,100,costo,16699.993333,16795,1226.150662,14324,19584
BASE,RECOCIDO_SIMULADO,50,300,100,distanciaKm,2504.293333,2520,187.778121,2112,2936
BASE,RECOCIDO_SIMULADO,50,300,100,utilizacionPct,64.901961,64.95098,5.342597,74.019608,54.166667
BASE,GENETICO,100,300,100,objetivo,258912.03875,246847.911667,69807.63845,158090.783333,383895.288333
BASE,GENETICO,100,300,100,tiempoMs,795.217722,776.13815,111.784142,593.2671,1484.9925
BASE,GENETICO,100,300,100,evaluaciones,9060,9060,0,9060,9060
BASE,GENETICO,100,300,100,cumplimientoPct,15.976667,16,3.597117,24,9
BASE,GENETICO,100,300,100,cumplimientoPrioritariosPct,7.189335,7.477679,3.135626,15.384615,0
BASE,GENETICO,100,300,100,retrasoHoras,2312.172444,2167.729167,686.460886,1331.258333,3567.586667
BASE,GENETICO,100,300,100,tiempoAtencionHoras,3761.460972,3582.933333,697.477475,2726.581667,5136.621667
BASE,GENETICO,100,300,100,noAsignados,23.933333,24,2.965051,17,30
BASE,GENETICO,100,300,100,costo,21326.873333,21187,1442.110001,17654,24968
BASE,GENETICO,100,300,100,distanciaKm,3427.4,3401,229.002987,2866,3984
BASE,GENETICO,100,300,100,utilizacionPct,89.006536,89.215686,2.366551,95.588235,82.107843
BASE,RECOCIDO_SIMULADO,100,300,100,objetivo,367275.773706,358819.345833,98115.573377,238299.925,501529.031667
BASE,RECOCIDO_SIMULADO,100,300,100,tiempoMs,164.269727,162.70415,13.169098,136.5027,193.7866
BASE,RECOCIDO_SIMULADO,100,300,100,evaluaciones,4746.733333,4741,158.434425,4301,5181
BASE,RECOCIDO_SIMULADO,100,300,100,cumplimientoPct,9.2,8,3.037117,16,5
BASE,RECOCIDO_SIMULADO,100,300,100,cumplimientoPrioritariosPct,4.290889,3.448276,2.722327,10.769231,0
BASE,RECOCIDO_SIMULADO,100,300,100,retrasoHoras,3438.005622,3348.7525,966.660956,2176.051667,4799.858333
BASE,RECOCIDO_SIMULADO,100,300,100,tiempoAtencionHoras,4995.211483,4816.906667,990.047996,3693.936667,6543.198333
BASE,RECOCIDO_SIMULADO,100,300,100,noAsignados,18.48,18,2.749813,14,24
BASE,RECOCIDO_SIMULADO,100,300,100,costo,22211.673333,22286,1530.919828,18780,25866
BASE,RECOCIDO_SIMULADO,100,300,100,distanciaKm,3629.793333,3647,262.492345,3026,4220
BASE,RECOCIDO_SIMULADO,100,300,100,utilizacionPct,96.363562,96.078431,1.223521,99.264706,93.872549
