variante,escenario,tamanio,instancia,repeticion,semilla,algoritmo,tiempo_ms,evaluaciones,F,T_horas,R_horas,N,V,factible,verificada,cumplimiento_pct,cumplimiento_prioritarios_pct,costo,distancia_km,utilizacion_pct,temperatura_inicial
BASE,N025-I01,25,1,0,42,GENETICO,225.7147,9060,22591.055,606.388333,219.846667,0,0,true,true,44,20,10384,1454,42.401961,
BASE,N025-I01,25,1,1,43,GENETICO,254.9249,9060,22590.005,605.338333,219.846667,0,0,true,true,44,20,10144,1424,42.401961,
BASE,N025-I01,25,1,2,44,GENETICO,104.0148,9060,22697.865,607.198333,220.906667,0,0,true,true,44,20,10424,1456,42.401961,
BASE,N025-I01,25,1,3,45,GENETICO,318.3104,9060,22544.381667,604.548333,219.398333,0,0,true,true,48,26.666667,10600,1488,42.401961,
BASE,N025-I01,25,1,4,46,GENETICO,211.7899,9060,22535.991667,605.158333,219.308333,0,0,true,true,48,26.666667,10528,1476,42.401961,
BASE,N025-I01,25,1,5,47,GENETICO,151.2479,9060,22590.705,606.038333,219.846667,0,0,true,true,44,20,10224,1434,42.401961,
BASE,N025-I01,25,1,6,48,GENETICO,164.1577,9060,22648.605,603.938333,220.446667,0,0,true,true,44,20,10160,1446,42.401961,
BASE,N025-I01,25,1,7,49,GENETICO,275.5583,9060,22602.525,605.858333,219.966667,0,0,true,true,44,20,10112,1424,42.401961,
BASE,N025-I01,25,1,8,50,GENETICO,190.3655,9060,22639.971667,606.138333,220.338333,0,0,true,true,48,26.666667,10432,1460,42.401961,
BASE,N025-I01,25,1,9,51,GENETICO,139.553,9060,22571.01,605.843333,219.651667,0,0,true,true,44,20,10276,1434,42.401961,
BASE,N025-I01,25,1,10,52,GENETICO,167.0776,9060,22576.161667,604.828333,219.713333,0,0,true,true,48,26.666667,10616,1476,42.401961,
BASE,N025-I01,25,1,11,53,GENETICO,126.6538,9060,22591.055,606.388333,219.846667,0,0,true,true,44,20,10208,1432,42.401961,
BASE,N025-I01,25,1,12,54,GENETICO,127.7985,9060,22569.786667,604.453333,219.653333,0,0,true,true,48,26.666667,10692,1508,42.401961,
BASE,N025-I01,25,1,13,55,GENETICO,278.8439,9060,22571.301667,604.468333,219.668333,0,0,true,true,48,26.666667,10688,1508,42.401961,
BASE,N025-I01,25,1,14,56,GENETICO,250.2334,9060,22555.586667,605.253333,219.503333,0,0,true,true,48,26.666667,10732,1508,42.401961,
BASE,N025-I01,25,1,15,57,GENETICO,201.1078,9060,22590.105,605.438333,219.846667,0,0,true,true,44,20,10208,1432,42.401961,
BASE,N025-I01,25,1,16,58,GENETICO,175.5742,9060,22544.831667,604.998333,219.398333,0,0,true,true,48,26.666667,10504,1476,42.401961,
BASE,N025-I01,25,1,17,59,GENETICO,158.0147,9060,22651.891667,606.058333,220.458333,0,0,true,true,48,26.666667,10480,1470,42.401961,
BASE,N025-I01,25,1,18,60,GENETICO,170.4889,9060,22581.265,605.598333,219.756667,0,0,true,true,44,20,10232,1432,42.401961,
BASE,N025-I01,25,1,19,61,GENETICO,270.3559,9060,22544.381667,604.548333,219.398333,0,0,true,true,48,26.666667,10600,1488,42.401961,
BASE,N025-I01,25,1,20,62,GENETICO,257.2323,9060,22535.991667,605.158333,219.308333,0,0,true,true,48,26.666667,10528,1476,42.401961,
BASE,N025-I01,25,1,21,63,GENETICO,261.1658,9060,22535.991667,605.158333,219.308333,0,0,true,true,48,26.666667,10528,1476,42.401961,
BASE,N025-I01,25,1,22,64,GENETICO,122.1589,9060,22590.355,605.688333,219.846667,0,0,true,true,44,20,10384,1454,42.401961,
BASE,N025-I01,25,1,23,65,GENETICO,184.2565,9060,22651.891667,606.058333,220.458333,0,0,true,true,48,26.666667,10480,1470,42.401961,
BASE,N025-I01,25,1,24,66,GENETICO,239.8263,9060,22590.355,605.688333,219.846667,0,0,true,true,44,20,10384,1454,42.401961,
BASE,N025-I01,25,1,25,67,GENETICO,189.8883,9060,22544.381667,604.548333,219.398333,0,0,true,true,48,26.666667,10600,1488,42.401961,
BASE,N025-I01,25,1,26,68,GENETICO,195.3909,9060,22535.841667,605.008333,219.308333,0,0,true,true,48,26.666667,10624,1488,42.401961,
BASE,N025-I01,25,1,27,69,GENETICO,186.6895,9060,22570.31,605.143333,219.651667,0,0,true,true,44,20,10068,1408,42.401961,
BASE,N025-I01,25,1,28,70,GENETICO,222.5055,9060,22590.805,606.138333,219.846667,0,0,true,true,44,20,10448,1462,42.401961,
BASE,N025-I01,25,1,29,71,GENETICO,307.3989,9060,22575.546667,604.213333,219.713333,0,0,true,true,48,26.666667,10948,1542,42.401961,
BASE,N025-I02,25,2,0,42,GENETICO,119.3836,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,1,43,GENETICO,123.292,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,2,44,GENETICO,113.9895,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,3,45,GENETICO,130.1818,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,4,46,GENETICO,119.7796,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,5,47,GENETICO,125.1665,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,6,48,GENETICO,118.5212,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,7,49,GENETICO,133.4669,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,8,50,GENETICO,121.5111,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,9,51,GENETICO,123.6324,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,10,52,GENETICO,151.2366,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,11,53,GENETICO,115.8326,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,12,54,GENETICO,164.8269,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,13,55,GENETICO,123.7681,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,14,56,GENETICO,161.0079,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,15,57,GENETICO,119.3513,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,16,58,GENETICO,167.6358,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,17,59,GENETICO,118.6617,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,18,60,GENETICO,127.4645,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,19,61,GENETICO,119.4222,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,20,62,GENETICO,117.0138,9060,11824.615,431.781667,113.928333,0,0,true,true,56,15.384615,11596,1690,31.617647,
BASE,N025-I02,25,2,21,63,GENETICO,115.5146,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,22,64,GENETICO,137.9819,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,23,65,GENETICO,135.5091,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
