variante,algoritmo,tamanio,corridas,factibles_pct,metrica,media,mediana,desviacion_muestral,mejor,peor
BASE,GENETICO,25,150,100,objetivo,13865.396856,11841.03,4383.124347,11174.456667,22697.865
BASE,GENETICO,25,150,100,tiempoMs,209.441437,170.9904,108.672851,104.0148,673.1148
BASE,GENETICO,25,150,100,evaluaciones,9060,9060,0,9060,9060
BASE,GENETICO,25,150,100,cumplimientoPct,58.293333,56,8.674228,68,44
BASE,GENETICO,25,150,100,cumplimientoPrioritariosPct,30.105325,27.272727,12.766268,52.941176,15.384615
BASE,GENETICO,25,150,100,retrasoHoras,133.909689,114.093333,43.195271,106.766667,220.906667
BASE,GENETICO,25,150,100,tiempoAtencionHoras,474.427967,431.696667,72.140667,414.818333,607.198333
BASE,GENETICO,25,150,100,noAsignados,0,0,0,0,0
BASE,GENETICO,25,150,100,costo,11367.866667,10852,962.644056,10068,13420
BASE,GENETICO,25,150,100,distanciaKm,1630.293333,1536,151.027334,1408,1934
BASE,GENETICO,25,150,100,utilizacionPct,31.862745,31.127451,5.718876,42.401961,25.490196
BASE,GENETICO,50,150,100,objetivo,86986.437589,84015.165,7336.641691,80089.986667,106577.598333
BASE,GENETICO,50,150,100,tiempoMs,245.828135,203.1011,90.327305,178.5752,611.2582
BASE,GENETICO,50,150,100,evaluaciones,9060,9060,0,9060,9060
BASE,GENETICO,50,150,100,cumplimientoPct,28.066667,28,1.595576,32,26
BASE,GENETICO,50,150,100,cumplimientoPrioritariosPct,12.894153,12.903226,3.562326,17.647059,7.142857
BASE,GENETICO,50,150,100,retrasoHoras,849.3839,824.968333,66.096763,784.846667,1046.353333
BASE,GENETICO,50,150,100,tiempoAtencionHoras,1681.380922,1722.056667,109.354152,1515.943333,1942.265
BASE,GENETICO,50,150,100,noAsignados,0.366667,0,0.814439,0,3
BASE,GENETICO,50,150,100,costo,15531.56,15582,1007.810381,14012,17416
BASE,GENETICO,50,150,100,distanciaKm,2318.813333,2279,172.528468,2086,2698
BASE,GENETICO,50,150,100,utilizacionPct,63.620915,64.460784,5.191426,74.019608,54.166667
GA_POB30,GENETICO,25,150,100,objetivo,13877.758911,11841.03,4390.484627,11174.456667,22697.865
GA_POB30,GENETICO,25,150,100,tiempoMs,78.434711,67.1721,27.355098,49.394,168.4906
GA_POB30,GENETICO,25,150,100,evaluaciones,4530,4530,0,4530,4530
