escenario,inicio,fin,vertices
OPERACION_DIARIA-NORMAL-N01,2026-09-01T00:13,2026-09-01T03:57,"(67,37) (67,22)"
OPERACION_DIARIA-NORMAL-N01,2026-09-01T02:10,2026-09-01T04:31,"(25,45) (45,45) (45,40)"
OPERACION_DIARIA-NORMAL-N01,2026-09-01T03:29,2026-09-01T05:23,"(15,10) (30,10) (30,18)"
OPERACION_DIARIA-NORMAL-N03,2026-09-01T09:17,2026-09-01T11:48,"(15,25) (15,30) (20,30) (20,35) (30,35) (30,40)"
OPERACION_DIARIA-NORMAL-N03,2026-09-01T10:46,2026-09-01T12:44,"(25,45) (45,45) (45,40)"
OPERACION_DIARIA-ALTA-N02,2026-09-01T09:17,2026-09-01T11:48,"(15,25) (15,30) (20,30) (20,35) (30,35) (30,40)"
OPERACION_DIARIA-ALTA-N02,2026-09-01T10:46,2026-09-01T12:44,"(25,45) (45,45) (45,40)"
OPERACION_DIARIA-CRITICA-N01,2026-09-01T07:12,2026-09-01T08:57,"(8,3) (8,23) (20,23)"
OPERACION_DIARIA-CRITICA-N03,2026-09-01T19:05,2026-09-01T22:51,"(15,10) (30,10) (30,18)"
OPERACION_DIARIA-CRITICA-N03,2026-09-01T19:38,2026-09-01T22:25,"(15,25) (15,30) (20,30) (20,35) (30,35) (30,40)"
OPERACION_DIARIA-CRITICA-N03,2026-09-01T19:38,2026-09-01T22:37,"(15,25) (15,30) (20,30) (20,35) (30,35) (30,40)"
OPERACION_DIARIA-CRITICA-N03,2026-09-01T20:19,2026-09-01T22:42,"(50,10) (55,10) (55,25)"
OPERACION_DIARIA-CRITICA-N03,2026-09-01T20:46,2026-09-01T23:27,"(15,10) (30,10) (30,18)"
SIMULACION_CINCO_DIAS-NORMAL-N01,2026-09-05T03:22,2026-09-05T05:26,"(15,25) (15,30) (20,30) (20,35) (30,35) (30,40)"
SIMULACION_CINCO_DIAS-NORMAL-N01,2026-09-05T04:17,2026-09-05T06:20,"(25,45) (45,45) (45,40)"
SIMULACION_CINCO_DIAS-NORMAL-N01,2026-09-05T04:26,2026-09-05T05:49,"(42,8) (42,15) (47,15) (47,27) (55,27)"
SIMULACION_CINCO_DIAS-NORMAL-N02,2026-09-10T00:10,2026-09-10T03:00,"(5,20) (5,35)"
SIMULACION_CINCO_DIAS-NORMAL-N02,2026-09-10T02:05,2026-09-10T03:27,"(60,10) (60,25)"
SIMULACION_CINCO_DIAS-NORMAL-N03,2026-09-15T01:37,2026-09-15T03:37,"(67,37) (67,22)"
SIMULACION_CINCO_DIAS-NORMAL-N03,2026-09-15T02:14,2026-09-15T05:28,"(15,40) (27,40)"
SIMULACION_CINCO_DIAS-ALTA-N03,2026-09-15T02:14,2026-09-15T05:28,"(15,40) (27,40)"
SIMULACION_CINCO_DIAS-CRITICA-N01,2026-09-05T07:32,2026-09-05T10:41,"(57,30) (57,45)"
SIMULACION_CINCO_DIAS-CRITICA-N01,2026-09-05T07:46,2026-09-05T10:45,"(15,3) (22,3) (22,8) (37,8) (37,12)"
SIMULACION_CINCO_DIAS-CRITICA-N01,2026-09-05T07:49,2026-09-05T10:47,"(50,10) (55,10) (55,25)"
SIMULACION_CINCO_DIAS-CRITICA-N01,2026-09-05T08:12,2026-09-05T11:21,"(8,3) (8,23) (20,23)"
SIMULACION_CINCO_DIAS-CRITICA-N02,2026-09-10T04:23,2026-09-10T07:04,"(60,10) (60,25)"
SIMULACION_CINCO_DIAS-CRITICA-N02,2026-09-10T05:10,2026-09-10T08:10,"(17,15) (25,15)"
SIMULACION_CINCO_DIAS-CRITICA-N03,2026-09-15T05:22,2026-09-15T07:43,"(50,10) (55,10) (55,25)"
COLAPSO_LOGISTICO-NORMAL-N01,2026-09-01T00:13,2026-09-01T03:57,"(67,37) (67,22)"
COLAPSO_LOGISTICO-NORMAL-N01,2026-09-01T02:10,2026-09-01T04:31,"(25,45) (45,45) (45,40)"
COLAPSO_LOGISTICO-NORMAL-N01,2026-09-01T03:29,2026-09-01T05:23,"(15,10) (30,10) (30,18)"
COLAPSO_LOGISTICO-NORMAL-N02,2026-09-01T09:17,2026-09-01T11:48,"(15,25) (15,30) (20,30) (20,35) (30,35) (30,40)"
COLAPSO_LOGISTICO-NORMAL-N02,2026-09-01T10:46,2026-09-01T12:44,"(25,45) (45,45) (45,40)"
COLAPSO_LOGISTICO-NORMAL-N03,2026-09-01T19:05,2026-09-01T22:51,"(15,10) (30,10) (30,18)"
COLAPSO_LOGISTICO-NORMAL-N03,2026-09-01T19:38,2026-09-01T22:25,"(15,25) (15,30) (20,30) (20,35) (30,35) (30,40)"
COLAPSO_LOGISTICO-NORMAL-N03,2026-09-01T19:38,2026-09-01T22:37,"(15,25) (15,30) (20,30) (20,35) (30,35) (30,40)"
COLAPSO_LOGISTICO-ALTA-N03,2026-09-02T05:38,2026-09-02T08:03,"(25,25) (30,25) (30,30) (35,30)"
COLAPSO_LOGISTICO-ALTA-N03,2026-09-02T07:11,2026-09-02T08:50,"(25,25) (30,25) (30,30) (35,30)"
COLAPSO_LOGISTICO-CRITICA-N01,2026-09-01T07:12,2026-09-01T08:57,"(8,3) (8,23) (20,23)"
COLAPSO_LOGISTICO-CRITICA-N02,2026-09-01T19:05,2026-09-01T22:51,"(15,10) (30,10) (30,18)"
COLAPSO_LOGISTICO-CRITICA-N02,2026-09-01T19:38,2026-09-01T22:25,"(15,25) (15,30) (20,30) (20,35) (30,35) (30,40)"
COLAPSO_LOGISTICO-CRITICA-N02,2026-09-01T19:38,2026-09-01T22:37,"(15,25) (15,30) (20,30) (20,35) (30,35) (30,40)"
COLAPSO_LOGISTICO-CRITICA-N02,2026-09-01T20:19,2026-09-01T22:42,"(50,10) (55,10) (55,25)"
COLAPSO_LOGISTICO-CRITICA-N02,2026-09-01T20:46,2026-09-01T23:27,"(15,10) (30,10) (30,18)"
COLAPSO_LOGISTICO-CRITICA-N02,2026-09-01T21:42,2026-09-02T00:00,"(5,20) (5,35)"
