variante,escenario,escenario_operativo,perfil_presion,nivel,tamanio,algoritmo_A,algoritmo_B,pares,media_F_A,media_F_B,victorias_A,victorias_B,empates,p_wilcoxon,tamano_efecto_r,interpretacion_efecto,veredicto,media_evaluaciones_A,media_evaluaciones_B,media_tiempo_ms_A,media_tiempo_ms_B,p_wilcoxon_presupuesto_igual,veredicto_presupuesto_igual
BASE,COLAPSO_LOGISTICO-ALTA-N01,COLAPSO_LOGISTICO,ALTA,1,38,GENETICO,RECOCIDO_SIMULADO,30,291.766778,298.807667,30,0,0,0.000002,0.873118,GRANDE,GANA_GENETICO,9060,1707.666667,813.167387,17.87251,0,GANA_GENETICO
BASE,COLAPSO_LOGISTICO-ALTA-N02,COLAPSO_LOGISTICO,ALTA,2,56,GENETICO,RECOCIDO_SIMULADO,30,1335.228833,1344.688,30,0,0,0,0.873095,GRANDE,GANA_GENETICO,9060,3063.666667,396.187487,39.935103,0,GANA_GENETICO
BASE,COLAPSO_LOGISTICO-ALTA-N03,COLAPSO_LOGISTICO,ALTA,3,75,GENETICO,RECOCIDO_SIMULADO,30,82081.560833,99761.746889,30,0,0,0,0.873095,GRANDE,GANA_GENETICO,9060,4274.333333,915.812953,161.859613,0,GANA_GENETICO
BASE,COLAPSO_LOGISTICO-CRITICA-N01,COLAPSO_LOGISTICO,CRITICA,1,55,GENETICO,RECOCIDO_SIMULADO,30,977.784556,993.680167,30,0,0,0,0.873095,GRANDE,GANA_GENETICO,9060,2803.666667,445.398823,35.94061,0,GANA_GENETICO
BASE,COLAPSO_LOGISTICO-CRITICA-N02,COLAPSO_LOGISTICO,CRITICA,2,83,GENETICO,RECOCIDO_SIMULADO,30,66451.8875,69278.384778,23,7,0,0.002188,0.542633,GRANDE,GANA_GENETICO,9060,4115.666667,613.079237,140.108253,0.002188,GANA_GENETICO
BASE,COLAPSO_LOGISTICO-CRITICA-N03,COLAPSO_LOGISTICO,CRITICA,3,110,GENETICO,RECOCIDO_SIMULADO,30,222039.577167,247987.045222,30,0,0,0,0.873095,GRANDE,GANA_GENETICO,9060,4530.333333,1198.581327,340.007857,0,GANA_GENETICO
BASE,COLAPSO_LOGISTICO-NORMAL-N01,COLAPSO_LOGISTICO,NORMAL,1,25,GENETICO,RECOCIDO_SIMULADO,30,84.5685,86.263333,30,0,0,0.000002,0.873603,GRANDE,GANA_GENETICO,9060,902.333333,623.345423,7.958223,0.000002,GANA_GENETICO
BASE,COLAPSO_LOGISTICO-NORMAL-N02,COLAPSO_LOGISTICO,NORMAL,2,38,GENETICO,RECOCIDO_SIMULADO,30,629.366222,634.918,30,0,0,0,0.873095,GRANDE,GANA_GENETICO,9060,2485,596.35081,25.228377,0,GANA_GENETICO
BASE,COLAPSO_LOGISTICO-NORMAL-N03,COLAPSO_LOGISTICO,NORMAL,3,50,GENETICO,RECOCIDO_SIMULADO,30,1331.798667,1424.414444,27,3,0,0.000001,0.782969,GRANDE,GANA_GENETICO,9060,3833,724.438397,47.1867,0.000001,GANA_GENETICO
BASE,OPERACION_DIARIA-ALTA-N01,OPERACION_DIARIA,ALTA,1,38,GENETICO,RECOCIDO_SIMULADO,30,350.355778,354.249444,19,11,0,0.715133,0.069472,DESPRECIABLE,SIN_DIFERENCIA_SIGNIFICATIVA,9060,838.333333,848.38924,18.37708,0.80783,SIN_DIFERENCIA_SIGNIFICATIVA
