variante,escenario,escenario_operativo,perfil_presion,nivel,tamanio,algoritmo_A,algoritmo_B,metrica,p_wilcoxon,p_wilcoxon_holm,tamano_efecto_r,veredicto
BASE,COLAPSO_LOGISTICO-ALTA-N01,COLAPSO_LOGISTICO,ALTA,1,38,GENETICO,RECOCIDO_SIMULADO,retrasoHoras,,,0,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,COLAPSO_LOGISTICO-ALTA-N01,COLAPSO_LOGISTICO,ALTA,1,38,GENETICO,RECOCIDO_SIMULADO,costo,0.000002,0.000007,0.873118,GANA_GENETICO
BASE,COLAPSO_LOGISTICO-ALTA-N01,COLAPSO_LOGISTICO,ALTA,1,38,GENETICO,RECOCIDO_SIMULADO,noAsignados,,,0,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,COLAPSO_LOGISTICO-ALTA-N01,COLAPSO_LOGISTICO,ALTA,1,38,GENETICO,RECOCIDO_SIMULADO,cumplimientoPlazosPct,,,0,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,COLAPSO_LOGISTICO-ALTA-N01,COLAPSO_LOGISTICO,ALTA,1,38,GENETICO,RECOCIDO_SIMULADO,tiempoMs,0,0,0.873095,GANA_RECOCIDO_SIMULADO
BASE,COLAPSO_LOGISTICO-ALTA-N02,COLAPSO_LOGISTICO,ALTA,2,56,GENETICO,RECOCIDO_SIMULADO,retrasoHoras,,,0,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,COLAPSO_LOGISTICO-ALTA-N02,COLAPSO_LOGISTICO,ALTA,2,56,GENETICO,RECOCIDO_SIMULADO,costo,0,0,0.835543,GANA_GENETICO
BASE,COLAPSO_LOGISTICO-ALTA-N02,COLAPSO_LOGISTICO,ALTA,2,56,GENETICO,RECOCIDO_SIMULADO,noAsignados,,,0,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,COLAPSO_LOGISTICO-ALTA-N02,COLAPSO_LOGISTICO,ALTA,2,56,GENETICO,RECOCIDO_SIMULADO,cumplimientoPlazosPct,,,0,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,COLAPSO_LOGISTICO-ALTA-N02,COLAPSO_LOGISTICO,ALTA,2,56,GENETICO,RECOCIDO_SIMULADO,tiempoMs,0,0,0.873095,GANA_RECOCIDO_SIMULADO
BASE,COLAPSO_LOGISTICO-ALTA-N03,COLAPSO_LOGISTICO,ALTA,3,75,GENETICO,RECOCIDO_SIMULADO,retrasoHoras,0,0,0.873095,GANA_GENETICO
BASE,COLAPSO_LOGISTICO-ALTA-N03,COLAPSO_LOGISTICO,ALTA,3,75,GENETICO,RECOCIDO_SIMULADO,costo,0.096102,0.096102,0.306053,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,COLAPSO_LOGISTICO-ALTA-N03,COLAPSO_LOGISTICO,ALTA,3,75,GENETICO,RECOCIDO_SIMULADO,noAsignados,0.000001,0.000004,0.887164,GANA_GENETICO
BASE,COLAPSO_LOGISTICO-ALTA-N03,COLAPSO_LOGISTICO,ALTA,3,75,GENETICO,RECOCIDO_SIMULADO,cumplimientoPlazosPct,0.000002,0.000004,0.876135,GANA_RECOCIDO_SIMULADO
BASE,COLAPSO_LOGISTICO-ALTA-N03,COLAPSO_LOGISTICO,ALTA,3,75,GENETICO,RECOCIDO_SIMULADO,tiempoMs,0,0,0.873095,GANA_RECOCIDO_SIMULADO
BASE,COLAPSO_LOGISTICO-CRITICA-N01,COLAPSO_LOGISTICO,CRITICA,1,55,GENETICO,RECOCIDO_SIMULADO,retrasoHoras,,,0,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,COLAPSO_LOGISTICO-CRITICA-N01,COLAPSO_LOGISTICO,CRITICA,1,55,GENETICO,RECOCIDO_SIMULADO,costo,0.000001,0.000005,0.786724,GANA_GENETICO
BASE,COLAPSO_LOGISTICO-CRITICA-N01,COLAPSO_LOGISTICO,CRITICA,1,55,GENETICO,RECOCIDO_SIMULADO,noAsignados,,,0,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,COLAPSO_LOGISTICO-CRITICA-N01,COLAPSO_LOGISTICO,CRITICA,1,55,GENETICO,RECOCIDO_SIMULADO,cumplimientoPlazosPct,,,0,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,COLAPSO_LOGISTICO-CRITICA-N01,COLAPSO_LOGISTICO,CRITICA,1,55,GENETICO,RECOCIDO_SIMULADO,tiempoMs,0,0,0.873095,GANA_RECOCIDO_SIMULADO
BASE,COLAPSO_LOGISTICO-CRITICA-N02,COLAPSO_LOGISTICO,CRITICA,2,83,GENETICO,RECOCIDO_SIMULADO,retrasoHoras,0,0,0.83981,GANA_GENETICO
BASE,COLAPSO_LOGISTICO-CRITICA-N02,COLAPSO_LOGISTICO,CRITICA,2,83,GENETICO,RECOCIDO_SIMULADO,costo,0.007612,0.015224,0.478794,GANA_GENETICO
BASE,COLAPSO_LOGISTICO-CRITICA-N02,COLAPSO_LOGISTICO,CRITICA,2,83,GENETICO,RECOCIDO_SIMULADO,noAsignados,0.055834,0.055834,0.349143,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,COLAPSO_LOGISTICO-CRITICA-N02,COLAPSO_LOGISTICO,CRITICA,2,83,GENETICO,RECOCIDO_SIMULADO,cumplimientoPlazosPct,0.000015,0.000045,0.790712,GANA_RECOCIDO_SIMULADO
BASE,COLAPSO_LOGISTICO-CRITICA-N02,COLAPSO_LOGISTICO,CRITICA,2,83,GENETICO,RECOCIDO_SIMULADO,tiempoMs,0,0,0.873095,GANA_RECOCIDO_SIMULADO
BASE,COLAPSO_LOGISTICO-CRITICA-N03,COLAPSO_LOGISTICO,CRITICA,3,110,GENETICO,RECOCIDO_SIMULADO,retrasoHoras,0.000002,0.000005,0.873118,GANA_GENETICO
BASE,COLAPSO_LOGISTICO-CRITICA-N03,COLAPSO_LOGISTICO,CRITICA,3,110,GENETICO,RECOCIDO_SIMULADO,costo,0.009301,0.009301,0.467528,GANA_GENETICO
BASE,COLAPSO_LOGISTICO-CRITICA-N03,COLAPSO_LOGISTICO,CRITICA,3,110,GENETICO,RECOCIDO_SIMULADO,noAsignados,0.000001,0.000005,0.886849,GANA_GENETICO
BASE,COLAPSO_LOGISTICO-CRITICA-N03,COLAPSO_LOGISTICO,CRITICA,3,110,GENETICO,RECOCIDO_SIMULADO,cumplimientoPlazosPct,0.000002,0.000005,0.873557,GANA_RECOCIDO_SIMULADO
BASE,COLAPSO_LOGISTICO-CRITICA-N03,COLAPSO_LOGISTICO,CRITICA,3,110,GENETICO,RECOCIDO_SIMULADO,tiempoMs,0,0,0.873095,GANA_RECOCIDO_SIMULADO
BASE,COLAPSO_LOGISTICO-NORMAL-N01,COLAPSO_LOGISTICO,NORMAL,1,25,GENETICO,RECOCIDO_SIMULADO,retrasoHoras,,,0,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,COLAPSO_LOGISTICO-NORMAL-N01,COLAPSO_LOGISTICO,NORMAL,1,25,GENETICO,RECOCIDO_SIMULADO,costo,0.000002,0.000007,0.874344,GANA_RECOCIDO_SIMULADO
BASE,COLAPSO_LOGISTICO-NORMAL-N01,COLAPSO_LOGISTICO,NORMAL,1,25,GENETICO,RECOCIDO_SIMULADO,noAsignados,,,0,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,COLAPSO_LOGISTICO-NORMAL-N01,COLAPSO_LOGISTICO,NORMAL,1,25,GENETICO,RECOCIDO_SIMULADO,cumplimientoPlazosPct,,,0,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,COLAPSO_LOGISTICO-NORMAL-N01,COLAPSO_LOGISTICO,NORMAL,1,25,GENETICO,RECOCIDO_SIMULADO,tiempoMs,0,0,0.873095,GANA_RECOCIDO_SIMULADO
BASE,COLAPSO_LOGISTICO-NORMAL-N02,COLAPSO_LOGISTICO,NORMAL,2,38,GENETICO,RECOCIDO_SIMULADO,retrasoHoras,,,0,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,COLAPSO_LOGISTICO-NORMAL-N02,COLAPSO_LOGISTICO,NORMAL,2,38,GENETICO,RECOCIDO_SIMULADO,costo,0.000283,0.001131,0.662854,GANA_GENETICO
BASE,COLAPSO_LOGISTICO-NORMAL-N02,COLAPSO_LOGISTICO,NORMAL,2,38,GENETICO,RECOCIDO_SIMULADO,noAsignados,,,0,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,COLAPSO_LOGISTICO-NORMAL-N02,COLAPSO_LOGISTICO,NORMAL,2,38,GENETICO,RECOCIDO_SIMULADO,cumplimientoPlazosPct,,,0,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,COLAPSO_LOGISTICO-NORMAL-N02,COLAPSO_LOGISTICO,NORMAL,2,38,GENETICO,RECOCIDO_SIMULADO,tiempoMs,0,0,0.873095,GANA_RECOCIDO_SIMULADO
BASE,COLAPSO_LOGISTICO-NORMAL-N03,COLAPSO_LOGISTICO,NORMAL,3,50,GENETICO,RECOCIDO_SIMULADO,retrasoHoras,0.000236,0.000709,0.671256,GANA_GENETICO
BASE,COLAPSO_LOGISTICO-NORMAL-N03,COLAPSO_LOGISTICO,NORMAL,3,50,GENETICO,RECOCIDO_SIMULADO,costo,0.000071,0.000282,0.677822,GANA_GENETICO
BASE,COLAPSO_LOGISTICO-NORMAL-N03,COLAPSO_LOGISTICO,NORMAL,3,50,GENETICO,RECOCIDO_SIMULADO,noAsignados,,,0,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,COLAPSO_LOGISTICO-NORMAL-N03,COLAPSO_LOGISTICO,NORMAL,3,50,GENETICO,RECOCIDO_SIMULADO,cumplimientoPlazosPct,0.011412,0.022824,0.46188,GANA_RECOCIDO_SIMULADO
BASE,COLAPSO_LOGISTICO-NORMAL-N03,COLAPSO_LOGISTICO,NORMAL,3,50,GENETICO,RECOCIDO_SIMULADO,tiempoMs,0,0,0.873095,GANA_RECOCIDO_SIMULADO
BASE,OPERACION_DIARIA-ALTA-N01,OPERACION_DIARIA,ALTA,1,38,GENETICO,RECOCIDO_SIMULADO,retrasoHoras,0.677821,1,0.075848,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,OPERACION_DIARIA-ALTA-N01,OPERACION_DIARIA,ALTA,1,38,GENETICO,RECOCIDO_SIMULADO,costo,0.100397,0.401589,0.302297,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,OPERACION_DIARIA-ALTA-N01,OPERACION_DIARIA,ALTA,1,38,GENETICO,RECOCIDO_SIMULADO,noAsignados,,,0,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,OPERACION_DIARIA-ALTA-N01,OPERACION_DIARIA,ALTA,1,38,GENETICO,RECOCIDO_SIMULADO,cumplimientoPlazosPct,,,0,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,OPERACION_DIARIA-ALTA-N01,OPERACION_DIARIA,ALTA,1,38,GENETICO,RECOCIDO_SIMULADO,tiempoMs,0,0,0.873095,GANA_RECOCIDO_SIMULADO
BASE,OPERACION_DIARIA-ALTA-N02,OPERACION_DIARIA,ALTA,2,38,GENETICO,RECOCIDO_SIMULADO,retrasoHoras,0.000534,0.001602,0.632273,GANA_RECOCIDO_SIMULADO
BASE,OPERACION_DIARIA-ALTA-N02,OPERACION_DIARIA,ALTA,2,38,GENETICO,RECOCIDO_SIMULADO,costo,0.000001,0.000004,0.79048,GANA_GENETICO
BASE,OPERACION_DIARIA-ALTA-N02,OPERACION_DIARIA,ALTA,2,38,GENETICO,RECOCIDO_SIMULADO,noAsignados,,,0,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,OPERACION_DIARIA-ALTA-N02,OPERACION_DIARIA,ALTA,2,38,GENETICO,RECOCIDO_SIMULADO,cumplimientoPlazosPct,0.317311,0.634621,0.182574,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,OPERACION_DIARIA-ALTA-N02,OPERACION_DIARIA,ALTA,2,38,GENETICO,RECOCIDO_SIMULADO,tiempoMs,0,0,0.873095,GANA_RECOCIDO_SIMULADO
BASE,OPERACION_DIARIA-ALTA-N03,OPERACION_DIARIA,ALTA,3,38,GENETICO,RECOCIDO_SIMULADO,retrasoHoras,1,1,0,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,OPERACION_DIARIA-ALTA-N03,OPERACION_DIARIA,ALTA,3,38,GENETICO,RECOCIDO_SIMULADO,costo,0.000283,0.001132,0.662819,GANA_RECOCIDO_SIMULADO
BASE,OPERACION_DIARIA-ALTA-N03,OPERACION_DIARIA,ALTA,3,38,GENETICO,RECOCIDO_SIMULADO,noAsignados,,,0,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,OPERACION_DIARIA-ALTA-N03,OPERACION_DIARIA,ALTA,3,38,GENETICO,RECOCIDO_SIMULADO,cumplimientoPlazosPct,1,1,0,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,OPERACION_DIARIA-ALTA-N03,OPERACION_DIARIA,ALTA,3,38,GENETICO,RECOCIDO_SIMULADO,tiempoMs,0,0,0.873095,GANA_RECOCIDO_SIMULADO
BASE,OPERACION_DIARIA-CRITICA-N01,OPERACION_DIARIA,CRITICA,1,55,GENETICO,RECOCIDO_SIMULADO,retrasoHoras,0.779946,1,0.051009,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,OPERACION_DIARIA-CRITICA-N01,OPERACION_DIARIA,CRITICA,1,55,GENETICO,RECOCIDO_SIMULADO,costo,0.000015,0.00006,0.790501,GANA_GENETICO
BASE,OPERACION_DIARIA-CRITICA-N01,OPERACION_DIARIA,CRITICA,1,55,GENETICO,RECOCIDO_SIMULADO,noAsignados,,,0,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,OPERACION_DIARIA-CRITICA-N01,OPERACION_DIARIA,CRITICA,1,55,GENETICO,RECOCIDO_SIMULADO,cumplimientoPlazosPct,0.506281,1,0.121346,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,OPERACION_DIARIA-CRITICA-N01,OPERACION_DIARIA,CRITICA,1,55,GENETICO,RECOCIDO_SIMULADO,tiempoMs,0,0,0.873095,GANA_RECOCIDO_SIMULADO
BASE,OPERACION_DIARIA-CRITICA-N02,OPERACION_DIARIA,CRITICA,2,55,GENETICO,RECOCIDO_SIMULADO,retrasoHoras,0.304193,0.608386,0.19147,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,OPERACION_DIARIA-CRITICA-N02,OPERACION_DIARIA,CRITICA,2,55,GENETICO,RECOCIDO_SIMULADO,costo,0.000002,0.000009,0.865608,GANA_GENETICO
BASE,OPERACION_DIARIA-CRITICA-N02,OPERACION_DIARIA,CRITICA,2,55,GENETICO,RECOCIDO_SIMULADO,noAsignados,,,0,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,OPERACION_DIARIA-CRITICA-N02,OPERACION_DIARIA,CRITICA,2,55,GENETICO,RECOCIDO_SIMULADO,cumplimientoPlazosPct,0.085944,0.257832,0.313515,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,OPERACION_DIARIA-CRITICA-N02,OPERACION_DIARIA,CRITICA,2,55,GENETICO,RECOCIDO_SIMULADO,tiempoMs,0,0,0.873095,GANA_RECOCIDO_SIMULADO
BASE,OPERACION_DIARIA-CRITICA-N03,OPERACION_DIARIA,CRITICA,3,55,GENETICO,RECOCIDO_SIMULADO,retrasoHoras,0.967674,1,0.009388,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,OPERACION_DIARIA-CRITICA-N03,OPERACION_DIARIA,CRITICA,3,55,GENETICO,RECOCIDO_SIMULADO,costo,0.000894,0.003577,0.606489,GANA_GENETICO
BASE,OPERACION_DIARIA-CRITICA-N03,OPERACION_DIARIA,CRITICA,3,55,GENETICO,RECOCIDO_SIMULADO,noAsignados,0.096835,0.290506,0.303145,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,OPERACION_DIARIA-CRITICA-N03,OPERACION_DIARIA,CRITICA,3,55,GENETICO,RECOCIDO_SIMULADO,cumplimientoPlazosPct,0.94778,1,0.011958,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,OPERACION_DIARIA-CRITICA-N03,OPERACION_DIARIA,CRITICA,3,55,GENETICO,RECOCIDO_SIMULADO,tiempoMs,0,0,0.873095,GANA_RECOCIDO_SIMULADO
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,25,GENETICO,RECOCIDO_SIMULADO,retrasoHoras,,,0,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,25,GENETICO,RECOCIDO_SIMULADO,costo,0.000002,0.000007,0.874344,GANA_RECOCIDO_SIMULADO
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,25,GENETICO,RECOCIDO_SIMULADO,noAsignados,,,0,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,25,GENETICO,RECOCIDO_SIMULADO,cumplimientoPlazosPct,,,0,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,25,GENETICO,RECOCIDO_SIMULADO,tiempoMs,0,0,0.873095,GANA_RECOCIDO_SIMULADO
BASE,OPERACION_DIARIA-NORMAL-N02,OPERACION_DIARIA,NORMAL,2,25,GENETICO,RECOCIDO_SIMULADO,retrasoHoras,,,0,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,OPERACION_DIARIA-NORMAL-N02,OPERACION_DIARIA,NORMAL,2,25,GENETICO,RECOCIDO_SIMULADO,costo,0.490626,1,0.125851,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,OPERACION_DIARIA-NORMAL-N02,OPERACION_DIARIA,NORMAL,2,25,GENETICO,RECOCIDO_SIMULADO,noAsignados,,,0,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,OPERACION_DIARIA-NORMAL-N02,OPERACION_DIARIA,NORMAL,2,25,GENETICO,RECOCIDO_SIMULADO,cumplimientoPlazosPct,,,0,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,OPERACION_DIARIA-NORMAL-N02,OPERACION_DIARIA,NORMAL,2,25,GENETICO,RECOCIDO_SIMULADO,tiempoMs,0,0,0.873095,GANA_RECOCIDO_SIMULADO
BASE,OPERACION_DIARIA-NORMAL-N03,OPERACION_DIARIA,NORMAL,3,25,GENETICO,RECOCIDO_SIMULADO,retrasoHoras,,,0,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,OPERACION_DIARIA-NORMAL-N03,OPERACION_DIARIA,NORMAL,3,25,GENETICO,RECOCIDO_SIMULADO,costo,0.013932,0.055726,0.448954,SIN_DIFERENCIA_SIGNIFICATIVA
