variante,escenario,escenario_operativo,perfil_presion,tamanio,nivel,repeticion,semilla,algoritmo,tiempo_ms,evaluaciones,F,T_horas,R_horas,N,V,factible,verificada,cumplimiento_pct,cumplimiento_prioritarios_pct,costo,distancia_km,utilizacion_pct,temperatura_inicial,pedidos_afectados_incidencia,vehiculos_averia_incidente,tiempo_replanificacion_ms,replanificacion_exitosa
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,0,42,GENETICO,502.0115,9060,84.448333,84.448333,0,0,0,true,true,100,100,10436,1470,29.947917,,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,0,42,RECOCIDO_SIMULADO,9.001,861,86.263333,86.263333,0,0,0,true,true,100,100,9984,1474,29.947917,2.642425,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,1,43,RECOCIDO_SIMULADO,7.4416,781,86.263333,86.263333,0,0,0,true,true,100,100,9984,1474,29.947917,2.310887,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,1,43,GENETICO,722.7338,9060,84.463333,84.463333,0,0,0,true,true,100,100,10448,1472,29.947917,,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,2,44,GENETICO,627.2675,9060,84.478333,84.478333,0,0,0,true,true,100,100,10460,1474,29.947917,,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,2,44,RECOCIDO_SIMULADO,8.0633,861,86.263333,86.263333,0,0,0,true,true,100,100,9984,1474,29.947917,2.643916,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,3,45,RECOCIDO_SIMULADO,8.9025,981,86.263333,86.263333,0,0,0,true,true,100,100,9984,1474,29.947917,2.94504,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,3,45,GENETICO,530.6102,9060,84.643333,84.643333,0,0,0,true,true,100,100,10384,1470,29.947917,,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,4,46,GENETICO,704.5852,9060,84.598333,84.598333,0,0,0,true,true,100,100,10396,1470,29.947917,,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,4,46,RECOCIDO_SIMULADO,9.819,1061,86.263333,86.263333,0,0,0,true,true,100,100,9984,1474,29.947917,3.337714,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,5,47,RECOCIDO_SIMULADO,7.8755,861,86.263333,86.263333,0,0,0,true,true,100,100,9984,1474,29.947917,2.56445,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,5,47,GENETICO,555.9672,9060,84.808333,84.808333,0,0,0,true,true,100,100,10372,1474,29.947917,,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,6,48,GENETICO,509.7217,9060,84.673333,84.673333,0,0,0,true,true,100,100,10392,1472,29.947917,,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,6,48,RECOCIDO_SIMULADO,8.0833,901,86.263333,86.263333,0,0,0,true,true,100,100,9984,1474,29.947917,2.760974,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,7,49,RECOCIDO_SIMULADO,8.3161,941,86.263333,86.263333,0,0,0,true,true,100,100,9984,1474,29.947917,2.916645,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,7,49,GENETICO,755.0434,9060,84.538333,84.538333,0,0,0,true,true,100,100,10412,1470,29.947917,,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,8,50,GENETICO,597.8799,9060,84.603333,84.603333,0,0,0,true,true,100,100,10536,1486,29.947917,,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,8,50,RECOCIDO_SIMULADO,9.8395,1141,86.263333,86.263333,0,0,0,true,true,100,100,9984,1474,29.947917,3.756698,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,9,51,RECOCIDO_SIMULADO,7.7757,861,86.263333,86.263333,0,0,0,true,true,100,100,9984,1474,29.947917,2.570706,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,9,51,GENETICO,613.2766,9060,84.478333,84.478333,0,0,0,true,true,100,100,10460,1474,29.947917,,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,10,52,GENETICO,563.3103,9060,84.463333,84.463333,0,0,0,true,true,100,100,10448,1472,29.947917,,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,10,52,RECOCIDO_SIMULADO,7.41,781,86.263333,86.263333,0,0,0,true,true,100,100,9984,1474,29.947917,2.282907,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,11,53,RECOCIDO_SIMULADO,7.1549,781,86.263333,86.263333,0,0,0,true,true,100,100,9984,1474,29.947917,2.286844,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,11,53,GENETICO,769.9243,9060,84.448333,84.448333,0,0,0,true,true,100,100,10436,1470,29.947917,,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,12,54,GENETICO,743.1878,9060,84.448333,84.448333,0,0,0,true,true,100,100,10436,1470,29.947917,,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,12,54,RECOCIDO_SIMULADO,6.498,701,86.263333,86.263333,0,0,0,true,true,100,100,9984,1474,29.947917,2.105596,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,13,55,RECOCIDO_SIMULADO,7.3519,821,86.263333,86.263333,0,0,0,true,true,100,100,9984,1474,29.947917,2.512286,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,13,55,GENETICO,662.6964,9060,84.658333,84.658333,0,0,0,true,true,100,100,10380,1470,29.947917,,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,14,56,GENETICO,827.5118,9060,84.598333,84.598333,0,0,0,true,true,100,100,10396,1470,29.947917,,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,14,56,RECOCIDO_SIMULADO,8.6389,981,86.263333,86.263333,0,0,0,true,true,100,100,9984,1474,29.947917,3.031885,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,15,57,RECOCIDO_SIMULADO,8.4476,981,86.263333,86.263333,0,0,0,true,true,100,100,9984,1474,29.947917,2.992515,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,15,57,GENETICO,536.3653,9060,84.598333,84.598333,0,0,0,true,true,100,100,10396,1470,29.947917,,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,16,58,GENETICO,626.334,9060,84.628333,84.628333,0,0,0,true,true,100,100,10388,1470,29.947917,,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,16,58,RECOCIDO_SIMULADO,10.3824,1061,86.263333,86.263333,0,0,0,true,true,100,100,9984,1474,29.947917,3.401751,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,17,59,RECOCIDO_SIMULADO,8.5628,901,86.263333,86.263333,0,0,0,true,true,100,100,9984,1474,29.947917,2.744137,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,17,59,GENETICO,653.709,9060,84.538333,84.538333,0,0,0,true,true,100,100,10412,1470,29.947917,,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,18,60,GENETICO,619.5029,9060,84.478333,84.478333,0,0,0,true,true,100,100,10460,1474,29.947917,,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,18,60,RECOCIDO_SIMULADO,5.6815,581,86.263333,86.263333,0,0,0,true,true,100,100,9984,1474,29.947917,1.811802,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,19,61,RECOCIDO_SIMULADO,9.0842,1061,86.263333,86.263333,0,0,0,true,true,100,100,9984,1474,29.947917,3.292937,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,19,61,GENETICO,751.2947,9060,84.463333,84.463333,0,0,0,true,true,100,100,10448,1472,29.947917,,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,20,62,GENETICO,974.8343,9060,84.538333,84.538333,0,0,0,true,true,100,100,10428,1472,29.947917,,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,20,62,RECOCIDO_SIMULADO,8.0836,901,86.263333,86.263333,0,0,0,true,true,100,100,9984,1474,29.947917,2.729917,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,21,63,RECOCIDO_SIMULADO,7.2322,781,86.263333,86.263333,0,0,0,true,true,100,100,9984,1474,29.947917,2.327384,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,21,63,GENETICO,725.4005,9060,84.823333,84.823333,0,0,0,true,true,100,100,10352,1472,29.947917,,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,22,64,GENETICO,588.929,9060,84.538333,84.538333,0,0,0,true,true,100,100,10412,1470,29.947917,,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,22,64,RECOCIDO_SIMULADO,10.3583,981,86.263333,86.263333,0,0,0,true,true,100,100,9984,1474,29.947917,3.022441,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,23,65,RECOCIDO_SIMULADO,11.4568,1181,86.263333,86.263333,0,0,0,true,true,100,100,9984,1474,29.947917,3.829106,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,23,65,GENETICO,711.6826,9060,84.643333,84.643333,0,0,0,true,true,100,100,10384,1470,29.947917,,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,24,66,GENETICO,491.8055,9060,84.598333,84.598333,0,0,0,true,true,100,100,10396,1470,29.947917,,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,24,66,RECOCIDO_SIMULADO,7.7962,861,86.263333,86.263333,0,0,0,true,true,100,100,9984,1474,29.947917,2.610533,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,25,67,RECOCIDO_SIMULADO,8.4819,861,86.263333,86.263333,0,0,0,true,true,100,100,9984,1474,29.947917,2.627224,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,25,67,GENETICO,608.6839,9060,84.658333,84.658333,0,0,0,true,true,100,100,10380,1470,29.947917,,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,26,68,GENETICO,677.4039,9060,84.598333,84.598333,0,0,0,true,true,100,100,10396,1470,29.947917,,,,,
