escenario,escenario_operativo,perfil_presion,tamanio,nivel,instante,primer_pedido,ultimo_pedido,cantidad_total_qq,capacidad_disponible_qq,ratio_demanda_capacidad,prioritarios,vehiculos_disponibles,vehiculos_en_mantenimiento,vehiculos_en_baja_por_perfil,bloqueos_activos
OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,2026-09-01T03:50,2026-09-01T00:26,2026-09-01T03:50,115,384,0.299479,17,36,TA01,,3
OPERACION_DIARIA-NORMAL-N02,OPERACION_DIARIA,NORMAL,25,2,2026-09-01T07:08,2026-09-01T03:58,2026-09-01T07:08,117,384,0.304688,15,36,TA01,,0
OPERACION_DIARIA-NORMAL-N03,OPERACION_DIARIA,NORMAL,25,3,2026-09-01T11:12,2026-09-01T07:09,2026-09-01T11:12,131,384,0.341146,16,36,TA01,,2
OPERACION_DIARIA-ALTA-N01,OPERACION_DIARIA,ALTA,38,1,2026-09-01T05:25,2026-09-01T00:26,2026-09-01T05:25,163,384,0.424479,25,36,TA01,,0
OPERACION_DIARIA-ALTA-N02,OPERACION_DIARIA,ALTA,38,2,2026-09-01T11:30,2026-09-01T05:26,2026-09-01T11:30,206,384,0.536458,23,36,TA01,,2
OPERACION_DIARIA-ALTA-N03,OPERACION_DIARIA,ALTA,38,3,2026-09-01T14:56,2026-09-01T11:47,2026-09-01T14:56,192,384,0.5,23,36,TA01,,0
OPERACION_DIARIA-CRITICA-N01,OPERACION_DIARIA,CRITICA,55,1,2026-09-01T07:53,2026-09-01T00:26,2026-09-01T07:53,262,384,0.682292,35,36,TA01,TA01,1
OPERACION_DIARIA-CRITICA-N02,OPERACION_DIARIA,CRITICA,55,2,2026-09-01T14:38,2026-09-01T07:55,2026-09-01T14:38,264,384,0.6875,35,36,TA01,TA01,0
OPERACION_DIARIA-CRITICA-N03,OPERACION_DIARIA,CRITICA,55,3,2026-09-01T21:36,2026-09-01T14:39,2026-09-01T21:36,331,384,0.861979,35,36,TA01,TA01,5
SIMULACION_CINCO_DIAS-NORMAL-N01,SIMULACION_CINCO_DIAS,NORMAL,125,1,2026-09-05T05:15,2026-09-01T00:26,2026-09-05T05:15,725,408,1.776961,74,37,,,3
SIMULACION_CINCO_DIAS-NORMAL-N02,SIMULACION_CINCO_DIAS,NORMAL,125,2,2026-09-10T02:56,2026-09-06T00:01,2026-09-10T02:56,759,408,1.860294,79,37,,,2
SIMULACION_CINCO_DIAS-NORMAL-N03,SIMULACION_CINCO_DIAS,NORMAL,125,3,2026-09-15T03:11,2026-09-11T00:01,2026-09-15T03:11,660,400,1.65,69,36,TM11,,2
