variante,escenario,escenario_operativo,perfil_presion,nivel,algoritmo,tamanio,corridas,factibles_pct,metrica,media,mediana,desviacion_muestral,mejor,peor
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,GENETICO,25,30,100,objetivo,84.5685,84.568333,0.105311,84.448333,84.823333
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,GENETICO,25,30,100,tiempoMs,653.386117,640.48825,108.467397,491.8055,974.8343
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,GENETICO,25,30,100,evaluaciones,9060,9060,0,9060,9060
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,GENETICO,25,30,100,cumplimientoPct,100,100,0,100,100
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,GENETICO,25,30,100,cumplimientoPrioritariosPct,100,100,0,100,100
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,GENETICO,25,30,100,retrasoHoras,0,0,0,0,0
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,GENETICO,25,30,100,tiempoAtencionHoras,84.5685,84.568333,0.105311,84.448333,84.823333
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,GENETICO,25,30,100,noAsignados,0,0,0,0,0
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,GENETICO,25,30,100,costo,10416.133333,10412,37.968892,10352,10536
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,GENETICO,25,30,100,distanciaKm,1471.466667,1470,3.104317,1470,1486
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,GENETICO,25,30,100,utilizacionPct,29.947917,29.947917,0,29.947917,29.947917
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,RECOCIDO_SIMULADO,25,30,100,objetivo,86.263333,86.263333,0,86.263333,86.263333
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,RECOCIDO_SIMULADO,25,30,100,tiempoMs,8.421683,8.2539,1.233753,5.6815,11.4568
