variante,escenario,algoritmo,repeticion,vehiculo,almacen_origen,orden,id_pedido
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,TA02,ALM-CENTRAL,1,18
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,TA03,ALM-CENTRAL,1,14
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,TA04,ALM-CENTRAL,1,20
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,TA05,ALM-CENTRAL,1,4
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,TA06,ALM-CENTRAL,1,15
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,TA07,ALM-CENTRAL,1,22
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,TA08,ALM-CENTRAL,1,16
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,TA08,ALM-CENTRAL,2,17
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,TA09,ALM-CENTRAL,1,8
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,TA10,ALM-CENTRAL,1,6
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,TM01,ALM-CENTRAL,1,23
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,TM02,ALM-CENTRAL,1,12
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,TM03,ALM-CENTRAL,1,2
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,TM04,ALM-CENTRAL,1,3
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,TM05,ALM-CENTRAL,1,21
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,TM06,ALM-CENTRAL,1,13
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,TM07,ALM-CENTRAL,1,11
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,TM08,ALM-CENTRAL,1,1
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,TM09,ALM-CENTRAL,1,9
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,TM10,ALM-CENTRAL,1,7
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,TM11,ALM-CENTRAL,1,19
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,TM12,ALM-CENTRAL,1,5
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,TM13,ALM-CENTRAL,1,24
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,TM14,ALM-CENTRAL,1,10
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,TM15,ALM-CENTRAL,1,25
BASE,OPERACION_DIARIA-NORMAL-N01,RECOCIDO_SIMULADO,0,TA02,ALM-CENTRAL,1,6
BASE,OPERACION_DIARIA-NORMAL-N01,RECOCIDO_SIMULADO,0,TA03,ALM-CENTRAL,1,9
BASE,OPERACION_DIARIA-NORMAL-N01,RECOCIDO_SIMULADO,0,TA04,ALM-CENTRAL,1,2
BASE,OPERACION_DIARIA-NORMAL-N01,RECOCIDO_SIMULADO,0,TA05,ALM-CENTRAL,1,11
BASE,OPERACION_DIARIA-NORMAL-N01,RECOCIDO_SIMULADO,0,TA06,ALM-CENTRAL,1,19
BASE,OPERACION_DIARIA-NORMAL-N01,RECOCIDO_SIMULADO,0,TA07,ALM-CENTRAL,1,23
BASE,OPERACION_DIARIA-NORMAL-N01,RECOCIDO_SIMULADO,0,TA07,ALM-CENTRAL,2,17
BASE,OPERACION_DIARIA-NORMAL-N01,RECOCIDO_SIMULADO,0,TA08,ALM-CENTRAL,1,22
BASE,OPERACION_DIARIA-NORMAL-N01,RECOCIDO_SIMULADO,0,TA09,ALM-CENTRAL,1,8
BASE,OPERACION_DIARIA-NORMAL-N01,RECOCIDO_SIMULADO,0,TA10,ALM-CENTRAL,1,16
BASE,OPERACION_DIARIA-NORMAL-N01,RECOCIDO_SIMULADO,0,TM01,ALM-CENTRAL,1,18
BASE,OPERACION_DIARIA-NORMAL-N01,RECOCIDO_SIMULADO,0,TM02,ALM-CENTRAL,1,24
BASE,OPERACION_DIARIA-NORMAL-N01,RECOCIDO_SIMULADO,0,TM03,ALM-CENTRAL,1,4
BASE,OPERACION_DIARIA-NORMAL-N01,RECOCIDO_SIMULADO,0,TM04,ALM-CENTRAL,1,5
BASE,OPERACION_DIARIA-NORMAL-N01,RECOCIDO_SIMULADO,0,TM05,ALM-CENTRAL,1,12
BASE,OPERACION_DIARIA-NORMAL-N01,RECOCIDO_SIMULADO,0,TM06,ALM-CENTRAL,1,13
BASE,OPERACION_DIARIA-NORMAL-N01,RECOCIDO_SIMULADO,0,TM07,ALM-CENTRAL,1,20
BASE,OPERACION_DIARIA-NORMAL-N01,RECOCIDO_SIMULADO,0,TM08,ALM-CENTRAL,1,1
BASE,OPERACION_DIARIA-NORMAL-N01,RECOCIDO_SIMULADO,0,TM09,ALM-CENTRAL,1,3
BASE,OPERACION_DIARIA-NORMAL-N01,RECOCIDO_SIMULADO,0,TM10,ALM-CENTRAL,1,7
BASE,OPERACION_DIARIA-NORMAL-N01,RECOCIDO_SIMULADO,0,TM11,ALM-CENTRAL,1,10
BASE,OPERACION_DIARIA-NORMAL-N01,RECOCIDO_SIMULADO,0,TM12,ALM-CENTRAL,1,14
BASE,OPERACION_DIARIA-NORMAL-N01,RECOCIDO_SIMULADO,0,TM13,ALM-CENTRAL,1,15
BASE,OPERACION_DIARIA-NORMAL-N01,RECOCIDO_SIMULADO,0,TM14,ALM-CENTRAL,1,21
BASE,OPERACION_DIARIA-NORMAL-N01,RECOCIDO_SIMULADO,0,TM15,ALM-CENTRAL,1,25
BASE,OPERACION_DIARIA-NORMAL-N01,RECOCIDO_SIMULADO,1,TA02,ALM-CENTRAL,1,6
BASE,OPERACION_DIARIA-NORMAL-N01,RECOCIDO_SIMULADO,1,TA03,ALM-CENTRAL,1,9
BASE,OPERACION_DIARIA-NORMAL-N01,RECOCIDO_SIMULADO,1,TA04,ALM-CENTRAL,1,2
BASE,OPERACION_DIARIA-NORMAL-N01,RECOCIDO_SIMULADO,1,TA05,ALM-CENTRAL,1,11
BASE,OPERACION_DIARIA-NORMAL-N01,RECOCIDO_SIMULADO,1,TA06,ALM-CENTRAL,1,19
BASE,OPERACION_DIARIA-NORMAL-N01,RECOCIDO_SIMULADO,1,TA07,ALM-CENTRAL,1,22
BASE,OPERACION_DIARIA-NORMAL-N01,RECOCIDO_SIMULADO,1,TA08,ALM-CENTRAL,1,23
BASE,OPERACION_DIARIA-NORMAL-N01,RECOCIDO_SIMULADO,1,TA08,ALM-CENTRAL,2,17
BASE,OPERACION_DIARIA-NORMAL-N01,RECOCIDO_SIMULADO,1,TA09,ALM-CENTRAL,1,8
