variante,tamanio,algoritmo_A,algoritmo_B,pares,media_F_A,media_F_B,victorias_A,victorias_B,empates,p_wilcoxon,veredicto,media_evaluaciones_A,media_evaluaciones_B,media_tiempo_ms_A,media_tiempo_ms_B,p_wilcoxon_presupuesto_igual,veredicto_presupuesto_igual
BASE,25,GENETICO,RECOCIDO_SIMULADO,150,13865.396856,13861.8061,58,41,51,0.49277,SIN_DIFERENCIA_SIGNIFICATIVA,9060,4286.866667,218.806495,29.156269,0.445639,SIN_DIFERENCIA_SIGNIFICATIVA
BASE,50,GENETICO,RECOCIDO_SIMULADO,150,86986.437589,88087.875322,81,67,2,0.072713,SIN_DIFERENCIA_SIGNIFICATIVA,9060,4866.333333,254.534669,52.239716,0.362698,SIN_DIFERENCIA_SIGNIFICATIVA
OBJ_B3_ALTO,25,GENETICO,RECOCIDO_SIMULADO,150,13865.396856,13861.8061,58,41,51,0.49277,SIN_DIFERENCIA_SIGNIFICATIVA,9060,4286.866667,219.521347,28.960428,0.445639,SIN_DIFERENCIA_SIGNIFICATIVA
OBJ_B3_ALTO,50,GENETICO,RECOCIDO_SIMULADO,150,86986.437589,88087.875322,81,67,2,0.072713,SIN_DIFERENCIA_SIGNIFICATIVA,9060,4866.333333,253.182853,52.311857,0.362698,SIN_DIFERENCIA_SIGNIFICATIVA
OBJ_B3_BAJO,25,GENETICO,RECOCIDO_SIMULADO,150,13865.396856,13861.8061,58,41,51,0.49277,SIN_DIFERENCIA_SIGNIFICATIVA,9060,4286.866667,217.703283,28.829421,0.445639,SIN_DIFERENCIA_SIGNIFICATIVA
OBJ_B3_BAJO,50,GENETICO,RECOCIDO_SIMULADO,150,86986.437589,88087.875322,81,67,2,0.072713,SIN_DIFERENCIA_SIGNIFICATIVA,9060,4866.333333,252.993949,52.035027,0.362698,SIN_DIFERENCIA_SIGNIFICATIVA
OBJ_B2_ALTO,25,GENETICO,RECOCIDO_SIMULADO,150,13865.396856,13861.8061,58,41,51,0.49277,SIN_DIFERENCIA_SIGNIFICATIVA,9060,4286.866667,218.164503,28.930288,0.445639,SIN_DIFERENCIA_SIGNIFICATIVA
OBJ_B2_ALTO,50,GENETICO,RECOCIDO_SIMULADO,150,88081.209422,88087.875322,67,81,2,0.018882,GANA_GENETICO,9060,4866.333333,220.953101,52.224687,0.00035,GANA_RECOCIDO_SIMULADO
OBJ_B1_ALTO,25,GENETICO,RECOCIDO_SIMULADO,150,67427.537789,67392.286611,59,48,43,0.083688,SIN_DIFERENCIA_SIGNIFICATIVA,9060,5530.866667,225.539794,36.807417,0.065084,SIN_DIFERENCIA_SIGNIFICATIVA
OBJ_B1_ALTO,50,GENETICO,RECOCIDO_SIMULADO,150,425468.380844,433405.709033,61,89,0,0.855586,SIN_DIFERENCIA_SIGNIFICATIVA,9060,6114.066667,247.726585,65.595097,0.583787,SIN_DIFERENCIA_SIGNIFICATIVA
