variante,escenario,tamanio,instancia,repeticion,semilla,algoritmo,tiempo_ms,evaluaciones,F,T_horas,R_horas,N,V,factible,verificada,cumplimiento_pct,cumplimiento_prioritarios_pct,costo,distancia_km,utilizacion_pct,temperatura_inicial
BASE,N025-I01,25,1,0,42,GENETICO,220.9176,9060,22591.055,606.388333,219.846667,0,0,true,true,44,20,10384,1454,42.401961,
BASE,N025-I01,25,1,0,42,RECOCIDO_SIMULADO,32.0114,4341,22595.201667,608.868333,219.863333,0,0,true,true,48,26.666667,10480,1452,42.401961,224.368883
BASE,N025-I01,25,1,1,43,RECOCIDO_SIMULADO,33.0875,4461,22577.646667,610.813333,219.668333,0,0,true,true,48,26.666667,10672,1468,42.401961,259.893473
BASE,N025-I01,25,1,1,43,GENETICO,247.3417,9060,22590.005,605.338333,219.846667,0,0,true,true,44,20,10144,1424,42.401961,
BASE,N025-I01,25,1,2,44,GENETICO,113.9101,9060,22697.865,607.198333,220.906667,0,0,true,true,44,20,10424,1456,42.401961,
BASE,N025-I01,25,1,2,44,RECOCIDO_SIMULADO,41.1097,4501,22569.461667,611.628333,219.578333,0,0,true,true,48,26.666667,10536,1416,42.401961,278.44757
BASE,N025-I01,25,1,3,45,RECOCIDO_SIMULADO,36.2753,4581,22557.401667,610.068333,219.473333,0,0,true,true,48,26.666667,10752,1436,42.401961,310.106015
BASE,N025-I01,25,1,3,45,GENETICO,273.0678,9060,22544.381667,604.548333,219.398333,0,0,true,true,48,26.666667,10600,1488,42.401961,
BASE,N025-I01,25,1,4,46,GENETICO,211.3304,9060,22535.991667,605.158333,219.308333,0,0,true,true,48,26.666667,10528,1476,42.401961,
BASE,N025-I01,25,1,4,46,RECOCIDO_SIMULADO,31.8304,4461,22596.671667,617.838333,219.788333,0,0,true,true,48,26.666667,10120,1352,42.401961,267.966511
BASE,N025-I01,25,1,5,47,RECOCIDO_SIMULADO,32.0651,4621,22567.961667,610.128333,219.578333,0,0,true,true,48,26.666667,10264,1382,42.401961,318.33296
BASE,N025-I01,25,1,5,47,GENETICO,159.5151,9060,22590.705,606.038333,219.846667,0,0,true,true,44,20,10224,1434,42.401961,
BASE,N025-I01,25,1,6,48,GENETICO,177.8378,9060,22648.605,603.938333,220.446667,0,0,true,true,44,20,10160,1446,42.401961,
BASE,N025-I01,25,1,6,48,RECOCIDO_SIMULADO,31.6192,4501,22541.646667,610.813333,219.308333,0,0,true,true,48,26.666667,10300,1386,42.401961,271.479455
BASE,N025-I01,25,1,7,49,RECOCIDO_SIMULADO,30.1429,4421,22565.781667,609.448333,219.563333,0,0,true,true,48,26.666667,10568,1444,42.401961,244.28834
BASE,N025-I01,25,1,7,49,GENETICO,287.2621,9060,22602.525,605.858333,219.966667,0,0,true,true,44,20,10112,1424,42.401961,
BASE,N025-I01,25,1,8,50,GENETICO,200.2234,9060,22639.971667,606.138333,220.338333,0,0,true,true,48,26.666667,10432,1460,42.401961,
BASE,N025-I01,25,1,8,50,RECOCIDO_SIMULADO,30.3302,4501,22583.665,609.998333,219.736667,0,0,true,true,52,33.333333,11088,1514,42.401961,270.576052
BASE,N025-I01,25,1,9,51,RECOCIDO_SIMULADO,30.4622,4421,22569.316667,611.483333,219.578333,0,0,true,true,48,26.666667,10164,1378,42.401961,247.06906
BASE,N025-I01,25,1,9,51,GENETICO,146.1563,9060,22571.01,605.843333,219.651667,0,0,true,true,44,20,10276,1434,42.401961,
BASE,N025-I01,25,1,10,52,GENETICO,173.6239,9060,22576.161667,604.828333,219.713333,0,0,true,true,48,26.666667,10616,1476,42.401961,
BASE,N025-I01,25,1,10,52,RECOCIDO_SIMULADO,30.8276,4501,22585.116667,610.783333,219.743333,0,0,true,true,48,26.666667,10688,1504,42.401961,277.318243
BASE,N025-I01,25,1,11,53,RECOCIDO_SIMULADO,29.9513,4461,22558.081667,612.248333,219.458333,0,0,true,true,48,26.666667,10592,1412,42.401961,255.90468
BASE,N025-I01,25,1,11,53,GENETICO,128.418,9060,22591.055,606.388333,219.846667,0,0,true,true,44,20,10208,1432,42.401961,
BASE,N025-I01,25,1,12,54,GENETICO,131.387,9060,22569.786667,604.453333,219.653333,0,0,true,true,48,26.666667,10692,1508,42.401961,
BASE,N025-I01,25,1,12,54,RECOCIDO_SIMULADO,30.3388,4461,22604.451667,610.618333,219.938333,0,0,true,true,48,26.666667,10816,1484,42.401961,263.983968
BASE,N025-I01,25,1,13,55,RECOCIDO_SIMULADO,29.4466,4341,22577.596667,610.763333,219.668333,0,0,true,true,48,26.666667,10108,1362,42.401961,224.218935
BASE,N025-I01,25,1,13,55,GENETICO,286.0747,9060,22571.301667,604.468333,219.668333,0,0,true,true,48,26.666667,10688,1508,42.401961,
BASE,N025-I01,25,1,14,56,GENETICO,262.4053,9060,22555.586667,605.253333,219.503333,0,0,true,true,48,26.666667,10732,1508,42.401961,
BASE,N025-I01,25,1,14,56,RECOCIDO_SIMULADO,29.1334,4421,22551.631667,611.798333,219.398333,0,0,true,true,48,26.666667,10264,1376,42.401961,253.895667
