variante,algoritmo,tamanio,corridas,factibles_pct,metrica,media,mediana,desviacion_muestral,mejor,peor
BASE,GENETICO,25,150,100,objetivo,13865.396856,11841.03,4383.124347,11174.456667,22697.865
BASE,GENETICO,25,150,100,tiempoMs,218.806495,179.2315,113.379425,113.9101,709.7683
BASE,GENETICO,25,150,100,evaluaciones,9060,9060,0,9060,9060
BASE,GENETICO,25,150,100,cumplimientoPct,58.293333,56,8.674228,68,44
BASE,GENETICO,25,150,100,cumplimientoPrioritariosPct,30.105325,27.272727,12.766268,52.941176,15.384615
BASE,GENETICO,25,150,100,retrasoHoras,133.909689,114.093333,43.195271,106.766667,220.906667
BASE,GENETICO,25,150,100,tiempoAtencionHoras,474.427967,431.696667,72.140667,414.818333,607.198333
BASE,GENETICO,25,150,100,noAsignados,0,0,0,0,0
BASE,GENETICO,25,150,100,costo,11367.866667,10852,962.644056,10068,13420
BASE,GENETICO,25,150,100,distanciaKm,1630.293333,1536,151.027334,1408,1934
BASE,GENETICO,25,150,100,utilizacionPct,31.862745,31.127451,5.718876,42.401961,25.490196
BASE,RECOCIDO_SIMULADO,25,150,100,objetivo,13861.8061,11841.03,4382.343717,11175.046667,22633.276667
BASE,RECOCIDO_SIMULADO,25,150,100,tiempoMs,29.156269,28.89915,1.78586,25.998,41.1097
BASE,RECOCIDO_SIMULADO,25,150,100,evaluaciones,4286.866667,4301,147.508101,3941,4621
BASE,RECOCIDO_SIMULADO,25,150,100,cumplimientoPct,59.253333,56,7.718353,68,48
BASE,RECOCIDO_SIMULADO,25,150,100,cumplimientoPrioritariosPct,31.60075,27.272727,12.4809,52.941176,15.384615
BASE,RECOCIDO_SIMULADO,25,150,100,retrasoHoras,133.843111,114.093333,43.174958,106.766667,220.223333
BASE,RECOCIDO_SIMULADO,25,150,100,tiempoAtencionHoras,477.494989,431.696667,72.852915,416.048333,620.543333
BASE,RECOCIDO_SIMULADO,25,150,100,noAsignados,0,0,0,0,0
BASE,RECOCIDO_SIMULADO,25,150,100,costo,11141.746667,10740,732.250784,9790,13196
