variante,escenario,escenario_operativo,perfil_presion,nivel,tamanio,algoritmo_A,algoritmo_B,metrica,p_wilcoxon,p_wilcoxon_holm,tamano_efecto_r,veredicto
BASE,COLAPSO_LOGISTICO-ALTA-N01,COLAPSO_LOGISTICO,ALTA,1,38,GENETICO,RECOCIDO_SIMULADO,tiempoMs,0.5,1,0.948683,MUESTRA_INSUFICIENTE
BASE,COLAPSO_LOGISTICO-ALTA-N01,COLAPSO_LOGISTICO,ALTA,1,38,GENETICO,RECOCIDO_SIMULADO,cumplimientoPlazosPct,,,0,MUESTRA_INSUFICIENTE
BASE,COLAPSO_LOGISTICO-ALTA-N01,COLAPSO_LOGISTICO,ALTA,1,38,GENETICO,RECOCIDO_SIMULADO,noAsignados,,,0,MUESTRA_INSUFICIENTE
BASE,COLAPSO_LOGISTICO-ALTA-N01,COLAPSO_LOGISTICO,ALTA,1,38,GENETICO,RECOCIDO_SIMULADO,costo,0.5,1,0.948683,MUESTRA_INSUFICIENTE
BASE,COLAPSO_LOGISTICO-ALTA-N01,COLAPSO_LOGISTICO,ALTA,1,38,GENETICO,RECOCIDO_SIMULADO,retrasoHoras,,,0,MUESTRA_INSUFICIENTE
BASE,COLAPSO_LOGISTICO-CRITICA-N01,COLAPSO_LOGISTICO,CRITICA,1,55,GENETICO,RECOCIDO_SIMULADO,tiempoMs,0.5,1,0.948683,MUESTRA_INSUFICIENTE
BASE,COLAPSO_LOGISTICO-CRITICA-N01,COLAPSO_LOGISTICO,CRITICA,1,55,GENETICO,RECOCIDO_SIMULADO,cumplimientoPlazosPct,,,0,MUESTRA_INSUFICIENTE
BASE,COLAPSO_LOGISTICO-CRITICA-N01,COLAPSO_LOGISTICO,CRITICA,1,55,GENETICO,RECOCIDO_SIMULADO,noAsignados,,,0,MUESTRA_INSUFICIENTE
BASE,COLAPSO_LOGISTICO-CRITICA-N01,COLAPSO_LOGISTICO,CRITICA,1,55,GENETICO,RECOCIDO_SIMULADO,costo,1,1,0.316228,MUESTRA_INSUFICIENTE
BASE,COLAPSO_LOGISTICO-CRITICA-N01,COLAPSO_LOGISTICO,CRITICA,1,55,GENETICO,RECOCIDO_SIMULADO,retrasoHoras,,,0,MUESTRA_INSUFICIENTE
BASE,COLAPSO_LOGISTICO-NORMAL-N01,COLAPSO_LOGISTICO,NORMAL,1,25,GENETICO,RECOCIDO_SIMULADO,tiempoMs,0.5,1,0.948683,MUESTRA_INSUFICIENTE
BASE,COLAPSO_LOGISTICO-NORMAL-N01,COLAPSO_LOGISTICO,NORMAL,1,25,GENETICO,RECOCIDO_SIMULADO,cumplimientoPlazosPct,,,0,MUESTRA_INSUFICIENTE
BASE,COLAPSO_LOGISTICO-NORMAL-N01,COLAPSO_LOGISTICO,NORMAL,1,25,GENETICO,RECOCIDO_SIMULADO,noAsignados,,,0,MUESTRA_INSUFICIENTE
