variante,escenario,algoritmo,repeticion,semilla,iteracion,evaluaciones,mejor_F
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,0,60,85.573333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,1,120,85.423333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,2,180,85.213333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,3,240,84.913333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,4,300,84.913333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,5,360,84.913333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,6,420,84.868333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,7,480,84.868333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,8,540,84.868333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,9,600,84.868333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,10,660,84.868333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,11,720,84.778333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,12,780,84.613333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,13,840,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,14,900,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,15,960,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,16,1020,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,17,1080,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,18,1140,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,19,1200,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,20,1260,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,21,1320,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,22,1380,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,23,1440,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,24,1500,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,25,1560,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,26,1620,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,27,1680,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,28,1740,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,29,1800,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,30,1860,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,31,1920,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,32,1980,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,33,2040,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,34,2100,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,35,2160,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,36,2220,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,37,2280,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,38,2340,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,39,2400,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,40,2460,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,41,2520,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,42,2580,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,43,2640,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,44,2700,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,45,2760,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,46,2820,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,47,2880,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,48,2940,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,49,3000,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,50,3060,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,51,3120,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,52,3180,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,53,3240,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,54,3300,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,55,3360,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,56,3420,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,57,3480,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,58,3540,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,59,3600,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,60,3660,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,61,3720,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,62,3780,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,63,3840,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,64,3900,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,65,3960,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,66,4020,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,67,4080,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,68,4140,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,69,4200,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,70,4260,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,71,4320,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,72,4380,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,73,4440,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,74,4500,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,75,4560,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,76,4620,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,77,4680,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,78,4740,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,79,4800,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,80,4860,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,81,4920,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,82,4980,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,83,5040,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,84,5100,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,85,5160,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,86,5220,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,87,5280,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,88,5340,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,89,5400,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,90,5460,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,91,5520,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,92,5580,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,93,5640,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,94,5700,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,95,5760,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,96,5820,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,97,5880,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,98,5940,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,99,6000,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,100,6060,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,101,6120,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,102,6180,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,103,6240,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,104,6300,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,105,6360,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,106,6420,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,107,6480,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,108,6540,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,109,6600,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,110,6660,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,111,6720,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,112,6780,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,113,6840,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,114,6900,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,115,6960,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,116,7020,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,117,7080,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,118,7140,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,119,7200,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,120,7260,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,121,7320,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,122,7380,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,123,7440,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,124,7500,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,125,7560,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,126,7620,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,127,7680,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,128,7740,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,129,7800,84.448333
BASE,OPERACION_DIARIA-NORMAL-N01,GENETICO,0,42,130,7860,84.448333
