variante,escenario,escenario_operativo,perfil_presion,tamanio,nivel,repeticion,semilla,algoritmo,tiempo_ms,evaluaciones,F,T_horas,R_horas,N,V,factible,verificada,cumplimiento_pct,cumplimiento_prioritarios_pct,costo,distancia_km,utilizacion_pct,temperatura_inicial,pedidos_afectados_incidencia,vehiculos_averia_incidente,tiempo_replanificacion_ms,replanificacion_exitosa
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,0,42,GENETICO,521.2394,9060,84.448333,84.448333,0,0,0,true,true,100,100,10436,1470,29.947917,,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,0,42,RECOCIDO_SIMULADO,8.9492,861,86.263333,86.263333,0,0,0,true,true,100,100,9984,1474,29.947917,2.642425,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,1,43,RECOCIDO_SIMULADO,7.5678,781,86.263333,86.263333,0,0,0,true,true,100,100,9984,1474,29.947917,2.310887,,,,
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,25,1,1,43,GENETICO,723.0054,9060,84.463333,84.463333,0,0,0,true,true,100,100,10448,1472,29.947917,,,,,
BASE,OPERACION_DIARIA-ALTA-N01,OPERACION_DIARIA,ALTA,38,1,0,42,GENETICO,645.4093,9060,350.305,176.305,1.74,0,0,true,true,94.736842,92,12100,1884,45.277778,,7,1,154.4635,true
BASE,OPERACION_DIARIA-ALTA-N01,OPERACION_DIARIA,ALTA,38,1,0,42,RECOCIDO_SIMULADO,22.859,1021,361.931667,187.931667,1.74,0,0,true,true,94.736842,92,12786,1976,45.277778,3.097142,7,1,12.2221,true
BASE,OPERACION_DIARIA-ALTA-N01,OPERACION_DIARIA,ALTA,38,1,1,43,RECOCIDO_SIMULADO,18.4865,981,403.333333,184.333333,2.19,0,0,true,true,94.736842,92,12246,1834,45.277778,2.964969,6,1,11.281,true
BASE,OPERACION_DIARIA-ALTA-N01,OPERACION_DIARIA,ALTA,38,1,1,43,GENETICO,806.9096,9060,525.391667,176.391667,3.49,0,0,true,true,94.736842,92,12182,1944,45.277778,,6,1,205.7052,true
BASE,OPERACION_DIARIA-CRITICA-N01,OPERACION_DIARIA,CRITICA,55,1,0,42,GENETICO,456.7866,9060,1297.268333,361.601667,9.356667,0,0,true,true,92.727273,88.571429,14830,2490,77.97619,,20,2,202.4183,true
BASE,OPERACION_DIARIA-CRITICA-N01,OPERACION_DIARIA,CRITICA,55,1,0,42,RECOCIDO_SIMULADO,37.5757,2461,1312.051667,391.385,9.206667,0,0,true,true,90.909091,85.714286,17922,2986,77.97619,20.387058,20,2,32.8008,true
BASE,OPERACION_DIARIA-CRITICA-N01,OPERACION_DIARIA,CRITICA,55,1,1,43,RECOCIDO_SIMULADO,32.6855,1101,1265.45,382.116667,8.833333,0,0,true,true,92.727273,88.571429,14848,2404,77.97619,3.514936,19,2,16.0918,true
BASE,OPERACION_DIARIA-CRITICA-N01,OPERACION_DIARIA,CRITICA,55,1,1,43,GENETICO,339.9104,9060,1375.51,370.51,10.05,0,0,true,true,94.545455,91.428571,16464,2778,77.97619,,19,2,166.3067,true
BASE,SIMULACION_CINCO_DIAS-NORMAL-N01,SIMULACION_CINCO_DIAS,NORMAL,125,1,0,42,GENETICO,1785.3371,9060,463641.261667,3736.428333,2349.048333,45,0,true,true,24,17.567568,22794,3680,91.176471,,,,,
BASE,SIMULACION_CINCO_DIAS-NORMAL-N01,SIMULACION_CINCO_DIAS,NORMAL,125,1,0,42,RECOCIDO_SIMULADO,406.4074,4901,620623.84,5529.006667,4050.948333,42,0,true,true,8.8,8.108108,22262,3638,95.833333,451.106345,,,,
BASE,SIMULACION_CINCO_DIAS-NORMAL-N01,SIMULACION_CINCO_DIAS,NORMAL,125,1,1,43,RECOCIDO_SIMULADO,399.8021,4941,618120.443333,5585.61,4075.348333,41,0,true,true,8.8,8.108108,22084,3710,97.303922,476.560235,,,,
BASE,SIMULACION_CINCO_DIAS-NORMAL-N01,SIMULACION_CINCO_DIAS,NORMAL,125,1,1,43,GENETICO,1655.3522,9060,470769.045,3767.211667,2270.018333,48,0,true,true,20,13.513514,20962,3472,90.196078,,,,,
BASE,SIMULACION_CINCO_DIAS-ALTA-N01,SIMULACION_CINCO_DIAS,ALTA,190,1,0,42,GENETICO,2765.4474,9060,751335.64,4605.806667,2767.298333,94,0,true,true,18.947368,11.403509,24930,4074,95.588235,,,,,
BASE,SIMULACION_CINCO_DIAS-ALTA-N01,SIMULACION_CINCO_DIAS,ALTA,190,1,0,42,RECOCIDO_SIMULADO,770.6476,4661,1000838.998333,7200.331667,5436.386667,90,0,true,true,8.421053,6.140351,23154,3986,100,345.28615,,,,
BASE,SIMULACION_CINCO_DIAS-ALTA-N01,SIMULACION_CINCO_DIAS,ALTA,190,1,1,43,RECOCIDO_SIMULADO,783.8374,4701,1005540.86,7194.193333,5433.466667,91,0,true,true,6.842105,5.263158,22962,3922,99.264706,363.185349,,,,
BASE,SIMULACION_CINCO_DIAS-ALTA-N01,SIMULACION_CINCO_DIAS,ALTA,190,1,1,43,GENETICO,2795.0309,9060,762707.548333,4908.715,3027.988333,91,0,true,true,19.473684,12.280702,23974,3936,95.588235,,,,,
BASE,SIMULACION_CINCO_DIAS-CRITICA-N01,SIMULACION_CINCO_DIAS,CRITICA,275,1,0,42,GENETICO,4252.6859,9060,1148635.511667,4344.678333,2592.908333,177,0,true,true,13.818182,11.515152,26656,4456,97.916667,,,,,
BASE,SIMULACION_CINCO_DIAS-CRITICA-N01,SIMULACION_CINCO_DIAS,CRITICA,275,1,0,42,RECOCIDO_SIMULADO,1470.4526,4821,1561445.195,7875.695,6385.695,183,0,true,true,0,0,23550,3914,100,423.621525,,,,
BASE,SIMULACION_CINCO_DIAS-CRITICA-N01,SIMULACION_CINCO_DIAS,CRITICA,275,1,1,43,RECOCIDO_SIMULADO,1332.7668,4341,1565711.723333,7890.723333,6378.21,184,0,true,true,0.363636,0.606061,23854,3944,100,228.131263,,,,
BASE,SIMULACION_CINCO_DIAS-CRITICA-N01,SIMULACION_CINCO_DIAS,CRITICA,275,1,1,43,GENETICO,4223.374,9060,1122974.615,3885.615,2190.89,180,0,true,true,15.272727,9.69697,24760,4216,98.697917,,,,,
BASE,COLAPSO_LOGISTICO-NORMAL-N01,COLAPSO_LOGISTICO,NORMAL,25,1,0,42,GENETICO,498.3366,9060,84.448333,84.448333,0,0,0,true,true,100,100,10436,1470,29.947917,,,,,
BASE,COLAPSO_LOGISTICO-NORMAL-N01,COLAPSO_LOGISTICO,NORMAL,25,1,0,42,RECOCIDO_SIMULADO,8.5061,861,86.263333,86.263333,0,0,0,true,true,100,100,9984,1474,29.947917,2.642425,,,,
BASE,COLAPSO_LOGISTICO-NORMAL-N01,COLAPSO_LOGISTICO,NORMAL,25,1,1,43,RECOCIDO_SIMULADO,7.1885,781,86.263333,86.263333,0,0,0,true,true,100,100,9984,1474,29.947917,2.310887,,,,
BASE,COLAPSO_LOGISTICO-NORMAL-N01,COLAPSO_LOGISTICO,NORMAL,25,1,1,43,GENETICO,716.1044,9060,84.463333,84.463333,0,0,0,true,true,100,100,10448,1472,29.947917,,,,,
BASE,COLAPSO_LOGISTICO-ALTA-N01,COLAPSO_LOGISTICO,ALTA,38,1,0,42,GENETICO,633.7942,9060,291.99,171.99,1.2,0,0,true,true,94.736842,92,12142,1786,42.447917,,,,,
BASE,COLAPSO_LOGISTICO-ALTA-N01,COLAPSO_LOGISTICO,ALTA,38,1,0,42,RECOCIDO_SIMULADO,20.2758,1901,298.736667,178.736667,1.2,0,0,true,true,94.736842,92,12928,1990,42.447917,9.864767,,,,
BASE,COLAPSO_LOGISTICO-ALTA-N01,COLAPSO_LOGISTICO,ALTA,38,1,1,43,RECOCIDO_SIMULADO,18.2226,1741,298.686667,178.686667,1.2,0,0,true,true,94.736842,92,12928,1990,42.447917,8.015799,,,,
BASE,COLAPSO_LOGISTICO-ALTA-N01,COLAPSO_LOGISTICO,ALTA,38,1,1,43,GENETICO,790.3102,9060,291.235,171.235,1.2,0,0,true,true,94.736842,92,11746,1720,42.447917,,,,,
BASE,COLAPSO_LOGISTICO-CRITICA-N01,COLAPSO_LOGISTICO,CRITICA,55,1,0,42,GENETICO,451.9207,9060,975.488333,355.488333,6.2,0,0,true,true,94.545455,91.428571,15116,2410,68.229167,,,,,
BASE,COLAPSO_LOGISTICO-CRITICA-N01,COLAPSO_LOGISTICO,CRITICA,55,1,0,42,RECOCIDO_SIMULADO,37.2636,2821,993.885,373.885,6.2,0,0,true,true,94.545455,91.428571,16600,2562,68.229167,31.143348,,,,
BASE,COLAPSO_LOGISTICO-CRITICA-N01,COLAPSO_LOGISTICO,CRITICA,55,1,1,43,RECOCIDO_SIMULADO,32.6154,2501,992.5,372.5,6.2,0,0,true,true,94.545455,91.428571,16572,2562,68.229167,21.466798,,,,
BASE,COLAPSO_LOGISTICO-CRITICA-N01,COLAPSO_LOGISTICO,CRITICA,55,1,1,43,GENETICO,342.8057,9060,982.398333,362.398333,6.2,0,0,true,true,94.545455,91.428571,16632,2656,68.229167,,,,,
