variante,escenario,escenario_operativo,perfil_presion,nivel,algoritmo,tamanio,corridas,factibles_pct,metrica,media,mediana,desviacion_muestral,mejor,peor
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,GENETICO,25,2,100,objetivo,84.455833,84.455833,0.010607,84.448333,84.463333
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,GENETICO,25,2,100,tiempoMs,622.1224,622.1224,142.670107,521.2394,723.0054
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,GENETICO,25,2,100,evaluaciones,9060,9060,0,9060,9060
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,GENETICO,25,2,100,cumplimientoPct,100,100,0,100,100
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,GENETICO,25,2,100,cumplimientoPrioritariosPct,100,100,0,100,100
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,GENETICO,25,2,100,retrasoHoras,0,0,0,0,0
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,GENETICO,25,2,100,tiempoAtencionHoras,84.455833,84.455833,0.010607,84.448333,84.463333
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,GENETICO,25,2,100,noAsignados,0,0,0,0,0
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,GENETICO,25,2,100,costo,10442,10442,8.485281,10436,10448
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,GENETICO,25,2,100,distanciaKm,1471,1471,1.414214,1470,1472
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,GENETICO,25,2,100,utilizacionPct,29.947917,29.947917,0,29.947917,29.947917
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,RECOCIDO_SIMULADO,25,2,100,objetivo,86.263333,86.263333,0,86.263333,86.263333
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,RECOCIDO_SIMULADO,25,2,100,tiempoMs,8.2585,8.2585,0.976797,7.5678,8.9492
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,RECOCIDO_SIMULADO,25,2,100,evaluaciones,821,821,56.568542,781,861
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,RECOCIDO_SIMULADO,25,2,100,cumplimientoPct,100,100,0,100,100
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,RECOCIDO_SIMULADO,25,2,100,cumplimientoPrioritariosPct,100,100,0,100,100
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,RECOCIDO_SIMULADO,25,2,100,retrasoHoras,0,0,0,0,0
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,RECOCIDO_SIMULADO,25,2,100,tiempoAtencionHoras,86.263333,86.263333,0,86.263333,86.263333
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,RECOCIDO_SIMULADO,25,2,100,noAsignados,0,0,0,0,0
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,RECOCIDO_SIMULADO,25,2,100,costo,9984,9984,0,9984,9984
BASE,OPERACION_DIARIA-NORMAL-N01,OPERACION_DIARIA,NORMAL,1,RECOCIDO_SIMULADO,25,2,100,distanciaKm,1474,1474,0,1474,1474
