variante,escenario,algoritmo,repeticion,semilla,iteracion,evaluaciones,mejor_F
BASE,N025-I01,GENETICO,0,777,0,60,22708.225
BASE,N025-I01,GENETICO,0,777,1,120,22689.97
BASE,N025-I01,GENETICO,0,777,2,180,22648.495
BASE,N025-I01,GENETICO,0,777,3,240,22626.371667
BASE,N025-I01,GENETICO,0,777,4,300,22626.371667
BASE,N025-I01,GENETICO,0,777,5,360,22590.386667
BASE,N025-I01,GENETICO,0,777,6,420,22562.766667
BASE,N025-I01,GENETICO,0,777,7,480,22562.766667
BASE,N025-I01,GENETICO,0,777,8,540,22555.191667
BASE,N025-I01,GENETICO,0,777,9,600,22555.191667
BASE,N025-I01,GENETICO,0,777,10,660,22555.191667
BASE,N025-I01,GENETICO,0,777,11,720,22555.191667
BASE,N025-I01,GENETICO,0,777,12,780,22555.191667
BASE,N025-I01,GENETICO,0,777,13,840,22555.191667
BASE,N025-I01,GENETICO,0,777,14,900,22555.191667
BASE,N025-I01,GENETICO,0,777,15,960,22555.191667
BASE,N025-I01,GENETICO,0,777,16,1020,22555.191667
BASE,N025-I01,GENETICO,0,777,17,1080,22555.191667
BASE,N025-I01,GENETICO,0,777,18,1140,22555.191667
BASE,N025-I01,GENETICO,0,777,19,1200,22555.191667
BASE,N025-I01,GENETICO,0,777,20,1260,22555.191667
BASE,N025-I01,GENETICO,0,777,21,1320,22546.651667
BASE,N025-I01,GENETICO,0,777,22,1380,22546.351667
BASE,N025-I01,GENETICO,0,777,23,1440,22546.351667
BASE,N025-I01,GENETICO,0,777,24,1500,22546.351667
BASE,N025-I01,GENETICO,0,777,25,1560,22546.351667
BASE,N025-I01,GENETICO,0,777,26,1620,22546.351667
BASE,N025-I01,GENETICO,0,777,27,1680,22546.351667
BASE,N025-I01,GENETICO,0,777,28,1740,22546.351667
BASE,N025-I01,GENETICO,0,777,29,1800,22546.351667
BASE,N025-I01,GENETICO,0,777,30,1860,22546.351667
BASE,N025-I01,GENETICO,0,777,31,1920,22546.351667
BASE,N025-I01,GENETICO,0,777,32,1980,22546.351667
BASE,N025-I01,GENETICO,0,777,33,2040,22546.351667
BASE,N025-I01,GENETICO,0,777,34,2100,22546.351667
BASE,N025-I01,GENETICO,0,777,35,2160,22546.351667
BASE,N025-I01,GENETICO,0,777,36,2220,22546.351667
BASE,N025-I01,GENETICO,0,777,37,2280,22546.351667
BASE,N025-I01,GENETICO,0,777,38,2340,22546.351667
BASE,N025-I01,GENETICO,0,777,39,2400,22546.351667
BASE,N025-I01,GENETICO,0,777,40,2460,22546.351667
BASE,N025-I01,GENETICO,0,777,41,2520,22546.351667
BASE,N025-I01,GENETICO,0,777,42,2580,22546.351667
BASE,N025-I01,GENETICO,0,777,43,2640,22546.351667
BASE,N025-I01,GENETICO,0,777,44,2700,22546.351667
BASE,N025-I01,GENETICO,0,777,45,2760,22546.351667
BASE,N025-I01,GENETICO,0,777,46,2820,22546.351667
BASE,N025-I01,GENETICO,0,777,47,2880,22546.351667
BASE,N025-I01,GENETICO,0,777,48,2940,22546.351667
BASE,N025-I01,GENETICO,0,777,49,3000,22546.351667
BASE,N025-I01,GENETICO,0,777,50,3060,22546.351667
BASE,N025-I01,GENETICO,0,777,51,3120,22546.351667
BASE,N025-I01,GENETICO,0,777,52,3180,22546.351667
BASE,N025-I01,GENETICO,0,777,53,3240,22546.351667
BASE,N025-I01,GENETICO,0,777,54,3300,22546.351667
BASE,N025-I01,GENETICO,0,777,55,3360,22546.351667
BASE,N025-I01,GENETICO,0,777,56,3420,22546.351667
BASE,N025-I01,GENETICO,0,777,57,3480,22546.351667
BASE,N025-I01,GENETICO,0,777,58,3540,22546.351667
BASE,N025-I01,GENETICO,0,777,59,3600,22546.351667
BASE,N025-I01,GENETICO,0,777,60,3660,22546.351667
BASE,N025-I01,GENETICO,0,777,61,3720,22546.351667
BASE,N025-I01,GENETICO,0,777,62,3780,22546.351667
BASE,N025-I01,GENETICO,0,777,63,3840,22546.351667
BASE,N025-I01,GENETICO,0,777,64,3900,22546.351667
BASE,N025-I01,GENETICO,0,777,65,3960,22546.351667
BASE,N025-I01,GENETICO,0,777,66,4020,22546.351667
BASE,N025-I01,GENETICO,0,777,67,4080,22546.351667
BASE,N025-I01,GENETICO,0,777,68,4140,22546.351667
BASE,N025-I01,GENETICO,0,777,69,4200,22546.351667
BASE,N025-I01,GENETICO,0,777,70,4260,22546.351667
BASE,N025-I01,GENETICO,0,777,71,4320,22546.351667
BASE,N025-I01,GENETICO,0,777,72,4380,22546.351667
BASE,N025-I01,GENETICO,0,777,73,4440,22546.351667
BASE,N025-I01,GENETICO,0,777,74,4500,22546.351667
BASE,N025-I01,GENETICO,0,777,75,4560,22546.351667
BASE,N025-I01,GENETICO,0,777,76,4620,22546.351667
BASE,N025-I01,GENETICO,0,777,77,4680,22546.351667
BASE,N025-I01,GENETICO,0,777,78,4740,22546.351667
BASE,N025-I01,GENETICO,0,777,79,4800,22546.351667
BASE,N025-I01,GENETICO,0,777,80,4860,22546.351667
BASE,N025-I01,GENETICO,0,777,81,4920,22546.351667
BASE,N025-I01,GENETICO,0,777,82,4980,22546.351667
BASE,N025-I01,GENETICO,0,777,83,5040,22546.351667
BASE,N025-I01,GENETICO,0,777,84,5100,22546.351667
BASE,N025-I01,GENETICO,0,777,85,5160,22546.351667
BASE,N025-I01,GENETICO,0,777,86,5220,22546.351667
BASE,N025-I01,GENETICO,0,777,87,5280,22546.351667
BASE,N025-I01,GENETICO,0,777,88,5340,22546.351667
BASE,N025-I01,GENETICO,0,777,89,5400,22546.351667
BASE,N025-I01,GENETICO,0,777,90,5460,22546.351667
BASE,N025-I01,GENETICO,0,777,91,5520,22546.351667
BASE,N025-I01,GENETICO,0,777,92,5580,22546.351667
BASE,N025-I01,GENETICO,0,777,93,5640,22546.351667
BASE,N025-I01,GENETICO,0,777,94,5700,22546.351667
BASE,N025-I01,GENETICO,0,777,95,5760,22546.351667
BASE,N025-I01,GENETICO,0,777,96,5820,22546.351667
BASE,N025-I01,GENETICO,0,777,97,5880,22546.351667
BASE,N025-I01,GENETICO,0,777,98,5940,22546.351667
BASE,N025-I01,GENETICO,0,777,99,6000,22546.351667
BASE,N025-I01,GENETICO,0,777,100,6060,22546.351667
BASE,N025-I01,GENETICO,0,777,101,6120,22546.351667
BASE,N025-I01,GENETICO,0,777,102,6180,22546.351667
BASE,N025-I01,GENETICO,0,777,103,6240,22546.351667
BASE,N025-I01,GENETICO,0,777,104,6300,22546.351667
BASE,N025-I01,GENETICO,0,777,105,6360,22546.351667
BASE,N025-I01,GENETICO,0,777,106,6420,22546.351667
BASE,N025-I01,GENETICO,0,777,107,6480,22546.351667
BASE,N025-I01,GENETICO,0,777,108,6540,22546.351667
BASE,N025-I01,GENETICO,0,777,109,6600,22546.351667
BASE,N025-I01,GENETICO,0,777,110,6660,22546.351667
BASE,N025-I01,GENETICO,0,777,111,6720,22546.351667
BASE,N025-I01,GENETICO,0,777,112,6780,22546.351667
BASE,N025-I01,GENETICO,0,777,113,6840,22546.351667
BASE,N025-I01,GENETICO,0,777,114,6900,22546.351667
BASE,N025-I01,GENETICO,0,777,115,6960,22546.351667
BASE,N025-I01,GENETICO,0,777,116,7020,22546.351667
BASE,N025-I01,GENETICO,0,777,117,7080,22546.351667
BASE,N025-I01,GENETICO,0,777,118,7140,22546.351667
BASE,N025-I01,GENETICO,0,777,119,7200,22546.351667
BASE,N025-I01,GENETICO,0,777,120,7260,22546.351667
BASE,N025-I01,GENETICO,0,777,121,7320,22546.351667
BASE,N025-I01,GENETICO,0,777,122,7380,22546.351667
BASE,N025-I01,GENETICO,0,777,123,7440,22546.351667
BASE,N025-I01,GENETICO,0,777,124,7500,22546.351667
BASE,N025-I01,GENETICO,0,777,125,7560,22546.351667
BASE,N025-I01,GENETICO,0,777,126,7620,22546.351667
BASE,N025-I01,GENETICO,0,777,127,7680,22546.351667
BASE,N025-I01,GENETICO,0,777,128,7740,22546.351667
