variante,escenario,tamanio,instancia,repeticion,semilla,algoritmo,tiempo_ms,evaluaciones,F,T_horas,R_horas,N,V,factible,verificada,cumplimiento_pct,cumplimiento_prioritarios_pct,costo,distancia_km,utilizacion_pct,temperatura_inicial
BASE,N025-I01,25,1,0,777,GENETICO,1197.003404,9060,22546.351667,605.518333,219.408333,0,0,true,true,48,26.666667,10656,1494,42.401961,
BASE,N025-I01,25,1,0,777,RECOCIDO_SIMULADO,240.803092,4421,22603.466667,611.633333,219.918333,0,0,true,true,48,26.666667,11852,1614,42.401961,253.725778
BASE,N025-I01,25,1,1,778,RECOCIDO_SIMULADO,240.086856,4501,22564.666667,608.833333,219.558333,0,0,true,true,48,26.666667,10724,1468,42.401961,276.498628
BASE,N025-I01,25,1,1,778,GENETICO,1174.016479,9060,22554.641667,604.808333,219.498333,0,0,true,true,48,26.666667,10728,1506,42.401961,
BASE,N025-I01,25,1,2,779,GENETICO,916.577552,9060,22554.641667,604.808333,219.498333,0,0,true,true,48,26.666667,10728,1506,42.401961,
BASE,N025-I01,25,1,2,779,RECOCIDO_SIMULADO,208.042277,4381,22580.266667,613.933333,219.663333,0,0,true,true,48,26.666667,11468,1556,42.401961,239.30889
BASE,N025-I01,25,1,3,780,RECOCIDO_SIMULADO,219.943323,4581,22621.261667,614.428333,220.068333,0,0,true,true,48,26.666667,11048,1482,42.401961,300.014459
BASE,N025-I01,25,1,3,780,GENETICO,1104.021031,9060,22554.641667,604.808333,219.498333,0,0,true,true,48,26.666667,10728,1506,42.401961,
BASE,N025-I01,25,1,4,781,GENETICO,1000.596915,9060,22565.696667,605.363333,219.603333,0,0,true,true,48,26.666667,10764,1514,42.401961,
BASE,N025-I01,25,1,4,781,RECOCIDO_SIMULADO,219.913638,4461,22613.515,607.348333,220.061667,0,0,true,true,52,33.333333,10640,1458,42.401961,267.298428
BASE,N025-I01,25,1,5,782,RECOCIDO_SIMULADO,218.799489,4541,22590.941667,614.108333,219.768333,0,0,true,true,48,26.666667,10040,1360,42.401961,288.744133
BASE,N025-I01,25,1,5,782,GENETICO,854.326313,9060,22565.596667,605.263333,219.603333,0,0,true,true,48,26.666667,10924,1534,42.401961,
BASE,N025-I01,25,1,6,783,GENETICO,913.172667,9060,22546.351667,605.518333,219.408333,0,0,true,true,48,26.666667,10656,1494,42.401961,
BASE,N025-I01,25,1,6,783,RECOCIDO_SIMULADO,209.631521,4421,22575.856667,620.023333,219.558333,0,0,true,true,48,26.666667,10676,1400,42.401961,244.72125
