variante,algoritmo,tamanio,corridas,factibles_pct,metrica,media,mediana,desviacion_muestral,mejor,peor
BASE,GENETICO,25,45,100,objetivo,15493.137111,12052.515,5051.646804,11855.36,22565.696667
BASE,GENETICO,25,45,100,tiempoMs,1028.15233,1011.292127,183.067686,583.769234,1451.043904
BASE,GENETICO,25,45,100,evaluaciones,9060,9060,0,9060,9060
BASE,GENETICO,25,45,100,cumplimientoPct,57.333333,56,8.312094,68,48
BASE,GENETICO,25,45,100,cumplimientoPrioritariosPct,31.664153,26.666667,15.912152,52.941176,15.384615
BASE,GENETICO,25,45,100,retrasoHoras,150.086111,116.366667,49.655447,114.228333,219.603333
BASE,GENETICO,25,45,100,tiempoAtencionHoras,484.526,432.391667,86.481716,415.548333,605.518333
BASE,GENETICO,25,45,100,noAsignados,0,0,0,0,0
BASE,GENETICO,25,45,100,costo,11222.577778,11148,417.755175,10656,11752
BASE,GENETICO,25,45,100,distanciaKm,1598.577778,1578,73.51762,1494,1682
BASE,GENETICO,25,45,100,utilizacionPct,34.232026,31.617647,5.967155,42.401961,28.676471
BASE,RECOCIDO_SIMULADO,25,45,100,objetivo,15503.684148,12053.415,5068.224619,11861.44,22621.261667
BASE,RECOCIDO_SIMULADO,25,45,100,tiempoMs,231.277203,218.868216,50.947398,166.507343,345.074318
BASE,RECOCIDO_SIMULADO,25,45,100,evaluaciones,4373.888889,4381,138.37732,4021,4621
BASE,RECOCIDO_SIMULADO,25,45,100,cumplimientoPct,57.422222,56,8.231008,68,48
BASE,RECOCIDO_SIMULADO,25,45,100,cumplimientoPrioritariosPct,31.812301,26.666667,15.895592,52.941176,15.384615
BASE,RECOCIDO_SIMULADO,25,45,100,retrasoHoras,150.15263,116.366667,49.801972,114.228333,220.068333
BASE,RECOCIDO_SIMULADO,25,45,100,tiempoAtencionHoras,488.421185,438.606667,88.616932,416.748333,620.023333
BASE,RECOCIDO_SIMULADO,25,45,100,noAsignados,0,0,0,0,0
BASE,RECOCIDO_SIMULADO,25,45,100,costo,11169.2,11048,405.65646,10040,11852
BASE,RECOCIDO_SIMULADO,25,45,100,distanciaKm,1573.333333,1578,76.99941,1360,1668
BASE,RECOCIDO_SIMULADO,25,45,100,utilizacionPct,34.232026,31.617647,5.967155,42.401961,28.676471
BASE,GENETICO,50,45,100,objetivo,89674.720667,82700.761667,11852.852557,79993.088333,106650.158333
BASE,GENETICO,50,45,100,tiempoMs,1070.823767,722.054007,520.314353,601.851389,2143.103912
BASE,GENETICO,50,45,100,evaluaciones,9060,9060,0,9060,9060
BASE,GENETICO,50,45,100,cumplimientoPct,27.333333,28,0.953463,28,26
BASE,GENETICO,50,45,100,cumplimientoPrioritariosPct,13.201577,14.814815,4.487594,17.647059,7.142857
BASE,GENETICO,50,45,100,retrasoHoras,875.871889,809.696667,113.439196,783.903333,1047.056667
BASE,GENETICO,50,45,100,tiempoAtencionHoras,1754.198444,1731.095,135.78414,1602.503333,1944.491667
BASE,GENETICO,50,45,100,noAsignados,0.066667,0,0.252262,0,1
BASE,GENETICO,50,45,100,costo,16279.733333,16760,1295.661614,14188,17756
BASE,GENETICO,50,45,100,distanciaKm,2464.711111,2578,204.028142,2136,2652
BASE,GENETICO,50,45,100,utilizacionPct,64.052288,64.460784,8.01992,74.019608,54.166667
BASE,RECOCIDO_SIMULADO,50,45,100,objetivo,89884.547815,82907.101667,11974.898813,80036.188333,106743.226667
BASE,RECOCIDO_SIMULADO,50,45,100,tiempoMs,372.761647,215.305934,232.44544,202.359609,796.909511
BASE,RECOCIDO_SIMULADO,50,45,100,evaluaciones,4919.666667,4901,84.250708,4621,5101
BASE,RECOCIDO_SIMULADO,50,45,100,cumplimientoPct,27.288889,28,1.057919,28,24
BASE,RECOCIDO_SIMULADO,50,45,100,cumplimientoPrioritariosPct,12.528616,14.705882,4.276135,17.647059,7.142857
BASE,RECOCIDO_SIMULADO,50,45,100,retrasoHoras,881.164037,811.658333,118.401963,784.265,1047.948333
BASE,RECOCIDO_SIMULADO,50,45,100,tiempoAtencionHoras,1768.144111,1740.173333,140.609269,1609.688333,1955.316667
BASE,RECOCIDO_SIMULADO,50,45,100,noAsignados,0,0,0,0,0
