variante,escenario,algoritmo,repeticion,vehiculo,almacen_origen,orden,id_pedido
BASE,N025-I01,GENETICO,0,TA01,ALM-CENTRAL,1,3
BASE,N025-I01,GENETICO,0,TA01,ALM-CENTRAL,2,16
BASE,N025-I01,GENETICO,0,TA02,ALM-CENTRAL,1,17
BASE,N025-I01,GENETICO,0,TA03,ALM-CENTRAL,1,6
BASE,N025-I01,GENETICO,0,TA03,ALM-CENTRAL,2,24
BASE,N025-I01,GENETICO,0,TA04,ALM-CENTRAL,1,20
BASE,N025-I01,GENETICO,0,TA05,ALM-CENTRAL,1,5
BASE,N025-I01,GENETICO,0,TA05,ALM-CENTRAL,2,9
BASE,N025-I01,GENETICO,0,TA06,ALM-CENTRAL,1,7
BASE,N025-I01,GENETICO,0,TA07,ALM-CENTRAL,1,21
BASE,N025-I01,GENETICO,0,TA08,ALM-CENTRAL,1,1
BASE,N025-I01,GENETICO,0,TA09,ALM-CENTRAL,1,13
BASE,N025-I01,GENETICO,0,TA09,ALM-CENTRAL,2,25
BASE,N025-I01,GENETICO,0,TA10,ALM-CENTRAL,1,8
BASE,N025-I01,GENETICO,0,TM01,ALM-CENTRAL,1,11
BASE,N025-I01,GENETICO,0,TM02,ALM-CENTRAL,1,4
BASE,N025-I01,GENETICO,0,TM03,ALM-CENTRAL,1,2
BASE,N025-I01,GENETICO,0,TM04,ALM-CENTRAL,1,12
BASE,N025-I01,GENETICO,0,TM05,ALM-CENTRAL,1,19
BASE,N025-I01,GENETICO,0,TM06,ALM-CENTRAL,1,14
BASE,N025-I01,GENETICO,0,TM07,ALM-CENTRAL,1,15
BASE,N025-I01,GENETICO,0,TM08,ALM-CENTRAL,1,18
BASE,N025-I01,GENETICO,0,TM09,ALM-CENTRAL,1,22
BASE,N025-I01,GENETICO,0,TM10,ALM-CENTRAL,1,23
BASE,N025-I01,GENETICO,0,TM13,ALM-CENTRAL,1,10
BASE,N025-I01,RECOCIDO_SIMULADO,0,TA01,ALM-CENTRAL,1,7
BASE,N025-I01,RECOCIDO_SIMULADO,0,TA01,ALM-CENTRAL,2,9
BASE,N025-I01,RECOCIDO_SIMULADO,0,TA02,ALM-CENTRAL,1,5
BASE,N025-I01,RECOCIDO_SIMULADO,0,TA02,ALM-CENTRAL,2,14
BASE,N025-I01,RECOCIDO_SIMULADO,0,TA03,ALM-CENTRAL,1,17
BASE,N025-I01,RECOCIDO_SIMULADO,0,TA03,ALM-CENTRAL,2,25
BASE,N025-I01,RECOCIDO_SIMULADO,0,TA04,ALM-CENTRAL,1,3
