variante,escenario,tamanio,instancia,repeticion,semilla,algoritmo,tiempo_ms,evaluaciones,F,T_horas,R_horas,N,V,factible,verificada,cumplimiento_pct,cumplimiento_prioritarios_pct,costo,distancia_km,utilizacion_pct,temperatura_inicial
BASE,N025-I01,25,1,0,42,RECOCIDO_SIMULADO,56.1285,4341,22595.201667,608.868333,219.863333,0,0,true,true,48,26.666667,10480,1452,42.401961,224.368883
BASE,N025-I01,25,1,1,43,RECOCIDO_SIMULADO,50.8483,4461,22577.646667,610.813333,219.668333,0,0,true,true,48,26.666667,10672,1468,42.401961,259.893473
BASE,N025-I01,25,1,2,44,RECOCIDO_SIMULADO,48.6013,4501,22569.461667,611.628333,219.578333,0,0,true,true,48,26.666667,10536,1416,42.401961,278.44757
BASE,N025-I01,25,1,3,45,RECOCIDO_SIMULADO,54.7865,4581,22557.401667,610.068333,219.473333,0,0,true,true,48,26.666667,10752,1436,42.401961,310.106015
BASE,N025-I01,25,1,4,46,RECOCIDO_SIMULADO,45.9204,4461,22596.671667,617.838333,219.788333,0,0,true,true,48,26.666667,10120,1352,42.401961,267.966511
BASE,N025-I01,25,1,5,47,RECOCIDO_SIMULADO,50.3756,4621,22567.961667,610.128333,219.578333,0,0,true,true,48,26.666667,10264,1382,42.401961,318.33296
BASE,N025-I01,25,1,6,48,RECOCIDO_SIMULADO,41.3157,4501,22541.646667,610.813333,219.308333,0,0,true,true,48,26.666667,10300,1386,42.401961,271.479455
BASE,N025-I01,25,1,7,49,RECOCIDO_SIMULADO,29.3408,4421,22565.781667,609.448333,219.563333,0,0,true,true,48,26.666667,10568,1444,42.401961,244.28834
BASE,N025-I01,25,1,8,50,RECOCIDO_SIMULADO,30.919,4501,22583.665,609.998333,219.736667,0,0,true,true,52,33.333333,11088,1514,42.401961,270.576052
BASE,N025-I01,25,1,9,51,RECOCIDO_SIMULADO,29.5173,4421,22569.316667,611.483333,219.578333,0,0,true,true,48,26.666667,10164,1378,42.401961,247.06906
BASE,N025-I01,25,1,10,52,RECOCIDO_SIMULADO,30.7599,4501,22585.116667,610.783333,219.743333,0,0,true,true,48,26.666667,10688,1504,42.401961,277.318243
BASE,N025-I01,25,1,11,53,RECOCIDO_SIMULADO,31.7656,4461,22558.081667,612.248333,219.458333,0,0,true,true,48,26.666667,10592,1412,42.401961,255.90468
BASE,N025-I01,25,1,12,54,RECOCIDO_SIMULADO,33.2501,4461,22604.451667,610.618333,219.938333,0,0,true,true,48,26.666667,10816,1484,42.401961,263.983968
BASE,N025-I01,25,1,13,55,RECOCIDO_SIMULADO,27.8551,4341,22577.596667,610.763333,219.668333,0,0,true,true,48,26.666667,10108,1362,42.401961,224.218935
BASE,N025-I01,25,1,14,56,RECOCIDO_SIMULADO,29.6586,4421,22551.631667,611.798333,219.398333,0,0,true,true,48,26.666667,10264,1376,42.401961,253.895667
BASE,N025-I01,25,1,15,57,RECOCIDO_SIMULADO,28.51,4341,22618.846667,610.013333,220.088333,0,0,true,true,48,26.666667,10580,1456,42.401961,227.823707
BASE,N025-I01,25,1,16,58,RECOCIDO_SIMULADO,30.5374,4541,22539.406667,608.573333,219.308333,0,0,true,true,48,26.666667,11140,1528,42.401961,288.141004
BASE,N025-I01,25,1,17,59,RECOCIDO_SIMULADO,28.5068,4421,22603.21,620.543333,219.826667,0,0,true,true,52,33.333333,10868,1428,42.401961,248.495483
BASE,N025-I01,25,1,18,60,RECOCIDO_SIMULADO,30.457,4461,22558.656667,608.323333,219.503333,0,0,true,true,48,26.666667,10964,1516,42.401961,264.893171
BASE,N025-I01,25,1,19,61,RECOCIDO_SIMULADO,31.7028,4421,22567.341667,611.008333,219.563333,0,0,true,true,48,26.666667,10664,1458,42.401961,250.094095
BASE,N025-I01,25,1,20,62,RECOCIDO_SIMULADO,29.8958,4461,22575.391667,608.558333,219.668333,0,0,true,true,48,26.666667,9944,1368,42.401961,256.508145
BASE,N025-I01,25,1,21,63,RECOCIDO_SIMULADO,28.3387,4421,22633.276667,610.943333,220.223333,0,0,true,true,48,26.666667,9790,1362,42.401961,252.116905
BASE,N025-I01,25,1,22,64,RECOCIDO_SIMULADO,30.488,4541,22596.081667,609.748333,219.863333,0,0,true,true,48,26.666667,10576,1460,42.401961,295.767732
BASE,N025-I01,25,1,23,65,RECOCIDO_SIMULADO,29.5943,4581,22618.156667,610.823333,220.073333,0,0,true,true,48,26.666667,11580,1598,42.401961,302.383303
BASE,N025-I01,25,1,24,66,RECOCIDO_SIMULADO,33.6007,4461,22582.031667,609.198333,219.728333,0,0,true,true,48,26.666667,10280,1408,42.401961,265.749033
BASE,N025-I01,25,1,25,67,RECOCIDO_SIMULADO,30.7516,4461,22554.886667,607.553333,219.473333,0,0,true,true,48,26.666667,10428,1420,42.401961,259.579614
BASE,N025-I01,25,1,26,68,RECOCIDO_SIMULADO,29.0551,4501,22608.061667,618.728333,219.893333,0,0,true,true,48,26.666667,9850,1364,42.401961,278.397369
