variante,clave,valor
BASE,objetivo.beta2,1000
BASE,objetivo.beta1,100
BASE,busqueda.movimientos,"DOS_OPT,SWAP,RELOCATE,CROSS_ROUTE,VEHICLE_CHANGE"
BASE,sa.maxNiveles,1000
BASE,ga.generaciones,150
BASE,experimento.semillaBase,42
BASE,sa.temperaturaFinal,1
BASE,sa.temperaturaInicial,1000
BASE,prioridad.PRIORIZADO_12H,12
BASE,sa.calibrar,true
BASE,experimento.tamanios,"25,50,100"
BASE,prioridad.PRIORIZADO_18H,18
BASE,ga.cruzamiento,0.9
BASE,ga.torneo,2
BASE,sa.recalentamiento,0.3
BASE,ga.proporcionVoraz,0.5
BASE,ga.elitismo,1
BASE,operacion.servicioHoras,1
BASE,ga.mutacion,0.01
BASE,sa.enfriamiento,0.95
BASE,experimento.repeticiones,30
BASE,operacion.incluirRetorno,true
BASE,operacion.servicioDentroPlazo,false
BASE,ga.poblacion,60
BASE,sa.muestras,100
BASE,operacion.distanciaNodoKm,1
BASE,sa.aceptacion,0.6
BASE,sa.iteraciones,40
BASE,prioridad.REGULAR_36H,36
BASE,prioridad.PRIORIZADO_4H,4
BASE,prioridad.PRIORIZADO_8H,8
BASE,objetivo.beta3,10000
SA_IT100,objetivo.beta2,1000
SA_IT100,objetivo.beta1,100
SA_IT100,busqueda.movimientos,"DOS_OPT,SWAP,RELOCATE,CROSS_ROUTE,VEHICLE_CHANGE"
SA_IT100,sa.maxNiveles,1000
SA_IT100,ga.generaciones,150
SA_IT100,experimento.semillaBase,42
SA_IT100,sa.temperaturaFinal,1
SA_IT100,sa.temperaturaInicial,1000
SA_IT100,prioridad.PRIORIZADO_12H,12
SA_IT100,sa.calibrar,true
SA_IT100,experimento.tamanios,"25,50,100"
SA_IT100,prioridad.PRIORIZADO_18H,18
SA_IT100,ga.cruzamiento,0.9
SA_IT100,ga.torneo,2
SA_IT100,sa.recalentamiento,0.3
SA_IT100,ga.proporcionVoraz,0.5
SA_IT100,ga.elitismo,1
SA_IT100,operacion.servicioHoras,1
SA_IT100,ga.mutacion,0.01
SA_IT100,sa.enfriamiento,0.95
SA_IT100,experimento.repeticiones,30
SA_IT100,operacion.incluirRetorno,true
SA_IT100,operacion.servicioDentroPlazo,false
SA_IT100,ga.poblacion,60
SA_IT100,sa.muestras,100
SA_IT100,operacion.distanciaNodoKm,1
SA_IT100,sa.aceptacion,0.6
SA_IT100,sa.iteraciones,100
SA_IT100,prioridad.REGULAR_36H,36
SA_IT100,prioridad.PRIORIZADO_4H,4
SA_IT100,prioridad.PRIORIZADO_8H,8
SA_IT100,objetivo.beta3,10000
SA_IT200,objetivo.beta2,1000
SA_IT200,objetivo.beta1,100
SA_IT200,busqueda.movimientos,"DOS_OPT,SWAP,RELOCATE,CROSS_ROUTE,VEHICLE_CHANGE"
SA_IT200,sa.maxNiveles,1000
SA_IT200,ga.generaciones,150
SA_IT200,experimento.semillaBase,42
SA_IT200,sa.temperaturaFinal,1
SA_IT200,sa.temperaturaInicial,1000
SA_IT200,prioridad.PRIORIZADO_12H,12
SA_IT200,sa.calibrar,true
SA_IT200,experimento.tamanios,"25,50,100"
SA_IT200,prioridad.PRIORIZADO_18H,18
SA_IT200,ga.cruzamiento,0.9
SA_IT200,ga.torneo,2
SA_IT200,sa.recalentamiento,0.3
SA_IT200,ga.proporcionVoraz,0.5
SA_IT200,ga.elitismo,1
SA_IT200,operacion.servicioHoras,1
SA_IT200,ga.mutacion,0.01
SA_IT200,sa.enfriamiento,0.95
SA_IT200,experimento.repeticiones,30
SA_IT200,operacion.incluirRetorno,true
SA_IT200,operacion.servicioDentroPlazo,false
SA_IT200,ga.poblacion,60
SA_IT200,sa.muestras,100
SA_IT200,operacion.distanciaNodoKm,1
SA_IT200,sa.aceptacion,0.6
SA_IT200,sa.iteraciones,200
SA_IT200,prioridad.REGULAR_36H,36
SA_IT200,prioridad.PRIORIZADO_4H,4
SA_IT200,prioridad.PRIORIZADO_8H,8
SA_IT200,objetivo.beta3,10000
SA_ENF090,objetivo.beta2,1000
SA_ENF090,objetivo.beta1,100
SA_ENF090,busqueda.movimientos,"DOS_OPT,SWAP,RELOCATE,CROSS_ROUTE,VEHICLE_CHANGE"
SA_ENF090,sa.maxNiveles,1000
SA_ENF090,ga.generaciones,150
SA_ENF090,experimento.semillaBase,42
SA_ENF090,sa.temperaturaFinal,1
SA_ENF090,sa.temperaturaInicial,1000
SA_ENF090,prioridad.PRIORIZADO_12H,12
SA_ENF090,sa.calibrar,true
SA_ENF090,experimento.tamanios,"25,50,100"
SA_ENF090,prioridad.PRIORIZADO_18H,18
SA_ENF090,ga.cruzamiento,0.9
SA_ENF090,ga.torneo,2
SA_ENF090,sa.recalentamiento,0.3
SA_ENF090,ga.proporcionVoraz,0.5
SA_ENF090,ga.elitismo,1
SA_ENF090,operacion.servicioHoras,1
SA_ENF090,ga.mutacion,0.01
SA_ENF090,sa.enfriamiento,0.90
SA_ENF090,experimento.repeticiones,30
SA_ENF090,operacion.incluirRetorno,true
SA_ENF090,operacion.servicioDentroPlazo,false
SA_ENF090,ga.poblacion,60
SA_ENF090,sa.muestras,100
SA_ENF090,operacion.distanciaNodoKm,1
SA_ENF090,sa.aceptacion,0.6
SA_ENF090,sa.iteraciones,40
SA_ENF090,prioridad.REGULAR_36H,36
SA_ENF090,prioridad.PRIORIZADO_4H,4
SA_ENF090,prioridad.PRIORIZADO_8H,8
SA_ENF090,objetivo.beta3,10000
SA_ENF098,objetivo.beta2,1000
SA_ENF098,objetivo.beta1,100
SA_ENF098,busqueda.movimientos,"DOS_OPT,SWAP,RELOCATE,CROSS_ROUTE,VEHICLE_CHANGE"
SA_ENF098,sa.maxNiveles,1000
SA_ENF098,ga.generaciones,150
SA_ENF098,experimento.semillaBase,42
SA_ENF098,sa.temperaturaFinal,1
SA_ENF098,sa.temperaturaInicial,1000
SA_ENF098,prioridad.PRIORIZADO_12H,12
SA_ENF098,sa.calibrar,true
SA_ENF098,experimento.tamanios,"25,50,100"
SA_ENF098,prioridad.PRIORIZADO_18H,18
SA_ENF098,ga.cruzamiento,0.9
SA_ENF098,ga.torneo,2
SA_ENF098,sa.recalentamiento,0.3
SA_ENF098,ga.proporcionVoraz,0.5
SA_ENF098,ga.elitismo,1
SA_ENF098,operacion.servicioHoras,1
SA_ENF098,ga.mutacion,0.01
SA_ENF098,sa.enfriamiento,0.98
SA_ENF098,experimento.repeticiones,30
SA_ENF098,operacion.incluirRetorno,true
SA_ENF098,operacion.servicioDentroPlazo,false
SA_ENF098,ga.poblacion,60
SA_ENF098,sa.muestras,100
SA_ENF098,operacion.distanciaNodoKm,1
SA_ENF098,sa.aceptacion,0.6
