variante,algoritmo,tamanio,corridas,factibles_pct,metrica,media,mediana,desviacion_muestral,mejor,peor
BASE,RECOCIDO_SIMULADO,25,150,100,objetivo,13861.8061,11841.03,4382.343717,11175.046667,22633.276667
BASE,RECOCIDO_SIMULADO,25,150,100,tiempoMs,29.269399,28.1424,4.853882,25.6635,56.1285
BASE,RECOCIDO_SIMULADO,25,150,100,evaluaciones,4286.866667,4301,147.508101,3941,4621
BASE,RECOCIDO_SIMULADO,25,150,100,cumplimientoPct,59.253333,56,7.718353,68,48
BASE,RECOCIDO_SIMULADO,25,150,100,cumplimientoPrioritariosPct,31.60075,27.272727,12.4809,52.941176,15.384615
BASE,RECOCIDO_SIMULADO,25,150,100,retrasoHoras,133.843111,114.093333,43.174958,106.766667,220.223333
BASE,RECOCIDO_SIMULADO,25,150,100,tiempoAtencionHoras,477.494989,431.696667,72.852915,416.048333,620.543333
BASE,RECOCIDO_SIMULADO,25,150,100,noAsignados,0,0,0,0,0
BASE,RECOCIDO_SIMULADO,25,150,100,costo,11141.746667,10740,732.250784,9790,13196
BASE,RECOCIDO_SIMULADO,25,150,100,distanciaKm,1579.24,1536,117.900577,1352,1872
BASE,RECOCIDO_SIMULADO,25,150,100,utilizacionPct,31.862745,31.127451,5.718876,42.401961,25.490196
BASE,RECOCIDO_SIMULADO,50,150,100,objetivo,88087.875322,83866.193333,9480.772441,79959.465,106671.755
BASE,RECOCIDO_SIMULADO,50,150,100,tiempoMs,51.051145,51.0874,1.363291,47.6949,57.3959
BASE,RECOCIDO_SIMULADO,50,150,100,evaluaciones,4866.333333,4861,105.03222,4581,5101
BASE,RECOCIDO_SIMULADO,50,150,100,cumplimientoPct,28.106667,28,1.791654,32,24
BASE,RECOCIDO_SIMULADO,50,150,100,cumplimientoPrioritariosPct,12.862578,12.903226,3.551766,17.647059,7.142857
BASE,RECOCIDO_SIMULADO,50,150,100,retrasoHoras,863.779256,823.450833,93.590857,783.49,1047.276667
BASE,RECOCIDO_SIMULADO,50,150,100,tiempoAtencionHoras,1709.949767,1723.314167,142.806691,1518.03,1957.253333
BASE,RECOCIDO_SIMULADO,50,150,100,noAsignados,0,0,0,0,0
BASE,RECOCIDO_SIMULADO,50,150,100,costo,16550.693333,16459,1216.852381,14324,19980
BASE,RECOCIDO_SIMULADO,50,150,100,distanciaKm,2477.173333,2476,204.216517,2112,3056
BASE,RECOCIDO_SIMULADO,50,150,100,utilizacionPct,64.509804,64.460784,6.328107,74.019608,54.166667
SA_IT100,RECOCIDO_SIMULADO,25,150,100,objetivo,13856.773778,11835.135833,4377.965606,11175.046667,22604.126667
SA_IT100,RECOCIDO_SIMULADO,25,150,100,tiempoMs,67.784251,67.72795,2.570551,62.1251,75.7733
SA_IT100,RECOCIDO_SIMULADO,25,150,100,evaluaciones,10565.666667,10601,368.770252,9701,11401
SA_IT100,RECOCIDO_SIMULADO,25,150,100,cumplimientoPct,59.28,56,7.686055,68,48
SA_IT100,RECOCIDO_SIMULADO,25,150,100,cumplimientoPrioritariosPct,31.645194,27.272727,12.47508,52.941176,15.384615
SA_IT100,RECOCIDO_SIMULADO,25,150,100,retrasoHoras,133.794067,113.928333,43.133951,106.766667,219.938333
SA_IT100,RECOCIDO_SIMULADO,25,150,100,tiempoAtencionHoras,477.367111,436.345833,72.599197,416.048333,618.918333
SA_IT100,RECOCIDO_SIMULADO,25,150,100,noAsignados,0,0,0,0,0
SA_IT100,RECOCIDO_SIMULADO,25,150,100,costo,11134.24,10740,706.305291,9840,13162
SA_IT100,RECOCIDO_SIMULADO,25,150,100,distanciaKm,1578.893333,1536,111.115524,1292,1876
SA_IT100,RECOCIDO_SIMULADO,25,150,100,utilizacionPct,31.862745,31.127451,5.718876,42.401961,25.490196
SA_IT100,RECOCIDO_SIMULADO,50,150,100,objetivo,87946.880656,83797.653333,9473.325044,79877.191667,106523.378333
SA_IT100,RECOCIDO_SIMULADO,50,150,100,tiempoMs,124.185821,124.01255,3.350824,115.809,138.3864
SA_IT100,RECOCIDO_SIMULADO,50,150,100,evaluaciones,12014.333333,12001,262.580551,11301,12601
SA_IT100,RECOCIDO_SIMULADO,50,150,100,cumplimientoPct,28.08,28,2.057952,32,24
SA_IT100,RECOCIDO_SIMULADO,50,150,100,cumplimientoPrioritariosPct,12.835751,12.903226,3.587726,17.647059,7.142857
SA_IT100,RECOCIDO_SIMULADO,50,150,100,retrasoHoras,862.391211,822.756667,93.519084,782.676667,1045.786667
SA_IT100,RECOCIDO_SIMULADO,50,150,100,tiempoAtencionHoras,1707.759544,1723.34,142.85306,1518.97,1949.086667
SA_IT100,RECOCIDO_SIMULADO,50,150,100,noAsignados,0,0,0,0,0
SA_IT100,RECOCIDO_SIMULADO,50,150,100,costo,16441.986667,16262,960.762127,14372,18846
SA_IT100,RECOCIDO_SIMULADO,50,150,100,distanciaKm,2479.213333,2456,153.421453,2136,2872
SA_IT100,RECOCIDO_SIMULADO,50,150,100,utilizacionPct,64.509804,64.460784,6.328107,74.019608,54.166667
SA_IT200,RECOCIDO_SIMULADO,25,150,100,objetivo,13852.477322,11832.430833,4375.120288,11175.046667,22586.356667
SA_IT200,RECOCIDO_SIMULADO,25,150,100,tiempoMs,134.061426,133.94025,5.171086,122.2529,151.9712
SA_IT200,RECOCIDO_SIMULADO,25,150,100,evaluaciones,21030.333333,21101,737.540504,19301,22701
SA_IT200,RECOCIDO_SIMULADO,25,150,100,cumplimientoPct,59.2,56,7.768461,68,48
SA_IT200,RECOCIDO_SIMULADO,25,150,100,cumplimientoPrioritariosPct,31.517089,27.272727,12.483976,52.941176,15.384615
SA_IT200,RECOCIDO_SIMULADO,25,150,100,retrasoHoras,133.751911,113.928333,43.103957,106.766667,219.668333
SA_IT200,RECOCIDO_SIMULADO,25,150,100,tiempoAtencionHoras,477.286211,436.280833,72.774784,416.048333,620.558333
