escenario,inicio,fin,vertices
OPERACION_DIARIA-NORMAL-N01,2026-09-01T00:13,2026-09-01T03:57,"(67,37) (67,22)"
OPERACION_DIARIA-NORMAL-N01,2026-09-01T02:10,2026-09-01T04:31,"(25,45) (45,45) (45,40)"
OPERACION_DIARIA-NORMAL-N01,2026-09-01T03:29,2026-09-01T05:23,"(15,10) (30,10) (30,18)"
OPERACION_DIARIA-CRITICA-N01,2026-09-01T07:12,2026-09-01T08:57,"(8,3) (8,23) (20,23)"
SIMULACION_CINCO_DIAS-NORMAL-N01,2026-09-05T03:22,2026-09-05T05:26,"(15,25) (15,30) (20,30) (20,35) (30,35) (30,40)"
SIMULACION_CINCO_DIAS-NORMAL-N01,2026-09-05T04:17,2026-09-05T06:20,"(25,45) (45,45) (45,40)"
SIMULACION_CINCO_DIAS-NORMAL-N01,2026-09-05T04:26,2026-09-05T05:49,"(42,8) (42,15) (47,15) (47,27) (55,27)"
SIMULACION_CINCO_DIAS-CRITICA-N01,2026-09-05T07:32,2026-09-05T10:41,"(57,30) (57,45)"
SIMULACION_CINCO_DIAS-CRITICA-N01,2026-09-05T07:46,2026-09-05T10:45,"(15,3) (22,3) (22,8) (37,8) (37,12)"
SIMULACION_CINCO_DIAS-CRITICA-N01,2026-09-05T07:49,2026-09-05T10:47,"(50,10) (55,10) (55,25)"
SIMULACION_CINCO_DIAS-CRITICA-N01,2026-09-05T08:12,2026-09-05T11:21,"(8,3) (8,23) (20,23)"
COLAPSO_LOGISTICO-NORMAL-N01,2026-09-01T00:13,2026-09-01T03:57,"(67,37) (67,22)"
COLAPSO_LOGISTICO-NORMAL-N01,2026-09-01T02:10,2026-09-01T04:31,"(25,45) (45,45) (45,40)"
COLAPSO_LOGISTICO-NORMAL-N01,2026-09-01T03:29,2026-09-01T05:23,"(15,10) (30,10) (30,18)"
COLAPSO_LOGISTICO-CRITICA-N01,2026-09-01T07:12,2026-09-01T08:57,"(8,3) (8,23) (20,23)"
