variante,clave,valor
BASE,operacion.incluirRetorno,true
BASE,operacion.servicioDentroPlazo,false
BASE,ga.poblacion,60
BASE,sa.muestras,100
BASE,operacion.distanciaNodoKm,1
BASE,sa.aceptacion,0.6
BASE,sa.iteraciones,40
BASE,prioridad.REGULAR_36H,36
BASE,prioridad.PRIORIZADO_4H,4
BASE,prioridad.PRIORIZADO_8H,8
BASE,objetivo.beta3,10000
BASE,objetivo.beta2,5000
BASE,objetivo.beta1,100
BASE,busqueda.movimientos,"DOS_OPT,SWAP,RELOCATE,CROSS_ROUTE,VEHICLE_CHANGE"
BASE,sa.maxNiveles,1000
BASE,ga.generaciones,150
BASE,experimento.semillaBase,42
BASE,sa.temperaturaFinal,1
BASE,sa.temperaturaInicial,1000
BASE,prioridad.PRIORIZADO_12H,12
BASE,sa.calibrar,true
BASE,experimento.tamanios,"25,50,100"
BASE,prioridad.PRIORIZADO_18H,18
BASE,ga.cruzamiento,0.9
BASE,ga.torneo,2
BASE,sa.recalentamiento,0.3
BASE,ga.proporcionVoraz,0.5
BASE,ga.elitismo,1
BASE,operacion.servicioHoras,1
BASE,ga.mutacion,0.4
BASE,sa.enfriamiento,0.95
BASE,experimento.repeticiones,30
