escenario,id_pedido,cliente,cantidad_qq,prioridad,horas_limite,llegada,fecha_limite,x,y
OPERACION_DIARIA-NORMAL-N01,1,c0497,6,REGULAR_36H,36,2026-09-01T00:26,2026-09-02T12:26,26,15
OPERACION_DIARIA-NORMAL-N01,2,c6006,6,PRIORIZADO_8H,8,2026-09-01T00:44,2026-09-01T08:44,9,22
OPERACION_DIARIA-NORMAL-N01,3,c3048,5,REGULAR_36H,36,2026-09-01T00:52,2026-09-02T12:52,32,21
OPERACION_DIARIA-NORMAL-N01,4,c1526,3,PRIORIZADO_18H,18,2026-09-01T01:15,2026-09-01T19:15,59,48
OPERACION_DIARIA-NORMAL-N01,5,c2084,7,PRIORIZADO_18H,18,2026-09-01T01:18,2026-09-01T19:18,46,13
OPERACION_DIARIA-NORMAL-N01,6,c4477,2,PRIORIZADO_4H,4,2026-09-01T01:20,2026-09-01T05:20,48,29
OPERACION_DIARIA-NORMAL-N01,7,c6194,6,REGULAR_36H,36,2026-09-01T01:27,2026-09-02T13:27,21,29
OPERACION_DIARIA-NORMAL-N01,8,c9592,9,PRIORIZADO_12H,12,2026-09-01T01:40,2026-09-01T13:40,47,24
OPERACION_DIARIA-NORMAL-N01,9,c3891,2,PRIORIZADO_4H,4,2026-09-01T01:57,2026-09-01T05:57,10,27
OPERACION_DIARIA-NORMAL-N01,10,c5687,6,REGULAR_36H,36,2026-09-01T01:57,2026-09-02T13:57,23,39
OPERACION_DIARIA-NORMAL-N01,11,c7604,4,PRIORIZADO_8H,8,2026-09-01T02:03,2026-09-01T10:03,48,17
OPERACION_DIARIA-NORMAL-N01,12,c4988,5,PRIORIZADO_18H,18,2026-09-01T02:10,2026-09-01T20:10,42,23
OPERACION_DIARIA-NORMAL-N01,13,c1190,6,PRIORIZADO_18H,18,2026-09-01T03:02,2026-09-01T21:02,41,21
OPERACION_DIARIA-NORMAL-N01,14,c4189,1,REGULAR_36H,36,2026-09-01T03:12,2026-09-02T15:12,35,46
OPERACION_DIARIA-NORMAL-N01,15,c9387,4,REGULAR_36H,36,2026-09-01T03:17,2026-09-02T15:17,9,39
OPERACION_DIARIA-NORMAL-N01,16,c5926,2,PRIORIZADO_12H,12,2026-09-01T03:17,2026-09-01T15:17,34,38
OPERACION_DIARIA-NORMAL-N01,17,c4810,9,PRIORIZADO_18H,18,2026-09-01T03:18,2026-09-01T21:18,41,41
OPERACION_DIARIA-NORMAL-N01,18,c9479,2,PRIORIZADO_12H,12,2026-09-01T03:22,2026-09-01T15:22,64,18
OPERACION_DIARIA-NORMAL-N01,19,c4917,3,PRIORIZADO_8H,8,2026-09-01T03:23,2026-09-01T11:23,12,14
OPERACION_DIARIA-NORMAL-N01,20,c2658,5,PRIORIZADO_18H,18,2026-09-01T03:24,2026-09-01T21:24,66,30
OPERACION_DIARIA-NORMAL-N01,21,c1794,1,REGULAR_36H,36,2026-09-01T03:28,2026-09-02T15:28,1,17
OPERACION_DIARIA-NORMAL-N01,22,c6059,2,PRIORIZADO_8H,8,2026-09-01T03:35,2026-09-01T11:35,0,39
OPERACION_DIARIA-NORMAL-N01,23,c2226,7,PRIORIZADO_8H,8,2026-09-01T03:35,2026-09-01T11:35,35,35
OPERACION_DIARIA-NORMAL-N01,24,c9712,5,PRIORIZADO_12H,12,2026-09-01T03:38,2026-09-01T15:38,0,13
OPERACION_DIARIA-NORMAL-N01,25,c1714,7,REGULAR_36H,36,2026-09-01T03:50,2026-09-02T15:50,39,5
OPERACION_DIARIA-ALTA-N01,1,c0497,6,REGULAR_36H,36,2026-09-01T00:26,2026-09-02T12:26,26,15
OPERACION_DIARIA-ALTA-N01,2,c6006,6,PRIORIZADO_8H,8,2026-09-01T00:44,2026-09-01T08:44,9,22
OPERACION_DIARIA-ALTA-N01,3,c3048,5,REGULAR_36H,36,2026-09-01T00:52,2026-09-02T12:52,32,21
OPERACION_DIARIA-ALTA-N01,4,c1526,3,PRIORIZADO_18H,18,2026-09-01T01:15,2026-09-01T19:15,59,48
OPERACION_DIARIA-ALTA-N01,5,c2084,7,PRIORIZADO_18H,18,2026-09-01T01:18,2026-09-01T19:18,46,13
OPERACION_DIARIA-ALTA-N01,6,c4477,2,PRIORIZADO_4H,4,2026-09-01T01:20,2026-09-01T05:20,48,29
OPERACION_DIARIA-ALTA-N01,7,c6194,6,REGULAR_36H,36,2026-09-01T01:27,2026-09-02T13:27,21,29
OPERACION_DIARIA-ALTA-N01,8,c9592,9,PRIORIZADO_12H,12,2026-09-01T01:40,2026-09-01T13:40,47,24
OPERACION_DIARIA-ALTA-N01,9,c3891,2,PRIORIZADO_4H,4,2026-09-01T01:57,2026-09-01T05:57,10,27
OPERACION_DIARIA-ALTA-N01,10,c5687,6,REGULAR_36H,36,2026-09-01T01:57,2026-09-02T13:57,23,39
OPERACION_DIARIA-ALTA-N01,11,c7604,4,PRIORIZADO_8H,8,2026-09-01T02:03,2026-09-01T10:03,48,17
OPERACION_DIARIA-ALTA-N01,12,c4988,5,PRIORIZADO_18H,18,2026-09-01T02:10,2026-09-01T20:10,42,23
OPERACION_DIARIA-ALTA-N01,13,c1190,6,PRIORIZADO_18H,18,2026-09-01T03:02,2026-09-01T21:02,41,21
OPERACION_DIARIA-ALTA-N01,14,c4189,1,REGULAR_36H,36,2026-09-01T03:12,2026-09-02T15:12,35,46
OPERACION_DIARIA-ALTA-N01,15,c9387,4,REGULAR_36H,36,2026-09-01T03:17,2026-09-02T15:17,9,39
OPERACION_DIARIA-ALTA-N01,16,c5926,2,PRIORIZADO_12H,12,2026-09-01T03:17,2026-09-01T15:17,34,38
OPERACION_DIARIA-ALTA-N01,17,c4810,9,PRIORIZADO_18H,18,2026-09-01T03:18,2026-09-01T21:18,41,41
OPERACION_DIARIA-ALTA-N01,18,c9479,2,PRIORIZADO_12H,12,2026-09-01T03:22,2026-09-01T15:22,64,18
OPERACION_DIARIA-ALTA-N01,19,c4917,3,PRIORIZADO_8H,8,2026-09-01T03:23,2026-09-01T11:23,12,14
OPERACION_DIARIA-ALTA-N01,20,c2658,5,PRIORIZADO_18H,18,2026-09-01T03:24,2026-09-01T21:24,66,30
OPERACION_DIARIA-ALTA-N01,21,c1794,1,REGULAR_36H,36,2026-09-01T03:28,2026-09-02T15:28,1,17
OPERACION_DIARIA-ALTA-N01,22,c6059,2,PRIORIZADO_8H,8,2026-09-01T03:35,2026-09-01T11:35,0,39
OPERACION_DIARIA-ALTA-N01,23,c2226,7,PRIORIZADO_8H,8,2026-09-01T03:35,2026-09-01T11:35,35,35
OPERACION_DIARIA-ALTA-N01,24,c9712,5,PRIORIZADO_12H,12,2026-09-01T03:38,2026-09-01T15:38,0,13
OPERACION_DIARIA-ALTA-N01,25,c1714,7,REGULAR_36H,36,2026-09-01T03:50,2026-09-02T15:50,39,5
OPERACION_DIARIA-ALTA-N01,26,c1008,1,PRIORIZADO_8H,8,2026-09-01T03:58,2026-09-01T11:58,63,2
OPERACION_DIARIA-ALTA-N01,27,c7986,4,PRIORIZADO_18H,18,2026-09-01T04:17,2026-09-01T22:17,65,18
OPERACION_DIARIA-ALTA-N01,28,c7792,6,REGULAR_36H,36,2026-09-01T04:18,2026-09-02T16:18,8,15
OPERACION_DIARIA-ALTA-N01,29,c0059,3,PRIORIZADO_4H,4,2026-09-01T04:25,2026-09-01T08:25,30,4
OPERACION_DIARIA-ALTA-N01,30,c9488,8,REGULAR_36H,36,2026-09-01T04:41,2026-09-02T16:41,5,21
OPERACION_DIARIA-ALTA-N01,31,c9144,1,PRIORIZADO_4H,4,2026-09-01T04:41,2026-09-01T08:41,44,17
OPERACION_DIARIA-ALTA-N01,32,c1075,2,REGULAR_36H,36,2026-09-01T04:50,2026-09-02T16:50,8,8
OPERACION_DIARIA-ALTA-N01,33,c1973,2,REGULAR_36H,36,2026-09-01T04:52,2026-09-02T16:52,35,1
OPERACION_DIARIA-ALTA-N01,34,c3412,5,PRIORIZADO_8H,8,2026-09-01T05:03,2026-09-01T13:03,39,23
OPERACION_DIARIA-ALTA-N01,35,c4537,7,PRIORIZADO_12H,12,2026-09-01T05:09,2026-09-01T17:09,55,44
OPERACION_DIARIA-ALTA-N01,36,c4216,1,PRIORIZADO_12H,12,2026-09-01T05:15,2026-09-01T17:15,12,24
OPERACION_DIARIA-ALTA-N01,37,c5393,4,REGULAR_36H,36,2026-09-01T05:16,2026-09-02T17:16,48,25
OPERACION_DIARIA-ALTA-N01,38,c9300,4,PRIORIZADO_4H,4,2026-09-01T05:25,2026-09-01T09:25,61,44
OPERACION_DIARIA-CRITICA-N01,1,c0497,6,REGULAR_36H,36,2026-09-01T00:26,2026-09-02T12:26,26,15
OPERACION_DIARIA-CRITICA-N01,2,c6006,6,PRIORIZADO_8H,8,2026-09-01T00:44,2026-09-01T08:44,9,22
OPERACION_DIARIA-CRITICA-N01,3,c3048,5,REGULAR_36H,36,2026-09-01T00:52,2026-09-02T12:52,32,21
OPERACION_DIARIA-CRITICA-N01,4,c1526,3,PRIORIZADO_18H,18,2026-09-01T01:15,2026-09-01T19:15,59,48
OPERACION_DIARIA-CRITICA-N01,5,c2084,7,PRIORIZADO_18H,18,2026-09-01T01:18,2026-09-01T19:18,46,13
OPERACION_DIARIA-CRITICA-N01,6,c4477,2,PRIORIZADO_4H,4,2026-09-01T01:20,2026-09-01T05:20,48,29
OPERACION_DIARIA-CRITICA-N01,7,c6194,6,REGULAR_36H,36,2026-09-01T01:27,2026-09-02T13:27,21,29
OPERACION_DIARIA-CRITICA-N01,8,c9592,9,PRIORIZADO_12H,12,2026-09-01T01:40,2026-09-01T13:40,47,24
OPERACION_DIARIA-CRITICA-N01,9,c3891,2,PRIORIZADO_4H,4,2026-09-01T01:57,2026-09-01T05:57,10,27
OPERACION_DIARIA-CRITICA-N01,10,c5687,6,REGULAR_36H,36,2026-09-01T01:57,2026-09-02T13:57,23,39
OPERACION_DIARIA-CRITICA-N01,11,c7604,4,PRIORIZADO_8H,8,2026-09-01T02:03,2026-09-01T10:03,48,17
OPERACION_DIARIA-CRITICA-N01,12,c4988,5,PRIORIZADO_18H,18,2026-09-01T02:10,2026-09-01T20:10,42,23
OPERACION_DIARIA-CRITICA-N01,13,c1190,6,PRIORIZADO_18H,18,2026-09-01T03:02,2026-09-01T21:02,41,21
OPERACION_DIARIA-CRITICA-N01,14,c4189,1,REGULAR_36H,36,2026-09-01T03:12,2026-09-02T15:12,35,46
OPERACION_DIARIA-CRITICA-N01,15,c9387,4,REGULAR_36H,36,2026-09-01T03:17,2026-09-02T15:17,9,39
OPERACION_DIARIA-CRITICA-N01,16,c5926,2,PRIORIZADO_12H,12,2026-09-01T03:17,2026-09-01T15:17,34,38
OPERACION_DIARIA-CRITICA-N01,17,c4810,9,PRIORIZADO_18H,18,2026-09-01T03:18,2026-09-01T21:18,41,41
OPERACION_DIARIA-CRITICA-N01,18,c9479,2,PRIORIZADO_12H,12,2026-09-01T03:22,2026-09-01T15:22,64,18
OPERACION_DIARIA-CRITICA-N01,19,c4917,3,PRIORIZADO_8H,8,2026-09-01T03:23,2026-09-01T11:23,12,14
OPERACION_DIARIA-CRITICA-N01,20,c2658,5,PRIORIZADO_18H,18,2026-09-01T03:24,2026-09-01T21:24,66,30
OPERACION_DIARIA-CRITICA-N01,21,c1794,1,REGULAR_36H,36,2026-09-01T03:28,2026-09-02T15:28,1,17
OPERACION_DIARIA-CRITICA-N01,22,c6059,2,PRIORIZADO_8H,8,2026-09-01T03:35,2026-09-01T11:35,0,39
OPERACION_DIARIA-CRITICA-N01,23,c2226,7,PRIORIZADO_8H,8,2026-09-01T03:35,2026-09-01T11:35,35,35
OPERACION_DIARIA-CRITICA-N01,24,c9712,5,PRIORIZADO_12H,12,2026-09-01T03:38,2026-09-01T15:38,0,13
OPERACION_DIARIA-CRITICA-N01,25,c1714,7,REGULAR_36H,36,2026-09-01T03:50,2026-09-02T15:50,39,5
OPERACION_DIARIA-CRITICA-N01,26,c1008,1,PRIORIZADO_8H,8,2026-09-01T03:58,2026-09-01T11:58,63,2
OPERACION_DIARIA-CRITICA-N01,27,c7986,4,PRIORIZADO_18H,18,2026-09-01T04:17,2026-09-01T22:17,65,18
OPERACION_DIARIA-CRITICA-N01,28,c7792,6,REGULAR_36H,36,2026-09-01T04:18,2026-09-02T16:18,8,15
OPERACION_DIARIA-CRITICA-N01,29,c0059,3,PRIORIZADO_4H,4,2026-09-01T04:25,2026-09-01T08:25,30,4
OPERACION_DIARIA-CRITICA-N01,30,c9488,8,REGULAR_36H,36,2026-09-01T04:41,2026-09-02T16:41,5,21
OPERACION_DIARIA-CRITICA-N01,31,c9144,1,PRIORIZADO_4H,4,2026-09-01T04:41,2026-09-01T08:41,44,17
OPERACION_DIARIA-CRITICA-N01,32,c1075,2,REGULAR_36H,36,2026-09-01T04:50,2026-09-02T16:50,8,8
OPERACION_DIARIA-CRITICA-N01,33,c1973,2,REGULAR_36H,36,2026-09-01T04:52,2026-09-02T16:52,35,1
OPERACION_DIARIA-CRITICA-N01,34,c3412,5,PRIORIZADO_8H,8,2026-09-01T05:03,2026-09-01T13:03,39,23
OPERACION_DIARIA-CRITICA-N01,35,c4537,7,PRIORIZADO_12H,12,2026-09-01T05:09,2026-09-01T17:09,55,44
OPERACION_DIARIA-CRITICA-N01,36,c4216,1,PRIORIZADO_12H,12,2026-09-01T05:15,2026-09-01T17:15,12,24
OPERACION_DIARIA-CRITICA-N01,37,c5393,4,REGULAR_36H,36,2026-09-01T05:16,2026-09-02T17:16,48,25
OPERACION_DIARIA-CRITICA-N01,38,c9300,4,PRIORIZADO_4H,4,2026-09-01T05:25,2026-09-01T09:25,61,44
OPERACION_DIARIA-CRITICA-N01,39,c6220,4,REGULAR_36H,36,2026-09-01T05:26,2026-09-02T17:26,19,1
OPERACION_DIARIA-CRITICA-N01,40,c0253,9,PRIORIZADO_4H,4,2026-09-01T05:36,2026-09-01T09:36,14,1
OPERACION_DIARIA-CRITICA-N01,41,c9639,6,PRIORIZADO_12H,12,2026-09-01T05:37,2026-09-01T17:37,13,2
OPERACION_DIARIA-CRITICA-N01,42,c6733,2,PRIORIZADO_8H,8,2026-09-01T05:52,2026-09-01T13:52,66,3
OPERACION_DIARIA-CRITICA-N01,43,c8492,8,REGULAR_36H,36,2026-09-01T06:02,2026-09-02T18:02,56,10
OPERACION_DIARIA-CRITICA-N01,44,c1810,3,PRIORIZADO_18H,18,2026-09-01T06:10,2026-09-02T00:10,53,7
OPERACION_DIARIA-CRITICA-N01,45,c5169,4,REGULAR_36H,36,2026-09-01T06:11,2026-09-02T18:11,43,50
OPERACION_DIARIA-CRITICA-N01,46,c0263,6,REGULAR_36H,36,2026-09-01T06:19,2026-09-02T18:19,21,43
OPERACION_DIARIA-CRITICA-N01,47,c1357,8,REGULAR_36H,36,2026-09-01T06:29,2026-09-02T18:29,9,40
OPERACION_DIARIA-CRITICA-N01,48,c6534,7,PRIORIZADO_12H,12,2026-09-01T06:37,2026-09-01T18:37,22,7
OPERACION_DIARIA-CRITICA-N01,49,c2594,2,PRIORIZADO_8H,8,2026-09-01T06:49,2026-09-01T14:49,41,42
OPERACION_DIARIA-CRITICA-N01,50,c7962,10,PRIORIZADO_18H,18,2026-09-01T07:08,2026-09-02T01:08,52,45
OPERACION_DIARIA-CRITICA-N01,51,c3191,5,PRIORIZADO_18H,18,2026-09-01T07:09,2026-09-02T01:09,12,37
OPERACION_DIARIA-CRITICA-N01,52,c7002,7,PRIORIZADO_8H,8,2026-09-01T07:14,2026-09-01T15:14,67,5
OPERACION_DIARIA-CRITICA-N01,53,c3706,7,REGULAR_36H,36,2026-09-01T07:35,2026-09-02T19:35,16,30
OPERACION_DIARIA-CRITICA-N01,54,c8722,7,PRIORIZADO_4H,4,2026-09-01T07:51,2026-09-01T11:51,7,34
OPERACION_DIARIA-CRITICA-N01,55,c4881,4,REGULAR_36H,36,2026-09-01T07:53,2026-09-02T19:53,44,7
SIMULACION_CINCO_DIAS-NORMAL-N01,1,c0497,6,REGULAR_36H,36,2026-09-01T00:26,2026-09-02T12:26,26,15
SIMULACION_CINCO_DIAS-NORMAL-N01,2,c6006,6,PRIORIZADO_8H,8,2026-09-01T00:44,2026-09-01T08:44,9,22
SIMULACION_CINCO_DIAS-NORMAL-N01,3,c3048,5,REGULAR_36H,36,2026-09-01T00:52,2026-09-02T12:52,32,21
SIMULACION_CINCO_DIAS-NORMAL-N01,4,c1526,3,PRIORIZADO_18H,18,2026-09-01T01:15,2026-09-01T19:15,59,48
SIMULACION_CINCO_DIAS-NORMAL-N01,5,c2084,7,PRIORIZADO_18H,18,2026-09-01T01:18,2026-09-01T19:18,46,13
SIMULACION_CINCO_DIAS-NORMAL-N01,6,c4477,2,PRIORIZADO_4H,4,2026-09-01T01:20,2026-09-01T05:20,48,29
SIMULACION_CINCO_DIAS-NORMAL-N01,7,c6194,6,REGULAR_36H,36,2026-09-01T01:27,2026-09-02T13:27,21,29
SIMULACION_CINCO_DIAS-NORMAL-N01,8,c9592,9,PRIORIZADO_12H,12,2026-09-01T01:40,2026-09-01T13:40,47,24
SIMULACION_CINCO_DIAS-NORMAL-N01,9,c3891,2,PRIORIZADO_4H,4,2026-09-01T01:57,2026-09-01T05:57,10,27
SIMULACION_CINCO_DIAS-NORMAL-N01,10,c5687,6,REGULAR_36H,36,2026-09-01T01:57,2026-09-02T13:57,23,39
SIMULACION_CINCO_DIAS-NORMAL-N01,11,c7604,4,PRIORIZADO_8H,8,2026-09-01T02:03,2026-09-01T10:03,48,17
SIMULACION_CINCO_DIAS-NORMAL-N01,12,c4988,5,PRIORIZADO_18H,18,2026-09-01T02:10,2026-09-01T20:10,42,23
SIMULACION_CINCO_DIAS-NORMAL-N01,13,c1190,6,PRIORIZADO_18H,18,2026-09-01T03:02,2026-09-01T21:02,41,21
SIMULACION_CINCO_DIAS-NORMAL-N01,14,c4189,1,REGULAR_36H,36,2026-09-01T03:12,2026-09-02T15:12,35,46
SIMULACION_CINCO_DIAS-NORMAL-N01,15,c9387,4,REGULAR_36H,36,2026-09-01T03:17,2026-09-02T15:17,9,39
SIMULACION_CINCO_DIAS-NORMAL-N01,16,c5926,2,PRIORIZADO_12H,12,2026-09-01T03:17,2026-09-01T15:17,34,38
SIMULACION_CINCO_DIAS-NORMAL-N01,17,c4810,9,PRIORIZADO_18H,18,2026-09-01T03:18,2026-09-01T21:18,41,41
SIMULACION_CINCO_DIAS-NORMAL-N01,18,c9479,2,PRIORIZADO_12H,12,2026-09-01T03:22,2026-09-01T15:22,64,18
SIMULACION_CINCO_DIAS-NORMAL-N01,19,c4917,3,PRIORIZADO_8H,8,2026-09-01T03:23,2026-09-01T11:23,12,14
SIMULACION_CINCO_DIAS-NORMAL-N01,20,c2658,5,PRIORIZADO_18H,18,2026-09-01T03:24,2026-09-01T21:24,66,30
SIMULACION_CINCO_DIAS-NORMAL-N01,21,c1794,1,REGULAR_36H,36,2026-09-01T03:28,2026-09-02T15:28,1,17
SIMULACION_CINCO_DIAS-NORMAL-N01,22,c6059,2,PRIORIZADO_8H,8,2026-09-01T03:35,2026-09-01T11:35,0,39
SIMULACION_CINCO_DIAS-NORMAL-N01,23,c2226,7,PRIORIZADO_8H,8,2026-09-01T03:35,2026-09-01T11:35,35,35
SIMULACION_CINCO_DIAS-NORMAL-N01,24,c9712,5,PRIORIZADO_12H,12,2026-09-01T03:38,2026-09-01T15:38,0,13
SIMULACION_CINCO_DIAS-NORMAL-N01,25,c1714,7,REGULAR_36H,36,2026-09-01T03:50,2026-09-02T15:50,39,5
SIMULACION_CINCO_DIAS-NORMAL-N01,188,c2441,4,PRIORIZADO_8H,8,2026-09-02T00:27,2026-09-02T08:27,22,9
SIMULACION_CINCO_DIAS-NORMAL-N01,189,c2572,8,PRIORIZADO_18H,18,2026-09-02T01:08,2026-09-02T19:08,21,18
SIMULACION_CINCO_DIAS-NORMAL-N01,190,c1052,1,REGULAR_36H,36,2026-09-02T01:13,2026-09-03T13:13,42,16
SIMULACION_CINCO_DIAS-NORMAL-N01,191,c3631,1,REGULAR_36H,36,2026-09-02T01:32,2026-09-03T13:32,11,7
SIMULACION_CINCO_DIAS-NORMAL-N01,192,c2581,7,REGULAR_36H,36,2026-09-02T01:58,2026-09-03T13:58,49,45
SIMULACION_CINCO_DIAS-NORMAL-N01,193,c0776,10,PRIORIZADO_4H,4,2026-09-02T02:03,2026-09-02T06:03,34,11
SIMULACION_CINCO_DIAS-NORMAL-N01,194,c7834,10,PRIORIZADO_18H,18,2026-09-02T02:30,2026-09-02T20:30,13,4
SIMULACION_CINCO_DIAS-NORMAL-N01,195,c2652,7,REGULAR_36H,36,2026-09-02T02:43,2026-09-03T14:43,70,26
SIMULACION_CINCO_DIAS-NORMAL-N01,196,c6176,5,REGULAR_36H,36,2026-09-02T02:46,2026-09-03T14:46,12,21
SIMULACION_CINCO_DIAS-NORMAL-N01,197,c5641,1,PRIORIZADO_18H,18,2026-09-02T02:55,2026-09-02T20:55,16,46
SIMULACION_CINCO_DIAS-NORMAL-N01,198,c4333,3,PRIORIZADO_4H,4,2026-09-02T03:20,2026-09-02T07:20,30,4
SIMULACION_CINCO_DIAS-NORMAL-N01,199,c8130,9,PRIORIZADO_18H,18,2026-09-02T03:22,2026-09-02T21:22,13,47
SIMULACION_CINCO_DIAS-NORMAL-N01,200,c1481,1,REGULAR_36H,36,2026-09-02T03:27,2026-09-03T15:27,37,48
SIMULACION_CINCO_DIAS-NORMAL-N01,201,c1792,5,PRIORIZADO_18H,18,2026-09-02T03:32,2026-09-02T21:32,65,40
SIMULACION_CINCO_DIAS-NORMAL-N01,202,c1647,7,REGULAR_36H,36,2026-09-02T03:59,2026-09-03T15:59,17,8
