escenario,inicio,fin,vertices
N025-I01,2026-01-02T23:28,2026-01-03T02:01,"(50,10) (55,10) (55,25)"
N025-I01,2026-01-03T00:59,2026-01-03T04:30,"(25,45) (45,45) (45,40)"
N025-I02,2026-01-04T08:41,2026-01-04T12:41,"(8,3) (8,23) (20,23)"
N025-I02,2026-01-04T09:40,2026-01-04T13:30,"(15,25) (15,30) (20,30) (20,35) (30,35) (30,40)"
N025-I02,2026-01-04T11:01,2026-01-04T12:21,"(60,10) (60,25)"
N025-I02,2026-01-04T11:23,2026-01-04T13:51,"(67,37) (67,22)"
N025-I03,2026-01-05T18:40,2026-01-05T22:25,"(57,30) (57,45)"
N025-I03,2026-01-05T19:40,2026-01-05T23:07,"(60,10) (60,25)"
N025-I03,2026-01-05T19:43,2026-01-05T22:00,"(60,10) (60,25)"
N025-I03,2026-01-05T20:51,2026-01-06T00:30,"(15,10) (30,10) (30,18)"
N025-I04,2026-01-06T23:43,2026-01-07T03:40,"(15,40) (27,40)"
N025-I05,2026-01-08T13:08,2026-01-08T15:49,"(50,10) (55,10) (55,25)"
N025-I06,2026-01-09T20:23,2026-01-09T23:41,"(15,40) (27,40)"
N025-I07,2026-01-11T08:57,2026-01-11T12:42,"(17,15) (25,15)"
N025-I08,2026-01-12T16:28,2026-01-12T17:51,"(10,20) (40,20) (40,35)"
N025-I08,2026-01-12T16:56,2026-01-12T20:50,"(42,8) (42,15) (47,15) (47,27) (55,27)"
N025-I08,2026-01-12T17:20,2026-01-12T20:27,"(50,10) (55,10) (55,25)"
N025-I09,2026-01-13T23:22,2026-01-14T02:56,"(15,10) (30,10) (30,18)"
N025-I09,2026-01-14T00:58,2026-01-14T01:56,"(50,10) (55,10) (55,25)"
N025-I10,2026-01-15T03:14,2026-01-15T05:13,"(67,37) (67,22)"
N050-I01,2026-01-04T08:41,2026-01-04T12:41,"(8,3) (8,23) (20,23)"
N050-I01,2026-01-04T09:40,2026-01-04T13:30,"(15,25) (15,30) (20,30) (20,35) (30,35) (30,40)"
N050-I01,2026-01-04T11:01,2026-01-04T12:21,"(60,10) (60,25)"
N050-I01,2026-01-04T11:23,2026-01-04T13:51,"(67,37) (67,22)"
N050-I02,2026-01-06T23:43,2026-01-07T03:40,"(15,40) (27,40)"
N050-I03,2026-01-09T20:23,2026-01-09T23:41,"(15,40) (27,40)"
N050-I04,2026-01-12T16:28,2026-01-12T17:51,"(10,20) (40,20) (40,35)"
N050-I04,2026-01-12T16:56,2026-01-12T20:50,"(42,8) (42,15) (47,15) (47,27) (55,27)"
N050-I04,2026-01-12T17:20,2026-01-12T20:27,"(50,10) (55,10) (55,25)"
N050-I05,2026-01-15T03:14,2026-01-15T05:13,"(67,37) (67,22)"
N050-I06,2026-01-17T22:01,2026-01-17T23:43,"(15,3) (22,3) (22,8) (37,8) (37,12)"
N050-I07,2026-01-20T08:12,2026-01-20T10:32,"(25,45) (45,45) (45,40)"
N050-I08,2026-01-22T07:19,2026-01-22T11:09,"(25,25) (30,25) (30,30) (35,30)"
N050-I08,2026-01-22T10:41,2026-01-22T12:29,"(17,15) (25,15)"
N050-I09,2026-01-24T08:15,2026-01-24T11:43,"(25,45) (45,45) (45,40)"
N050-I09,2026-01-24T08:39,2026-01-24T12:23,"(25,45) (45,45) (45,40)"
N050-I10,2026-01-26T06:34,2026-01-26T08:55,"(5,20) (5,35)"
N100-I01,2026-01-06T23:43,2026-01-07T03:40,"(15,40) (27,40)"
N100-I02,2026-01-12T16:28,2026-01-12T17:51,"(10,20) (40,20) (40,35)"
N100-I02,2026-01-12T16:56,2026-01-12T20:50,"(42,8) (42,15) (47,15) (47,27) (55,27)"
N100-I02,2026-01-12T17:20,2026-01-12T20:27,"(50,10) (55,10) (55,25)"
N100-I03,2026-01-17T22:01,2026-01-17T23:43,"(15,3) (22,3) (22,8) (37,8) (37,12)"
N100-I04,2026-01-22T07:19,2026-01-22T11:09,"(25,25) (30,25) (30,30) (35,30)"
N100-I04,2026-01-22T10:41,2026-01-22T12:29,"(17,15) (25,15)"
N100-I05,2026-01-26T06:34,2026-01-26T08:55,"(5,20) (5,35)"
N100-I06,2026-01-30T14:30,2026-01-30T16:32,"(15,40) (27,40)"
N100-I08,2026-02-06T12:42,2026-02-06T16:34,"(15,40) (27,40)"
N100-I08,2026-02-06T15:13,2026-02-06T18:05,"(8,3) (8,23) (20,23)"
N100-I09,2026-02-09T21:23,2026-02-09T22:50,"(42,8) (42,15) (47,15) (47,27) (55,27)"
N100-I10,2026-02-13T00:33,2026-02-13T02:50,"(8,3) (8,23) (20,23)"
N100-I10,2026-02-13T01:06,2026-02-13T03:57,"(15,25) (15,30) (20,30) (20,35) (30,35) (30,40)"
