variante,escenario,tamanio,instancia,repeticion,semilla,algoritmo,tiempo_ms,evaluaciones,F,T_horas,R_horas,N,V,factible,verificada,cumplimiento_pct,cumplimiento_prioritarios_pct,costo,distancia_km,utilizacion_pct,temperatura_inicial
BASE,N025-I01,25,1,0,777,GENETICO,202.3028,9060,22555.336667,605.003333,219.503333,0,0,true,true,48,26.666667,10636,1496,42.401961,
BASE,N025-I01,25,1,0,777,RECOCIDO_SIMULADO,33.3185,4421,22602.276667,609.943333,219.923333,0,0,true,true,48,26.666667,10516,1434,42.401961,252.823667
BASE,N025-I01,25,1,1,778,RECOCIDO_SIMULADO,30.5143,4501,22547.546667,607.713333,219.398333,0,0,true,true,48,26.666667,10094,1434,42.401961,274.840884
BASE,N025-I01,25,1,1,778,GENETICO,197.4777,9060,22651.891667,606.058333,220.458333,0,0,true,true,48,26.666667,10480,1470,42.401961,
BASE,N025-I01,25,1,2,779,GENETICO,249.5089,9060,22567.056667,604.723333,219.623333,0,0,true,true,48,26.666667,10764,1516,42.401961,
BASE,N025-I01,25,1,2,779,RECOCIDO_SIMULADO,31.1908,4381,22615.04,609.873333,220.051667,0,0,true,true,52,33.333333,9668,1324,42.401961,238.389548
BASE,N025-I01,25,1,3,780,RECOCIDO_SIMULADO,31.05,4581,22557.931667,610.598333,219.473333,0,0,true,true,48,26.666667,10736,1480,42.401961,298.64143
BASE,N025-I01,25,1,3,780,GENETICO,120.1743,9060,22590.355,605.688333,219.846667,0,0,true,true,44,20,10384,1454,42.401961,
BASE,N025-I01,25,1,4,781,GENETICO,125.4205,9060,22590.455,605.788333,219.846667,0,0,true,true,44,20,9920,1396,42.401961,
BASE,N025-I01,25,1,4,781,RECOCIDO_SIMULADO,30.6751,4461,22596.761667,619.428333,219.773333,0,0,true,true,48,26.666667,10856,1466,42.401961,266.649905
BASE,N025-I01,25,1,5,782,RECOCIDO_SIMULADO,30.3244,4541,22597.911667,611.578333,219.863333,0,0,true,true,48,26.666667,11028,1498,42.401961,286.587722
BASE,N025-I01,25,1,5,782,GENETICO,167.3832,9060,22544.381667,604.548333,219.398333,0,0,true,true,48,26.666667,10600,1488,42.401961,
BASE,N025-I01,25,1,6,783,GENETICO,245.9418,9060,22535.991667,605.158333,219.308333,0,0,true,true,48,26.666667,10528,1476,42.401961,
BASE,N025-I01,25,1,6,783,RECOCIDO_SIMULADO,29.7445,4421,22615.37,610.203333,220.051667,0,0,true,true,52,33.333333,10364,1432,42.401961,243.751561
BASE,N025-I01,25,1,7,784,RECOCIDO_SIMULADO,29.8506,4421,22596.896667,610.563333,219.863333,0,0,true,true,48,26.666667,11052,1490,42.401961,250.612675
BASE,N025-I01,25,1,7,784,GENETICO,196.3362,9060,22575.626667,604.293333,219.713333,0,0,true,true,48,26.666667,10308,1448,42.401961,
BASE,N025-I01,25,1,8,785,GENETICO,96.2692,9060,22697.715,607.048333,220.906667,0,0,true,true,44,20,10360,1448,42.401961,
BASE,N025-I01,25,1,8,785,RECOCIDO_SIMULADO,30.2101,4621,22557.621667,610.288333,219.473333,0,0,true,true,48,26.666667,10280,1356,42.401961,317.299873
BASE,N025-I01,25,1,9,786,RECOCIDO_SIMULADO,30.3201,4461,22634.915,613.248333,220.216667,0,0,true,true,52,33.333333,11560,1568,42.401961,261.318757
BASE,N025-I01,25,1,9,786,GENETICO,250.2705,9060,22552.406667,605.073333,219.473333,0,0,true,true,48,26.666667,10484,1476,42.401961,
BASE,N025-I01,25,1,10,787,GENETICO,272.903,9060,22584.121667,605.288333,219.788333,0,0,true,true,48,26.666667,10560,1496,42.401961,
BASE,N025-I01,25,1,10,787,RECOCIDO_SIMULADO,29.7113,4421,22558.466667,611.133333,219.473333,0,0,true,true,48,26.666667,11164,1498,42.401961,254.154714
BASE,N025-I01,25,1,11,788,RECOCIDO_SIMULADO,28.3751,4301,22602.241667,615.908333,219.863333,0,0,true,true,48,26.666667,10800,1420,42.401961,216.561098
BASE,N025-I01,25,1,11,788,GENETICO,171.7492,9060,22589.655,604.988333,219.846667,0,0,true,true,44,20,10304,1444,42.401961,
BASE,N025-I01,25,1,12,789,GENETICO,198.2007,9060,22611.595,605.928333,220.056667,0,0,true,true,44,20,10424,1452,42.401961,
BASE,N025-I01,25,1,12,789,RECOCIDO_SIMULADO,29.193,4461,22570.951667,611.618333,219.593333,0,0,true,true,48,26.666667,10816,1482,42.401961,257.745819
BASE,N025-I01,25,1,13,790,RECOCIDO_SIMULADO,29.0756,4541,22594.431667,609.598333,219.848333,0,0,true,true,48,26.666667,10768,1454,42.401961,290.375993
BASE,N025-I01,25,1,13,790,GENETICO,129.3164,9060,22632.375,605.708333,220.266667,0,0,true,true,44,20,10288,1456,42.401961,
BASE,N025-I01,25,1,14,791,GENETICO,217.7419,9060,22590.355,605.688333,219.846667,0,0,true,true,44,20,10384,1454,42.401961,
BASE,N025-I01,25,1,14,791,RECOCIDO_SIMULADO,30.6787,4501,22593.93,612.763333,219.811667,0,0,true,true,52,33.333333,11100,1506,42.401961,281.729517
BASE,N025-I01,25,1,15,792,RECOCIDO_SIMULADO,28.4237,4421,22659.11,619.443333,220.396667,0,0,true,true,52,33.333333,11708,1568,42.401961,250.661139
BASE,N025-I01,25,1,15,792,GENETICO,134.1202,9060,22697.715,607.048333,220.906667,0,0,true,true,44,20,10360,1448,42.401961,
BASE,N025-I01,25,1,16,793,GENETICO,129.4444,9060,22651.891667,606.058333,220.458333,0,0,true,true,48,26.666667,10480,1470,42.401961,
BASE,N025-I01,25,1,16,793,RECOCIDO_SIMULADO,27.9416,4341,22565.026667,605.693333,219.593333,0,0,true,true,48,26.666667,10452,1476,42.401961,219.344637
BASE,N025-I01,25,1,17,794,RECOCIDO_SIMULADO,29.3994,4421,22609.16,608.493333,220.006667,0,0,true,true,52,33.333333,11244,1560,42.401961,249.848103
