escenario,tamanio,instancia,instante,primer_pedido,ultimo_pedido,cantidad_total_qq,capacidad_disponible_qq,ratio_demanda_capacidad,prioritarios,vehiculos_disponibles,vehiculos_en_mantenimiento,bloqueos_activos
N025-I01,25,1,2026-01-03T01:13,2026-01-01T01:30,2026-01-03T01:13,173,408,0.42402,15,37,,2
N025-I02,25,2,2026-01-04T11:58,2026-01-03T04:20,2026-01-04T11:58,129,408,0.316176,13,37,,4
N025-I03,25,3,2026-01-05T20:58,2026-01-04T13:36,2026-01-05T20:58,117,408,0.286765,17,37,,4
N025-I04,25,4,2026-01-07T02:37,2026-01-05T22:31,2026-01-07T02:37,104,408,0.254902,17,37,,1
N025-I05,25,5,2026-01-08T14:24,2026-01-07T04:10,2026-01-08T14:24,127,408,0.311275,11,37,,1
N025-I06,25,6,2026-01-09T20:42,2026-01-08T16:09,2026-01-09T20:42,136,408,0.333333,16,37,,1
N025-I07,25,7,2026-01-11T09:33,2026-01-10T04:05,2026-01-11T09:33,132,408,0.323529,17,37,,1
N025-I08,25,8,2026-01-12T17:26,2026-01-11T09:42,2026-01-12T17:26,130,408,0.318627,14,37,,3
N025-I09,25,9,2026-01-14T01:18,2026-01-12T17:32,2026-01-14T01:18,147,408,0.360294,19,37,,2
N025-I10,25,10,2026-01-15T03:33,2026-01-14T06:33,2026-01-15T03:33,121,408,0.296569,16,37,,1
N050-I01,50,1,2026-01-04T11:58,2026-01-01T01:30,2026-01-04T11:58,302,408,0.740196,28,37,,4
N050-I02,50,2,2026-01-07T02:37,2026-01-04T13:36,2026-01-07T02:37,221,408,0.541667,34,37,,1
N050-I03,50,3,2026-01-09T20:42,2026-01-07T04:10,2026-01-09T20:42,263,408,0.644608,27,37,,1
N050-I04,50,4,2026-01-12T17:26,2026-01-10T04:05,2026-01-12T17:26,262,408,0.642157,31,37,,3
N050-I05,50,5,2026-01-15T03:33,2026-01-12T17:32,2026-01-15T03:33,268,408,0.656863,35,37,,1
N050-I06,50,6,2026-01-17T22:55,2026-01-15T04:05,2026-01-17T22:55,280,408,0.686275,29,37,,1
N050-I07,50,7,2026-01-20T08:55,2026-01-17T22:56,2026-01-20T08:55,285,408,0.698529,36,37,,1
N050-I08,50,8,2026-01-22T10:57,2026-01-20T10:23,2026-01-22T10:57,265,408,0.64951,30,37,,2
N050-I09,50,9,2026-01-24T11:18,2026-01-22T11:41,2026-01-24T11:18,265,408,0.64951,25,37,,2
N050-I10,50,10,2026-01-26T06:50,2026-01-24T11:19,2026-01-26T06:50,237,408,0.580882,31,37,,1
N100-I01,100,1,2026-01-07T02:37,2026-01-01T01:30,2026-01-07T02:37,523,408,1.281863,62,37,,1
N100-I02,100,2,2026-01-12T17:26,2026-01-07T04:10,2026-01-12T17:26,525,408,1.286765,58,37,,3
N100-I03,100,3,2026-01-17T22:55,2026-01-12T17:32,2026-01-17T22:55,548,408,1.343137,64,37,,1
N100-I04,100,4,2026-01-22T10:57,2026-01-17T22:56,2026-01-22T10:57,550,408,1.348039,66,37,,2
N100-I05,100,5,2026-01-26T06:50,2026-01-22T11:41,2026-01-26T06:50,502,408,1.230392,56,37,,1
N100-I06,100,6,2026-01-30T15:19,2026-01-26T07:56,2026-01-30T15:19,571,408,1.39951,64,37,,1
N100-I07,100,7,2026-02-03T04:06,2026-01-30T15:31,2026-02-03T04:06,546,408,1.338235,64,37,,0
N100-I08,100,8,2026-02-06T16:07,2026-02-03T04:58,2026-02-06T16:07,555,408,1.360294,59,37,,2
N100-I09,100,9,2026-02-09T22:02,2026-02-06T16:38,2026-02-09T22:02,543,408,1.330882,65,37,,1
N100-I10,100,10,2026-02-13T01:37,2026-02-09T22:29,2026-02-13T01:37,534,408,1.308824,63,37,,2
