variante,clave,valor
BASE,busqueda.movimientos,"DOS_OPT,SWAP,RELOCATE,CROSS_ROUTE,VEHICLE_CHANGE"
BASE,objetivo.beta1,100
BASE,objetivo.beta2,1000
BASE,objetivo.beta3,10000
BASE,prioridad.PRIORIZADO_8H,8
BASE,prioridad.PRIORIZADO_4H,4
BASE,prioridad.REGULAR_36H,36
BASE,sa.iteraciones,40
BASE,sa.aceptacion,0.6
BASE,operacion.distanciaNodoKm,1
BASE,sa.muestras,100
BASE,ga.poblacion,60
BASE,operacion.servicioDentroPlazo,false
BASE,operacion.incluirRetorno,true
BASE,experimento.repeticiones,30
BASE,sa.enfriamiento,0.95
BASE,ga.mutacion,0.01
BASE,operacion.servicioHoras,1
BASE,ga.elitismo,1
BASE,ga.proporcionVoraz,0.5
BASE,sa.recalentamiento,0.3
BASE,ga.torneo,2
BASE,ga.cruzamiento,0.9
BASE,prioridad.PRIORIZADO_18H,18
BASE,experimento.tamanios,"25,50,100"
BASE,sa.calibrar,true
BASE,prioridad.PRIORIZADO_12H,12
BASE,sa.temperaturaInicial,1000
BASE,sa.temperaturaFinal,1
BASE,experimento.semillaBase,42
BASE,ga.generaciones,150
BASE,sa.maxNiveles,1000
FINAL,busqueda.movimientos,"DOS_OPT,SWAP,RELOCATE,CROSS_ROUTE,VEHICLE_CHANGE"
FINAL,objetivo.beta1,100
FINAL,objetivo.beta2,1000
FINAL,objetivo.beta3,10000
FINAL,prioridad.PRIORIZADO_8H,8
FINAL,prioridad.PRIORIZADO_4H,4
FINAL,prioridad.REGULAR_36H,36
FINAL,sa.iteraciones,200
FINAL,sa.aceptacion,0.6
FINAL,operacion.distanciaNodoKm,1
FINAL,sa.muestras,100
FINAL,ga.poblacion,100
FINAL,operacion.servicioDentroPlazo,false
FINAL,operacion.incluirRetorno,true
FINAL,experimento.repeticiones,30
FINAL,sa.enfriamiento,0.95
FINAL,ga.mutacion,0.05
FINAL,operacion.servicioHoras,1
FINAL,ga.elitismo,1
FINAL,ga.proporcionVoraz,0.5
FINAL,sa.recalentamiento,0.3
FINAL,ga.torneo,2
FINAL,ga.cruzamiento,0.9
FINAL,prioridad.PRIORIZADO_18H,18
FINAL,experimento.tamanios,"25,50,100"
FINAL,sa.calibrar,true
FINAL,prioridad.PRIORIZADO_12H,12
FINAL,sa.temperaturaInicial,1000
FINAL,sa.temperaturaFinal,1
FINAL,experimento.semillaBase,42
FINAL,ga.generaciones,150
FINAL,sa.maxNiveles,1000
